method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,step_index,unit_index,resource_type,unit_order,unit_order_position,selected_action,selected_target,selected_noop,base_action_legal,conditional_action_legal,ammo_before,cooldown_before,energy_before,num_base_legal_targets,num_conditional_legal_targets,num_conditional_high_threat_targets,prefix_denied_target_count,avoidable_noop,selected_high_threat,target_alive,target_threat,target_payload,target_time_to_impact,target_distance,hit_probability,damage_potential,expected_damage_reduction,best_expected_damage_reduction,matching_efficiency,target_already_selected_by_prefix,shot_fired,hit,target_intercepted,target_status_after
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,32,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,33,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,33,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,3,3,0,0,True,False,,,,,,,,,0.6695539938548978,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,33,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,34,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,34,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,2,2,0,0,True,False,,,,,,,,,0.6809192530694672,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,34,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,35,0,missile,0-1-2,0,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,35,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,2,2,0,0,True,False,,,,,,,,,0.685735078905565,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,35,2,laser,0-1-2,2,5,,True,True,True,0,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
