threshold,passed_seed_count,minimum_seed_constraint_margin,mean_balanced_accuracy,minimum_worst_batch_engage_recall,minimum_worst_batch_noop_recall,minimum_worst_scenario_engage_recall,minimum_worst_scenario_noop_recall
-4.114998215772152,0,-0.65,0.5,1.0,0.0,1.0,0.0
-4.053330898284912,0,-0.65,0.5014492753623189,1.0,0.0,1.0,0.0
-3.969727635383606,0,-0.65,0.5028985507246376,1.0,0.0,1.0,0.0
-3.866244673728943,0,-0.65,0.5043478260869566,1.0,0.0,1.0,0.0
-3.751893997192383,0,-0.65,0.5057971014492754,1.0,0.0,1.0,0.0
-3.702116012573242,0,-0.65,0.5072463768115942,1.0,0.0,1.0,0.0
-3.680021286010742,0,-0.65,0.508695652173913,1.0,0.0,1.0,0.0
-3.5880062580108643,0,-0.65,0.5101449275362319,1.0,0.0,1.0,0.0
-3.484444737434387,0,-0.65,0.5115942028985507,1.0,0.0,1.0,0.0
-3.4465720653533936,0,-0.65,0.5130434782608696,1.0,0.0,1.0,0.0
-3.408815860748291,0,-0.65,0.5144927536231884,1.0,0.0,1.0,0.0
-3.385798931121826,0,-0.65,0.5159420289855072,1.0,0.0,1.0,0.0
-3.364923357963562,0,-0.65,0.5173913043478261,1.0,0.0,1.0,0.0
-3.343736171722412,0,-0.65,0.518840579710145,1.0,0.0,1.0,0.0
-3.302576780319214,0,-0.65,0.5202898550724637,1.0,0.0,1.0,0.0
-3.252575635910034,0,-0.65,0.5217391304347826,1.0,0.0,1.0,0.0
-3.193177103996277,0,-0.65,0.5231884057971014,1.0,0.0,1.0,0.0
-3.1371569633483887,0,-0.65,0.5246376811594203,1.0,0.0,1.0,0.0
-3.084988594055176,0,-0.65,0.5260869565217391,1.0,0.0,1.0,0.0
-3.002958059310913,0,-0.65,0.527536231884058,1.0,0.0,1.0,0.0
-2.9304957389831543,0,-0.65,0.5289855072463768,1.0,0.0,1.0,0.0
-2.8997437953948975,0,-0.65,0.5304347826086957,1.0,0.0,1.0,0.0
-2.8986222743988037,0,-0.65,0.5318840579710145,1.0,0.0,1.0,0.0
-2.89230740070343,0,-0.65,0.5333333333333333,1.0,0.0,1.0,0.0
-2.8539187908172607,0,-0.65,0.5347826086956521,1.0,0.0,1.0,0.0
-2.818360209465027,0,-0.65,0.5362318840579711,1.0,0.0,1.0,0.0
-2.814652442932129,0,-0.65,0.5376811594202898,1.0,0.0,1.0,0.0
-2.812904953956604,0,-0.65,0.5391304347826087,1.0,0.0,1.0,0.0
-2.795691728591919,0,-0.65,0.5405797101449276,1.0,0.0,1.0,0.018518518518518517
-2.773143768310547,0,-0.65,0.5420289855072463,1.0,0.0,1.0,0.018518518518518517
-2.764175772666931,0,-0.65,0.5434782608695653,1.0,0.0,1.0,0.03125
-2.7597299814224243,0,-0.65,0.5449275362318841,1.0,0.0,1.0,0.03125
-2.737342119216919,0,-0.65,0.5463768115942029,1.0,0.0,1.0,0.03125
-2.7093048095703125,0,-0.65,0.5478260869565217,1.0,0.0,1.0,0.03125
-2.6989150047302246,0,-0.65,0.5492753623188406,1.0,0.0,1.0,0.03125
-2.6835334300994873,0,-0.65,0.5507246376811593,1.0,0.0,1.0,0.03125
-2.654640555381775,0,-0.65,0.5521739130434783,1.0,0.0,1.0,0.03125
-2.604044198989868,0,-0.65,0.553623188405797,1.0,0.0,1.0,0.03125
-2.5679513216018677,0,-0.65,0.5550724637681159,1.0,0.0,1.0,0.05555555555555555
-2.5631051063537598,0,-0.65,0.5565217391304348,1.0,0.0,1.0,0.05555555555555555
-2.5431066751480103,0,-0.65,0.5579710144927535,1.0,0.0,1.0,0.05555555555555555
-2.5218585729599,0,-0.65,0.5594202898550725,1.0,0.0,1.0,0.05555555555555555
