objective,model_seed,reliable_rows,has_feasible_threshold,feasible_threshold_count,feasible_threshold_min,feasible_threshold_max,selected_threshold,selected_minimum_constraint_margin,selected_balanced_accuracy,selected_engage_recall,selected_noop_recall,selected_worst_batch_engage,selected_worst_batch_noop,selected_worst_scenario_engage,selected_worst_scenario_noop,zero_threshold_feasible,zero_threshold_minimum_constraint_margin,safety_sign_accuracy
standard,20,183,True,20,0.08306196331977844,0.1837485432624817,0.16521576046943665,0.007182320441988965,0.786381074168798,0.7205882352941176,0.8521739130434782,0.6956521739130435,0.75,0.6785714285714286,0.7241379310344828,False,-0.13275862068965516,0.7071823204419889
standard,21,183,False,0,,,0.0037273168563842773,-0.009392265193370108,0.8425191815856778,0.8676470588235294,0.8173913043478261,0.8095238095238095,0.75,0.7857142857142857,0.6551724137931034,False,-0.009392265193370108,0.6906077348066298
standard,22,183,True,6,0.2733921408653259,0.38936859369277954,0.38936859369277954,0.02375690607734815,0.7599744245524297,0.6764705882352942,0.8434782608695652,0.625,0.725,0.6428571428571429,0.7586206896551724,False,-0.15000000000000002,0.7237569060773481
scenario_robust,20,183,True,12,-0.013228103518486023,0.07863819599151611,0.002378985285758972,0.02375690607734815,0.8248081841432224,0.8235294117647058,0.8260869565217391,0.7142857142857143,0.75,0.7857142857142857,0.7241379310344828,True,0.02375690607734815,0.7237569060773481
scenario_robust,21,183,False,0,,,0.07541310787200928,-0.050000000000000044,0.7853580562659846,0.7794117647058824,0.7913043478260869,0.7391304347826086,0.6,0.6785714285714286,0.6206896551724138,False,-0.13275862068965516,0.7016574585635359
scenario_robust,22,183,False,0,,,0.14426009356975555,-0.050000000000000044,0.7659846547314578,0.7058823529411765,0.8260869565217391,0.5652173913043478,0.6,0.5714285714285714,0.7241379310344828,False,-0.17500000000000004,0.712707182320442
scenario_robust_reliable_cost,20,183,True,23,0.006269007921218872,0.3316478431224823,0.10520520806312561,0.02375690607734815,0.7984015345268543,0.7794117647058824,0.8173913043478261,0.75,0.675,0.6785714285714286,0.7241379310344828,False,-0.02931034482758621,0.7237569060773481
scenario_robust_reliable_cost,21,183,True,20,-0.02393074333667755,0.07635973393917084,0.02875661849975586,0.02375690607734815,0.8321611253196931,0.8382352941176471,0.8260869565217391,0.6666666666666666,0.75,0.8076923076923077,0.7241379310344828,True,0.02375690607734815,0.7237569060773481
scenario_robust_reliable_cost,22,183,True,2,0.3540239632129669,0.3628823459148407,0.3540239632129669,0.0,0.7572890025575447,0.7058823529411765,0.808695652173913,0.6666666666666666,0.65,0.6428571428571429,0.6896551724137931,False,-0.17500000000000004,0.7182320441988951
