method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,step_index,unit_index,resource_type,unit_order,unit_order_position,selected_action,selected_target,selected_noop,base_action_legal,conditional_action_legal,ammo_before,cooldown_before,energy_before,num_base_legal_targets,num_conditional_legal_targets,num_conditional_high_threat_targets,prefix_denied_target_count,avoidable_noop,selected_high_threat,target_alive,target_threat,target_payload,target_time_to_impact,target_distance,hit_probability,damage_potential,expected_damage_reduction,best_expected_damage_reduction,matching_efficiency,target_already_selected_by_prefix,shot_fired,hit,target_intercepted,target_status_after
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,7,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,1,1,0,0,True,False,,,,,,,,,0.06794196556681625,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,8,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.4341192941661124,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,8,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5044593157331764,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,8,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,1,1,0,0,True,False,,,,,,,,,0.07953144095042443,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,9,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.4546928023042396,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,9,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5249091823678397,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,9,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,1,1,0,0,True,False,,,,,,,,,0.09109247266084534,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,10,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.4752340311970509,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,10,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5453148801482504,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,10,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,1,1,0,0,True,False,,,,,,,,,0.10262144963377372,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,11,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.495740008442312,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,11,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.5656718201025375,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,11,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,1,1,0,0,True,False,,,,,,,,,0.1141141589608534,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,12,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5162074487533429,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,12,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.5859749960795699,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,12,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,2,2,1,0,True,False,,,,,,,,,0.12556568122114675,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,13,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5366324410745723,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,13,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.6062183589800638,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,13,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,3,3,2,0,True,False,,,,,,,,,0.13697007647554293,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,14,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.557010761465983,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,14,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.6263952339358442,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,14,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.14832033193249253,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,15,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5773375080712592,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,15,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.6464977988357679,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,15,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.1596079694410179,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,16,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.5976071011177851,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,16,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.666516927883502,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,16,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.17082270531798882,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,17,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.6178131786218318,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,17,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.686442139450115,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,17,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.18195199242330104,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,18,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.6379484399463325,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,18,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.7062611267474089,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,18,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.19298036598156026,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,19,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.6580042286216224,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,19,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.7259593667223622,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,19,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.20388852773243932,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,20,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.6779708973772921,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,20,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.7455197810989792,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,20,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,4,4,2,0,True,False,,,,,,,,,0.21465233849607127,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,21,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.6978367130466274,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,21,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,5,5,2,0,True,False,,,,,,,,,0.7649219280934739,,False,False,False,False,
