absolute_loss,centered_loss,epoch,loss,method,train_seed,validation_absolute_mae,validation_centered_mae,validation_score
1.0210587978363037,0.015053956769406796,0,1.0361127853393555,mean_return,17,1.0219401376918145,0.2763340486572045,1.298274186349019
1.0647732019424438,0.1058102548122406,1,1.1705834865570068,mean_return,17,1.010418067374027,0.09866939501651588,1.109087462390543
0.936305582523346,0.014509755186736584,2,0.9508153200149536,mean_return,17,1.0014397427992388,0.18081959242945336,1.182259335228692
0.911784291267395,0.02959633618593216,3,0.9413806200027466,mean_return,17,0.9908413659555807,0.23406617763352972,1.2249075435891104
0.8930197954177856,0.04961909353733063,4,0.9426388740539551,mean_return,17,0.9758454547544805,0.17953335561531897,1.1553788103697995
0.8352533578872681,0.03036159835755825,5,0.8656149506568909,mean_return,17,0.9657513765133081,0.09625797652410055,1.0620093530374086
0.7725244760513306,0.010803189128637314,6,0.7833276391029358,mean_return,17,0.9620724822600434,0.08813516956364056,1.050207651823684
0.7222310900688171,0.009524262510240078,7,0.7317553758621216,mean_return,17,0.9657503344053404,0.1175142967832545,1.083264631188595
0.681696355342865,0.01766205206513405,8,0.6993584036827087,mean_return,17,0.9678590761120033,0.12935539809552954,1.097214474207533
0.6401368379592896,0.021519439294934273,9,0.6616562604904175,mean_return,17,0.958651492887679,0.12104165567751822,1.0796931485651973
0.5861213803291321,0.018402421846985817,10,0.604523777961731,mean_return,17,0.937932822816518,0.10403794026559711,1.0419707630821151
0.5232017636299133,0.012778524309396744,11,0.5359802842140198,mean_return,17,0.921958295683164,0.08547802389748672,1.0074363195806508
0.4671872854232788,0.00860582571476698,12,0.47579312324523926,mean_return,17,0.9156972140489087,0.08022614136274246,0.9959233554116511
0.42043429613113403,0.007704149000346661,13,0.4281384348869324,mean_return,17,0.9152962923526891,0.09248552322602115,1.0077818155787102
0.37612783908843994,0.010204922407865524,14,0.38633275032043457,mean_return,17,0.9171148769064901,0.10761181121788391,1.024726688124374
0.3410658538341522,0.013496732339262962,15,0.35456258058547974,mean_return,17,0.914378470815032,0.10880731829502589,1.023185789110058
0.3084861934185028,0.013782826252281666,16,0.3222690224647522,mean_return,17,0.9088671720844763,0.098226672596927,1.0070938446814033
0.2820136249065399,0.0114067317917943,17,0.29342034459114075,mean_return,17,0.9065093134984825,0.08758695233961414,0.9940962658380966
0.26147225499153137,0.00905273761600256,18,0.2705249786376953,mean_return,17,0.9018791665573398,0.08128741350209148,0.9831665800594312
0.24585126340389252,0.0075691742822527885,19,0.2534204423427582,mean_return,17,0.8976875184396845,0.07767411183103981,0.9753616302707243
0.23773151636123657,0.006940760184079409,20,0.2446722835302353,mean_return,17,0.9041585690089975,0.08108341223952102,0.9852419812485185
0.23181962966918945,0.00758490851148963,21,0.23940454423427582,mean_return,17,0.9042868575011291,0.08775392441727628,0.9920407819184054
0.2268984615802765,0.008473355323076248,22,0.23537181317806244,mean_return,17,0.8977630554469023,0.08922237396267287,0.9869854294095751
0.22185048460960388,0.008746436797082424,23,0.23059691488742828,mean_return,17,0.9014031549090346,0.08848968020070094,0.9898928351097355
0.21150483191013336,0.008672207593917847,24,0.2201770395040512,mean_return,17,0.9061593213844127,0.08436503319512706,0.9905243545795397
0.20128421485424042,0.007994777522981167,25,0.20927898585796356,mean_return,17,0.8985671075774827,0.07925405906660765,0.9778211666440904
0.1868216097354889,0.0069729979149997234,26,0.1937946081161499,mean_return,17,0.8941501416319013,0.07874121507990868,0.97289135671181
