criticality_score,group_id,legal_relation_count,max_damage_potential,max_threat,mean_cost_delta,mean_harm_delta,mean_total_return_delta,min_time_to_impact,rollouts,scenario,source_seed,split,state_id,step_fraction,unit_index
7.963309040233722,task14b/seed8/medium/episode46/step34/unit0,4,1.0879527345263238,0.9323959380864291,0.14026430249214172,-11.514689445495605,9.389313697814941,0.2712113706200936,32,medium,8,test,task14b/seed8/medium/episode46/step34,0.68,0
7.963309040233722,task14b/seed8/medium/episode46/step34/unit2,4,1.0879527345263238,0.9323959380864291,0.16847184300422668,-3.5457096099853516,4.249876022338867,0.2712113706200936,32,medium,8,test,task14b/seed8/medium/episode46/step34,0.68,2
7.182233485088624,task14b/seed8/medium/episode26/step38/unit2,2,1.4291891499868843,0.997149861969925,0.06998476386070251,-15.718918800354004,11.425539016723633,0.19065145511433643,32,medium,8,validation,task14b/seed8/medium/episode26/step38,0.76,2
5.414413487245599,task14b/seed8/medium/episode15/step27/unit2,4,1.0827244150616941,0.7851721646276211,0.30365175008773804,-5.291739463806152,5.619375228881836,0.2773978678911261,32,medium,8,train,task14b/seed8/medium/episode15/step27,0.54,2
5.2360940905789795,task14b/seed8/medium/episode32/step27/unit2,2,1.141248284863126,0.8255370528680707,0.10741429030895233,-15.90624713897705,10.992408752441406,0.5720842111215866,32,medium,8,test,task14b/seed8/medium/episode32/step27,0.54,2
4.632307318600294,task14b/seed8/medium/episode40/step32/unit2,2,0.9999940898879724,0.8578798179956194,0.44145429134368896,-14.062451362609863,9.547085762023926,0.13827973522009424,32,medium,8,train,task14b/seed8/medium/episode40/step32,0.64,2
4.424706388450279,task14b/seed8/medium/episode28/step33/unit2,3,1.208106609702521,0.9438411133132971,0.12123323231935501,-6.697821617126465,8.474512100219727,0.758752386407663,32,medium,8,train,task14b/seed8/medium/episode28/step33,0.66,2
3.773336240554052,task14b/seed8/medium/episode43/step20/unit0,4,1.1356350811360534,0.833553591103828,0.45065611600875854,-15.564321517944336,11.39787483215332,1.8312002051926022,32,medium,8,test,task14b/seed8/medium/episode43/step20,0.4,0
3.773336240554052,task14b/seed8/medium/episode43/step20/unit2,4,1.1356350811360534,0.833553591103828,0.39651110768318176,-2.041473865509033,-1.1905643939971924,1.8312002051926022,32,medium,8,test,task14b/seed8/medium/episode43/step20,0.4,2
3.3887109429625837,task14b/seed8/medium/episode46/step31/unit0,5,1.0879527345263238,0.9323959380864291,0.08849447220563889,-0.3094968795776367,-3.121644973754883,3.2712116674401424,32,medium,8,validation,task14b/seed8/medium/episode46/step31,0.62,0
3.3887109429625837,task14b/seed8/medium/episode46/step31/unit2,5,1.0879527345263238,0.9323959380864291,0.17370283603668213,-9.355095863342285,7.397038459777832,3.2712116674401424,32,medium,8,validation,task14b/seed8/medium/episode46/step31,0.62,2
