absolute_loss,bce,centered_loss,epoch,loss,margin,method,train_seed,validation_absolute_mae,validation_balanced_accuracy,validation_centered_mae,validation_false_noop_rate,validation_score,validation_wasteful_engage_rate
0.9938316941261292,,0.009461002424359322,0,1.0032926797866821,,risk_regression,20,0.8540800612216517,,0.10024365004728286,,0.9543237112689346,
0.9840244054794312,,0.018740953877568245,1,1.002765417098999,,risk_regression,20,0.8211769177920883,,0.11194225338118434,,0.9331191711732727,
0.9182895421981812,,0.01523795910179615,2,0.9335275292396545,,risk_regression,20,0.769442938289636,,0.08653600540682893,,0.8559789436964649,
0.8761829733848572,,0.01032997015863657,3,0.8865129351615906,,risk_regression,20,0.7641438000434235,,0.06607715190731232,,0.8302209519507359,
0.8643975853919983,,0.008447393774986267,4,0.8728449940681458,,risk_regression,20,0.7740204161352615,,0.06972935058814984,,0.8437497667234114,
0.8153643608093262,,0.00923509243875742,5,0.8245994448661804,,risk_regression,20,0.7966350760595722,,0.06381567227125878,,0.860450748330831,
0.7621647715568542,,0.007406598422676325,6,0.7695713639259338,,risk_regression,20,0.829208182497495,,0.06987750243523565,,0.8990856849327306,
0.7422224879264832,,0.00752474507316947,7,0.7497472167015076,,risk_regression,20,0.8413147156058911,,0.07235716484334526,,0.9136718804492363,
0.7149510979652405,,0.00766349583864212,8,0.722614586353302,,risk_regression,20,0.8336540530658118,,0.0661923421044313,,0.899846395170243,
0.6647751331329346,,0.006841753143817186,9,0.6716169118881226,,risk_regression,20,0.8201328921416934,,0.06483245540984024,,0.8849653475515337,
0.6357482075691223,,0.0067872959189116955,10,0.6425355076789856,,risk_regression,20,0.8227203637708147,,0.06589841709755967,,0.8886187808683743,
0.6228488087654114,,0.007012639194726944,11,0.6298614740371704,,risk_regression,20,0.8317908509004982,,0.06574428554149737,,0.8975351364419956,
0.5845963358879089,,0.006676452234387398,12,0.59127277135849,,risk_regression,20,0.8469220442727968,,0.06575899381388538,,0.9126810380866822,
0.553126871585846,,0.006498297210782766,13,0.5596251487731934,,risk_regression,20,0.860517219612324,,0.06641345713699537,,0.9269306767493193,
0.5433599352836609,,0.006674957927316427,14,0.5500348806381226,,risk_regression,20,0.8452721366603628,,0.06643272260296466,,0.9117048592633274,
0.5098036527633667,,0.006648896727710962,15,0.5164525508880615,,risk_regression,20,0.8152960490323231,,0.06620555181500361,,0.8815016008473268,
0.48141714930534363,,0.006426993291825056,16,0.4878441393375397,,risk_regression,20,0.796826330570464,,0.06643321690469789,,0.8632595474751619,
0.46926575899124146,,0.006323017179965973,17,0.47558876872062683,,risk_regression,20,0.7780279707924463,,0.06650747847097319,,0.8445354492634195,
0.43478646874427795,,0.006280646659433842,18,0.4410671293735504,,risk_regression,20,0.7683185461110614,,0.06642075088338485,,0.8347392969944463,
0.418342649936676,,0.006178601179271936,19,0.42452123761177063,,risk_regression,20,0.7436721718635929,,0.06628448688115036,,0.8099566587447433,
0.4020824432373047,,0.006068665999919176,20,0.40815111994743347,,risk_regression,20,0.7092710067715938,,0.06614690660484343,,0.7754179133764373,
0.37737536430358887,,0.005974782630801201,21,0.383350133895874,,risk_regression,20,0.6934834444423539,,0.06660965466521965,,0.7600930991075735,
0.3738565146923065,,0.005865032318979502,22,0.3797215521335602,,risk_regression,20,0.669849919049536,,0.06934321258644663,,0.7391931316359825,
0.3529227375984192,,0.005817732773721218,23,0.3587404787540436,,risk_regression,20,0.65007200309243,,0.07229423195706468,,0.7223662350494946,
0.35020744800567627,,0.005861911457031965,24,0.3560693562030792,,risk_regression,20,0.6335722772185275,,0.07189718129402008,,0.7054694585125476,
0.33559170365333557,,0.005730342119932175,25,0.34132203459739685,,risk_regression,20,0.6241649681908336,,0.07016783872205762,,0.6943328069128911,
0.32914072275161743,,0.005674256011843681,26,0.33481496572494507,,risk_regression,20,0.611990019025573,,0.07024018794452334,,0.6822302069700964,
0.31892824172973633,,0.0057005989365279675,27,0.3246288299560547,,risk_regression,20,0.5991085263767804,,0.07199270007148385,,0.6711012264482642,
0.3100164830684662,,0.0056623173877596855,28,0.31567880511283875,,risk_regression,20,0.5936553616974986,,0.07344450340353248,,0.667099865101031,
0.30252137780189514,,0.005643154960125685,29,0.3081645369529724,,risk_regression,20,0.5944492661975582,,0.07423610638104239,,0.6686853725786006,
0.2937035858631134,,0.005625915713608265,30,0.2993294894695282,,risk_regression,20,0.594336650395439,,0.07603973735919325,,0.6703763877546323,
