scenario,slot,contexts,sub_shot_mean_aggregate,sub_shot_mean_lower,sub_shot_mean_upper,sub_shot_mean_median,sub_shot_mean_q25,sub_shot_mean_q75,sub_cost_mean_aggregate,sub_cost_mean_lower,sub_cost_mean_upper,sub_cost_mean_median,sub_cost_mean_q25,sub_cost_mean_q75,rho_sub_mean_aggregate,rho_sub_mean_lower,rho_sub_mean_upper,rho_sub_mean_median,rho_sub_mean_q25,rho_sub_mean_q75,episode_cost_delta_mean_aggregate,episode_cost_delta_mean_lower,episode_cost_delta_mean_upper,episode_cost_delta_mean_median,episode_cost_delta_mean_q25,episode_cost_delta_mean_q75,cost_sign_masked_rate_aggregate,cost_sign_masked_rate_lower,cost_sign_masked_rate_upper,cost_sign_masked_rate_median,cost_sign_masked_rate_q25,cost_sign_masked_rate_q75
heterogeneity_pressure,resource,18,0.8762872424235361,0.7651462946630683,0.9874281901840039,0.9948509205132723,0.9106081651989371,1.0,1.3754162864358577,0.808954560192532,1.9418780126791835,0.9087626125081443,0.25,2.7880023543606516,0.9505151204625021,0.862078974551641,1.038951266373363,0.9995402200480125,0.9741345639631618,1.0,0.017899665090307174,-0.009715472217872573,0.04551480239848692,0.0,0.0,0.00821455818950198,0.8645833333333334,0.7660443741822025,0.9631222924844642,0.96875,0.78125,1.0
heterogeneity_pressure,safety,18,0.7953185471706092,0.6544472116345118,0.9361898827067067,0.9141294746659696,0.7199610881507397,0.9983580020489171,1.0828593474347143,0.6221213353932473,1.5435973594761814,0.7013969875173645,0.2441406212747097,1.6222059148945844,0.885291859603711,0.7559424440671231,1.0146412751402991,0.9471711834194136,0.7949133495276326,1.0000000074505806,0.15292401577915168,0.007648550969825502,0.2981994805884779,0.03416588858235632,0.0,0.1931644964497536,0.7552083333333334,0.6169794552620593,0.8934372114046074,0.84375,0.6640625,0.96875
medium,resource,18,0.5438089437731024,0.3716946884812636,0.7159231990649413,0.4900217507965863,0.2502131313085556,0.9168189712800086,0.781633975618105,0.480107819674977,1.083160131561233,0.5,0.42678064946085215,0.9778782711364329,0.6629333351803426,0.5047106859506045,0.8211559844100806,0.8022151150507852,0.419921875,0.976871282357024,0.3006652715202007,0.10702381120961904,0.49430673183078244,0.06964623369276524,0.0,0.48016479739453644,0.6197916666666666,0.4663467394440325,0.7732365938893008,0.609375,0.3671875,0.984375
medium,safety,18,0.44033462898288334,0.05972806829023519,0.8209411896755314,0.7150577125139534,0.390146131394431,0.9636583901010454,0.42418325992508066,-0.10275825165564745,0.9511247715058088,0.4999999925494194,0.42029866157099605,1.0859815573785454,0.3245977610220305,-0.38901360414722547,1.0382091261912865,0.7998874547192827,0.5539389207260683,0.9843749552965164,0.7413236724419726,0.199987842470556,1.2826595024133893,0.1519628397654742,0.0078125,0.8765664302627556,0.6475694444444444,0.5000262076328272,0.7951126812560616,0.671875,0.46875,0.9375
time_pressure,resource,18,0.5497238466309177,0.36836823503279426,0.7310794582290411,0.6182023547589779,0.109375,0.819368164986372,0.7178503646411829,0.4157169818831968,1.019983747399169,0.5420364215970039,0.09017868526279926,1.0,0.7995895757210545,0.4928872258009133,1.1062919256411956,0.9307501687435433,0.125,1.0390625,0.38562187198032105,0.045300283711106726,0.7259434602495354,0.031317656859755516,-0.026074761524796486,0.93359375,0.5885416666666666,0.42444075885302457,0.7526425744803087,0.59375,0.4140625,0.953125
time_pressure,safety,18,0.40262370455699664,0.13823318159321368,0.6670142275207795,0.47811434511095285,-0.16187489847652614,0.9999999403953552,0.32769087003543973,0.019570472030603248,0.6358112680402762,0.4999999701976776,-0.11495508055668324,0.5,0.34926270491754013,-0.013430702351825197,0.7119561121869055,0.5761764305643737,-0.05747754027834162,0.9999999403953552,0.8285591125798722,0.4107076763204172,1.2464105488393273,0.5406532289925963,0.0,1.2784979534335434,0.5711805555555556,0.3871768197662937,0.7551842913448175,0.59375,0.1484375,1.0
