context_id,scenario,policy_seed,slot,episode_index,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,legal_targets,target_probabilities,safety_score,resource_score
confirm_medium_seed19_safety01_e01_t30_u0,medium,19,safety,1,1784413353,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,0,missile,2.0,"0,3,4","0.332002073526,0.339089363813,0.328908532858",4.586238205791995,2.0
confirm_medium_seed19_safety02_e01_t30_u2,medium,19,safety,1,1784413353,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,2,laser,0.5,"3,4","0.507444500923,0.492555469275",4.586238205791995,1.25
confirm_medium_seed19_safety03_e14_t30_u2,medium,19,safety,14,1784413366,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,2,laser,0.5,"1,2,3","0.338733434677,0.332677274942,0.328589260578",4.58031991424363,1.25
confirm_medium_seed19_safety04_e14_t30_u1,medium,19,safety,14,1784413366,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,1,missile,2.0,"1,2,3","0.338941544294,0.332589060068,0.328469395638",4.58031991424363,2.0
confirm_medium_seed19_safety05_e14_t30_u0,medium,19,safety,14,1784413366,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,0,missile,2.0,"1,2,3","0.338933199644,0.33250901103,0.328557789326",4.58031991424363,2.0
confirm_medium_seed19_resource00_e00_t46_u1,medium,19,resource,0,1784413352,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,1,missile,2.0,"0,2,4","0.33058154583,0.335335850716,0.334082603455",0.8322442755458024,2.0
confirm_medium_seed19_resource01_e00_t46_u0,medium,19,resource,0,1784413352,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,0,missile,2.0,"0,2,4","0.330650836229,0.335189580917,0.334159582853",0.8322442755458024,2.0
confirm_medium_seed19_resource02_e00_t45_u1,medium,19,resource,0,1784413352,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,1,missile,2.0,"0,2,4","0.330526530743,0.335347950459,0.334125548601",0.24099340947859324,2.0
confirm_medium_seed19_resource03_e00_t46_u2,medium,19,resource,0,1784413352,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,2,laser,0.5,"0,2,4","0.330541044474,0.335309863091,0.334149122238",0.8322442755458024,1.25
confirm_medium_seed19_resource04_e00_t45_u2,medium,19,resource,0,1784413352,45,088548767f21db2156bdc005d583d36207ac6237559d367ea4d1d1eb669bb597,2,laser,0.5,"0,2,4","0.330486655235,0.335329949856,0.334183394909",0.24099340947859324,1.25
confirm_medium_seed19_resource05_e00_t48_u2,medium,19,resource,0,1784413352,48,01edf6f0db2e7737e61bf294c8bd124f95a57a860e49f96b39a971c1e94fb04e,2,laser,0.5,"2,4","0.500887870789,0.499112129211",0.976414947896324,1.25
confirm_time_pressure_seed17_safety00_e06_t17_u2,time_pressure,17,safety,6,887397740,17,0682868d07e405b07acdfd3083521b48cf959327fa6e3b9de7e8a90e0cfb4e68,2,laser,0.5,"1,2","0.488969832659,0.511030137539",2.0743796481914987,1.05
confirm_time_pressure_seed17_safety01_e17_t20_u2,time_pressure,17,safety,17,887397751,20,31a51fd63494fad5c9e81a5be9338afb58582f26a987984d8216c82e147e54f5,2,laser,0.5,"0,2,4","0.327277958393,0.330573767424,0.342148214579",0.9633204495865072,1.15
confirm_time_pressure_seed17_safety02_e11_t20_u2,time_pressure,17,safety,11,887397745,20,76ae51a477b0160b1b033f2f10b30a803ed1041e93ce7d8fccd312983874cd83,2,laser,0.5,3,1,0.7259787381072431,1.15
confirm_time_pressure_seed17_safety03_e06_t16_u2,time_pressure,17,safety,6,887397740,16,5e1d6f6524fd9f9677c87d6b4b46e46247a8c565bee47669762dbda579191044,2,laser,0.5,"1,2","0.488768190145,0.511231780052",0.45196987286099144,0.95
confirm_time_pressure_seed17_safety04_e11_t19_u2,time_pressure,17,safety,11,887397745,19,437871f3be2169d36ba0c1a35c07d168bd51cf5382e1c128fb012652ff806e9e,2,laser,0.5,3,1,0.40580192036108764,1.05
confirm_time_pressure_seed17_safety05_e17_t19_u2,time_pressure,17,safety,17,887397751,19,c414d29b68b8124a9af9a02a27d5262fac2e5f46ae707591f674cd2730c2f81e,2,laser,0.5,"0,2,4","0.32736903429,0.330489754677,0.342141151428",0.34755666716109684,1.05
confirm_time_pressure_seed17_resource00_e04_t04_u0,time_pressure,17,resource,4,887397738,4,8019b9ee9d479e196288ce04599fed322d8f716568e4bc6994205f8feda89ac4,0,missile,2.0,"1,2","0.495669841766,0.504330098629",0.03724031820748635,2.666666666666667
confirm_time_pressure_seed17_resource01_e23_t04_u1,time_pressure,17,resource,23,887397757,4,27894819a84137c4addf4906e4b2a1f3ff43e9954931c362652a4ed702bb526e,1,missile,2.0,"1,2,3","0.33141759038,0.333128541708,0.33545383811",0.019459823304379106,2.666666666666667
confirm_time_pressure_seed17_resource02_e16_t04_u1,time_pressure,17,resource,16,887397750,4,39a7a58c1b69a91b9120a5589cdf14dafe9a667cd4569c4d2703c73f2bef95f5,1,missile,2.0,"1,3,4","0.337569475174,0.334711849689,0.327718704939",0.04830480041115201,2.666666666666667
confirm_time_pressure_seed17_resource03_e23_t04_u2,time_pressure,17,resource,23,887397757,4,27894819a84137c4addf4906e4b2a1f3ff43e9954931c362652a4ed702bb526e,2,laser,0.5,1,1,0.019459823304379106,1.65
confirm_time_pressure_seed17_resource04_e20_t04_u2,time_pressure,17,resource,20,887397754,4,143672aa73ebcb747b377ac779f81995326f0b1948a8a3e66054058be38ea4cf,2,laser,0.5,1,1,0.022341966696345025,1.65
confirm_time_pressure_seed17_resource05_e12_t04_u2,time_pressure,17,resource,12,887397746,4,34256bf22944203f69e3ae5260459770260f888e8d20831a6118fda2d597242f,2,laser,0.5,1,1,0.058367787493268763,1.55
confirm_time_pressure_seed18_safety00_e05_t27_u2,time_pressure,18,safety,5,887407739,27,46c58139f19e3dcb57e127b6320e7ff07ed6c0958fe213e900c02eeae10364e6,2,laser,0.5,"1,4","0.505947709084,0.494052261114",5.0204515811805095,1.25
confirm_time_pressure_seed18_safety01_e05_t27_u1,time_pressure,18,safety,5,887407739,27,46c58139f19e3dcb57e127b6320e7ff07ed6c0958fe213e900c02eeae10364e6,1,missile,2.0,"1,4","0.505554795265,0.494445174932",5.0204515811805095,2.0
confirm_time_pressure_seed18_safety02_e05_t27_u0,time_pressure,18,safety,5,887407739,27,46c58139f19e3dcb57e127b6320e7ff07ed6c0958fe213e900c02eeae10364e6,0,missile,2.0,"1,4","0.505837023258,0.494162946939",5.0204515811805095,2.0
confirm_time_pressure_seed18_safety03_e00_t21_u2,time_pressure,18,safety,0,887407734,21,ebaf32dae674f7cf81cde2fa373f8630e443eae9e574c5eecfb09d6f56cb1ec7,2,laser,0.5,"1,2,3,4","0.248348921537,0.244532510638,0.255356252193,0.251762330532",4.4902251135921505,1.25
confirm_time_pressure_seed18_safety04_e00_t21_u1,time_pressure,18,safety,0,887407734,21,ebaf32dae674f7cf81cde2fa373f8630e443eae9e574c5eecfb09d6f56cb1ec7,1,missile,2.0,"1,2,3,4","0.248241856694,0.244384244084,0.255751669407,0.251622200012",4.4902251135921505,2.0
