method,train_scenario,run_index,train_seed,timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,advantage_mean,advantage_std,positive_advantage_rate,actor_gradient_norm,critic_gradient_norm
role_conditioned_ar_ppo_order_012,medium,0,8,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
role_conditioned_ar_ppo_order_012,medium,0,8,2048,-0.0035711226519197226,85.28431158065796,-0.6591049611568451,0.011552711948752403,0.05390625,0.002999424934387207,-2.88070792745566,8.99209468204773,0.51171875,0.00492704139107924,0.4999756902403113
role_conditioned_ar_ppo_order_012,medium,0,8,4096,-0.0005272439215332269,131.12473106384277,-0.6165838204324245,0.0009009602945297956,0.0,0.3322021961212158,-4.513292838615598,11.178156323529835,0.40234375,0.0008995954795409282,0.49999921695309846
role_conditioned_ar_ppo_order_012,medium,0,8,6144,-0.00034401188604533673,96.07036514282227,-0.6779755286872386,0.00014549517072737217,0.0,0.5587844848632812,-1.40643100021407,11.965644692147418,0.4453125,0.0015063577194450914,0.4999974256343401
role_conditioned_ar_ppo_order_012,medium,0,8,8192,0.00014509668690152467,77.5408742904663,-0.5044870063662529,4.3793581426143646e-05,0.0,0.6404193639755249,-3.2813249955070205,8.75333310897776,0.43359375,0.0030895538349012086,0.49999046649376805
role_conditioned_ar_ppo_order_012,medium,0,8,10240,-0.0015405804966576397,49.81609325408935,-0.5453261345624923,0.0008703710045665503,0.000390625,0.8046786189079285,-2.25835734364955,8.007095357888085,0.3828125,0.003135695388804766,0.49999010086816104
role_conditioned_ar_ppo_order_012,medium,0,8,12032,-0.008929740975145251,36.762729454040525,-0.7265891402959823,0.006543810945004225,0.080078125,0.6914781332015991,0.39149205497233197,7.391182054097849,0.63671875,0.0022851327829955257,0.4999947489508451
role_conditioned_ar_ppo_order_012,medium,0,8,14080,-0.010220026329625398,109.38294076919556,-0.7731691122055053,0.013593928888440132,0.06796875,0.6816592216491699,-6.794944771798328,11.156229448545798,0.16796875,0.0014957992407885865,0.4999978937238423
role_conditioned_ar_ppo_order_012,medium,0,8,16128,-0.0023083042353391646,49.3163562297821,-0.657840034365654,0.003673167433589697,0.003515625,0.3476060628890991,1.0710570915107382,8.277890112122693,0.66796875,0.0029734132355811603,0.4999912008068177
role_conditioned_ar_ppo_order_012,medium,0,8,18176,-0.002884758450090885,82.0354790687561,-0.6083202689886094,0.0043477811850607395,0.00546875,0.16896414756774902,2.090202314313501,11.046488160883388,0.625,0.002679961041400243,0.49999285442131847
role_conditioned_ar_ppo_order_012,medium,0,8,20224,1.64516968652606e-05,223.98190422058104,-0.7013766139745712,7.479672785848379e-05,0.0,0.381725013256073,12.619713426625822,13.672134483311543,0.890625,0.0010758066591677153,0.4999987531598748
role_conditioned_ar_ppo_order_012,medium,0,8,22016,-0.0018602619995363057,117.59399995803832,-0.8688642218708992,0.003376143518835306,0.001171875,0.7678207159042358,-12.669104240601882,10.121725879517367,0.0546875,0.0009808362589345681,0.49999903228991455
role_conditioned_ar_ppo_order_012,medium,0,8,24064,-0.00036783425603061917,49.90470323562622,-0.9054079368710518,0.003266653511673212,0.001953125,-0.3898475170135498,0.7069601665134542,9.688653937431802,0.48046875,0.007954098505191737,0.4999366518950452
role_conditioned_ar_ppo_order_012,medium,0,8,26112,-0.006024061911739409,111.77882690429688,-0.639362646639347,0.0028599118813872337,0.02578125,0.3272315263748169,6.272075974848121,10.60457493176847,0.83203125,0.0012573003150418986,0.4999984688063495
role_conditioned_ar_ppo_order_012,medium,0,8,28160,-0.00365526566747576,75.36632423400879,-0.8197653457522392,0.0023797289468348026,0.0125,0.5812753438949585,5.091594093362801,10.153267662346652,0.66015625,0.002586530905084084,0.4999932243135748
role_conditioned_ar_ppo_order_012,medium,0,8,30208,-0.001252066867891699,29.97856502532959,-0.8265216618776321,0.0034585422836244106,0.00625,0.7025815844535828,0.49460515441023745,7.191039205302873,0.5703125,0.019403378738973534,0.4996231186507936
factorized_engagement_ar_ppo_order_012,medium,0,8,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
factorized_engagement_ar_ppo_order_012,medium,0,8,2048,-0.0016666672425344586,116.66779251098633,-0.6942171946167945,0.0007715343963354826,0.0,0.00044292211532592773,-2.466841895657126,10.655603390887723,0.6328125,0.0023376266279268366,0.4999945180951878
factorized_engagement_ar_ppo_order_012,medium,0,8,4096,-5.9559009969234467e-05,175.0194242477417,-0.5737142473459244,6.370246410369873e-06,0.0,-0.0716705322265625,-7.119015296397265,12.796194211881382,0.3984375,0.016690998717425843,0.4997211790137848
factorized_engagement_ar_ppo_order_012,medium,0,8,6144,-0.0007946287631057202,84.13535666465759,-0.5680213175714016,0.0006081524770706892,0.0,0.3505186438560486,0.7028829833725467,12.245542877492387,0.4609375,0.0018388612026510143,0.4999964466312502
factorized_engagement_ar_ppo_order_012,medium,0,8,8192,-9.275372140109539e-05,258.12694149017335,-0.5737167619168758,2.1921354345977306e-05,0.0,0.20016074180603027,-9.509958696493413,13.762056124312357,0.2265625,0.00045111046373882144,0.49999980656527443
factorized_engagement_ar_ppo_order_012,medium,0,8,10240,-0.00022941326606087386,81.26651744842529,-0.4658148422837257,0.00012508942745625973,0.0,0.7073878049850464,-5.437299496144988,8.746053014098326,0.22265625,0.0025573826257943074,0.4999934331311902
factorized_engagement_ar_ppo_order_012,medium,0,8,12032,-0.003076019254513085,30.688945150375368,-0.8226000770926476,0.003542630234733224,0.009765625,0.6491475701332092,-1.9223069053259678,6.63627284098014,0.40625,0.0033406366367023242,0.4999888500876345
factorized_engagement_ar_ppo_order_012,medium,0,8,14080,-0.003167197189759463,32.167679738998416,-0.7009267613291741,0.008186101913452148,0.0078125,0.7258820533752441,-1.6600007959932555,6.8879352118954955,0.39453125,0.0013481281740875687,0.4999981249713283
factorized_engagement_ar_ppo_order_012,medium,0,8,16128,-0.0001584248268045485,33.738144111633304,-0.626429059356451,0.00010669161565601826,0.0,0.6616871356964111,-2.1366360943356995,6.768717505931293,0.46875,0.0029455089903085282,0.4999912033552696
factorized_engagement_ar_ppo_order_012,medium,0,8,18176,-0.0006714721908792854,30.735353660583495,-0.6698328837752342,0.0004846968222409487,0.0,0.6588569283485413,-1.5206033476279117,6.816905260505481,0.546875,0.006907688867616064,0.4999522895849555
factorized_engagement_ar_ppo_order_012,medium,0,8,20224,-3.710011951625347e-05,181.66400566101075,-0.6393808707594871,1.3832934200763702e-05,0.0,0.44277435541152954,13.589582673215773,12.813148075791567,0.94921875,0.0007516176420690562,0.4999994931616963
factorized_engagement_ar_ppo_order_012,medium,0,8,22016,-0.002063380368053913,24.16610441207886,-0.6307930052280426,0.002595266094431281,0.00390625,0.7532614469528198,1.919599883724004,5.860844615452029,0.72265625,0.002495331053384056,0.4999936669186776
factorized_engagement_ar_ppo_order_012,medium,0,8,24064,0.00023172992514446377,62.54782767295838,-0.8116702422499656,0.0004143830155953765,0.0,0.6503753662109375,5.762117826147005,9.462577055989584,0.63671875,0.0004771993882565253,0.4999997448628064
factorized_engagement_ar_ppo_order_012,medium,0,8,26112,-0.0011048887390643358,54.62390995025635,-0.6719274386763573,0.0006903803441673517,0.0,0.7223116159439087,-5.899999410583405,7.858467246856343,0.27734375,0.0017612045086955028,0.49999696099967783
factorized_engagement_ar_ppo_order_012,medium,0,8,28160,0.000787955173291266,204.03265953063965,-0.9548959448933602,0.0002846512943506241,0.0,0.49396073818206787,-5.2255141597706825,15.703340093896266,0.4140625,0.0013713855083487432,0.49999796336376484
factorized_engagement_ar_ppo_order_012,medium,0,8,30208,-0.0012916145497001708,216.5682586669922,-1.0108092740178107,0.0007916709873825312,0.0,0.3428986072540283,1.7942782497557346,17.334935079570283,0.54296875,0.001844130913980305,0.4999965910712629
role_conditioned_ar_ppo_order_012,medium,1,9,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
role_conditioned_ar_ppo_order_012,medium,1,9,2048,-0.0005139082204550505,540.902400970459,-0.7347939580678939,0.0003183332737535238,0.0,0.0008625984191894531,-16.9598308657296,16.718128032387586,0.2265625,0.0009573643101919106,0.4999990956981614
role_conditioned_ar_ppo_order_012,medium,1,9,4096,-0.0001487647881731391,231.87265548706054,-0.5281143173575401,1.240079291164875e-05,0.0,0.10502386093139648,-3.3072862166445702,15.630058074986001,0.671875,0.001251088697814924,0.4999984469978957
role_conditioned_ar_ppo_order_012,medium,1,9,6144,-0.0004895102698355913,123.21844654083252,-0.45206360816955565,2.2700754925608635e-05,0.0,0.442280113697052,0.9381527568912134,13.687265785965344,0.5390625,0.0031306368833321427,0.4999901815224645
role_conditioned_ar_ppo_order_012,medium,1,9,8192,-4.4633029028773306e-05,114.235910987854,-0.6761445559561252,0.00014109176117926836,0.0,0.31603020429611206,-3.216559567837976,10.978428245160456,0.47265625,0.0008082622885905574,0.49999944650508615
role_conditioned_ar_ppo_order_012,medium,1,9,10240,-0.004955321457237006,153.89082679748535,-0.856585568189621,0.006294503342360258,0.0171875,0.34797847270965576,1.8394829750989174,14.829619275857358,0.43359375,0.0012659403062403017,0.49999870661488205
role_conditioned_ar_ppo_order_012,medium,1,9,12032,-0.007840763148851692,22.52370901107788,-0.5270003706216813,0.007634393405169249,0.05859375,0.6444333791732788,-3.4338416049213265,5.844461073982617,0.2265625,0.0025114378398957,0.49999381971822404
role_conditioned_ar_ppo_order_012,medium,1,9,14080,-0.0031567209400236605,78.4413459777832,-0.7552647024393082,0.004187118262052536,0.011328125,0.4228987693786621,-5.821659207344055,10.296491879139202,0.22265625,0.0006867833724782458,0.4999996961044584
role_conditioned_ar_ppo_order_012,medium,1,9,16128,-0.0026364097953774034,105.67801837921142,-0.7383644595742226,0.005017419345676899,0.021484375,0.3373209834098816,-4.1503421103116125,11.264094760699923,0.42578125,0.0014555545587333326,0.49999782617156957
role_conditioned_ar_ppo_order_012,medium,1,9,18176,-0.0017671871348284185,59.935191535949706,-0.7844806477427483,0.0024314059410244226,0.004296875,0.32830220460891724,-1.1653137393877842,9.911505066143432,0.51953125,0.0026315969311297488,0.49999286994586994
role_conditioned_ar_ppo_order_012,medium,1,9,20224,-0.009381140652112662,26.141652274131776,-0.7596443489193916,0.008036023005843163,0.071484375,0.758895754814148,-3.125058979843743,5.877119400584183,0.26953125,0.003456816774175034,0.499987944097976
role_conditioned_ar_ppo_order_012,medium,1,9,22016,-0.003230647766031325,51.64903426170349,-0.8026728063821793,0.0021857228130102158,0.007421875,0.6878467798233032,3.3734610384581174,9.068713751016217,0.5625,0.0033635146102547592,0.49998870168847537
role_conditioned_ar_ppo_order_012,medium,1,9,24064,-0.00879985794890672,57.89687628746033,-0.7286675676703454,0.007855694741010666,0.069140625,0.41629236936569214,-1.549628617853159,9.37548209659354,0.46484375,0.0045962333387337935,0.4999786541735634
