method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,unit_decisions,actionable_decisions,engagements,actionable_engagements,all_noop_episode,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,16,216,-47.19734275418921,47,5,3,2,1.560736346912449,7,7,3,0,141,132,7,7,False,False,0.10236029997031437,2.1778787227726464,0.8,2,1,0.5,1.560736346912449,7,0,0.0,0,0.0,2.251041795318998,0.32157739933128543,12.5
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,17,217,-73.170261009766,50,5,1,3,2.339776052988744,2,2,1,0,150,137,2,2,False,False,0.10869150000507943,2.1738300001015887,0.8,2,1,0.5,2.339776052988744,2,0,0.0,0,0.0,0.7867880129054504,0.3933940064527252,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,18,218,-87.88937073228688,47,5,1,4,2.4855064584200965,11,11,1,0,141,118,11,11,False,False,0.10066550004557939,2.1418191499059445,0.8,1,0,0.0,2.4855064584200965,11,0,0.0,0,0.0,0.7644783292577829,0.06949802993252573,14.5
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,19,219,-48.66021749689144,50,5,1,3,1.4535744882663386,3,3,1,0,150,146,3,3,False,False,0.09505839998018928,1.9011679996037856,0.8,1,0,0.0,1.4535744882663388,3,0,0.0,0,0.0,0.4621378944223433,0.15404596480744778,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,20,220,-41.92069519773528,50,5,2,2,1.427499117068812,3,3,2,0,150,138,3,3,False,False,0.0970461999750114,1.940923999500228,0.8,3,1,0.3333333333333333,1.427499117068812,3,0,0.0,0,0.0,1.6317079619776556,0.5439026539925519,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,21,221,-48.63079983749748,38,5,2,3,1.639125498178399,3,3,2,0,114,110,3,3,False,False,0.07345459998032311,1.9330157889558712,0.8,0,0,0.0,1.639125498178399,3,0,0.0,0,0.0,1.6740984351044872,0.5580328117014958,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,22,222,-36.77690419877903,50,5,2,2,1.208994849716991,4,4,2,0,150,125,4,4,False,False,0.0953081999978167,1.906163999956334,0.8,3,2,0.6666666666666666,1.208994849716991,4,0,0.0,0,0.0,1.23481517814283,0.3087037945357075,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,23,223,-43.92928026660518,50,5,1,2,1.4574435088131135,1,1,1,0,150,139,1,1,False,False,0.10672470000281464,2.134494000056293,0.8,3,1,0.3333333333333333,1.4574435088131135,1,0,0.0,0,0.0,0.6652072790255719,0.6652072790255719,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,24,224,-41.46356871068078,47,5,3,2,1.4463245164608656,5,5,3,0,141,127,5,5,False,False,0.10335920000215992,2.199131914939573,0.8,4,2,0.5,1.4463245164608656,5,0,0.0,0,0.0,2.761440035820669,0.5522880071641338,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,25,225,-26.841770428527973,50,5,1,2,0.9159710023365417,1,1,1,0,150,138,1,1,False,False,0.10787749996234197,2.1575499992468394,0.8,3,0,0.0,0.9159710023365417,1,0,0.0,0,0.0,1.3066529937986293,1.3066529937986293,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,26,226,-35.97648040681012,39,5,3,2,1.2154027753869643,6,6,3,0,117,111,6,6,False,False,0.0778492000172264,1.9961333337750358,0.8,2,1,0.5,1.2154027753869643,6,0,0.0,0,0.0,2.3599961567100505,0.39333269278500843,12.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,27,227,-18.63828074047638,43,5,4,1,0.8446485951466782,4,4,4,0,129,126,4,4,False,False,0.08156510000844719,1.8968627908941207,0.8,2,1,0.5,0.8446485951466782,4,0,0.0,0,0.0,3.04434118508313,0.7610852962707825,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,28,228,-29.279814091398173,46,5,3,2,1.1386340845311063,4,4,3,0,138,130,4,4,False,False,0.08952299999509705,1.9461521738064576,0.8,2,0,0.0,1.1386340845311063,4,0,0.0,0,0.0,2.376731102462262,0.5941827756155655,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,29,229,-61.3418092184848,50,5,1,3,1.9530384425802072,1,1,1,0,150,143,1,1,False,False,0.09336519995849812,1.8673039991699625,0.8,3,2,0.6666666666666666,1.9530384425802072,1,0,0.0,0,0.0,0.4348342119286171,0.4348342119286171,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,30,230,-72.69038598599622,48,5,1,4,2.436340121273102,1,1,1,0,144,139,1,1,False,False,0.09383340001659235,1.9548625003456739,0.8,1,0,0.0,2.436340121273102,1,0,0.0,0,0.0,0.6028861704287799,0.6028861704287799,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,31,231,-47.22077537633743,50,5,2,2,1.42628061569265,4,4,2,0,150,136,4,4,False,False,0.09764320001704618,1.9528640003409237,0.8,0,0,0.0,1.42628061569265,4,0,0.0,0,0.0,1.1794900259924908,0.2948725064981227,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,32,232,-66.99472032109702,44,5,2,3,2.2680635625654997,2,2,2,0,132,127,2,2,False,False,0.0855808999913279,1.9450204543483613,0.8,0,0,0.0,2.2680635625654997,2,0,0.0,0,0.0,1.2962570425823583,0.6481285212911791,4.0
