actionable_engagement_rate,all_noop_episode_rate,assignment_conflict_rate,avg_ammo_used,avg_decision_time_ms,avg_invalid_actions,avg_resource_cost,avg_reward,avg_shots,avg_steps,avg_total_damage,avg_zone_weighted_damage,damage_reduction_per_ammo,engagement_rate,episodes,eval_scenario,evaluation_seed,high_threat_leak_rate,hit_rate_per_shot,intercept_rate,leak_rate,method,overkill_rate,run_index,sampling_seed,std_reward,success_rate,train_scenario,train_seed
0.40010167768174887,0.0,0.0,15.74,2.4768511878354698,0.0,16.87,-38.114254463582,15.74,46.3,1.0433996677822894,1.0433996677822894,0.11578430638506607,0.11331893448524118,50.0,medium,200,0.2631578947368421,0.1613722998729352,0.508,0.312,role_conditioned_ar_ppo_order_012,0.0,0,70000,31.10697401859163,0.06,medium,8
0.43211334120425027,0.0,0.0,14.64,2.846410973310417,0.0,16.32,-24.776004047367238,14.64,32.26,0.9582285821628724,0.9582285821628724,0.17111495593372972,0.15127092374457532,50.0,time_pressure,250,0.2261904761904762,0.2390710382513661,0.7,0.296,role_conditioned_ar_ppo_order_012,0.0,0,70001,41.46816383307133,0.22,medium,8
0.39274447949526814,0.0,0.0,14.94,2.835175996430056,0.0,15.135,-35.843891624265844,14.94,45.16,1.0554387917386223,1.0554387917386223,0.1237164742997684,0.11027457927369354,50.0,heterogeneity_pressure,300,0.27835051546391754,0.17670682730923695,0.528,0.304,role_conditioned_ar_ppo_order_012,0.0,0,70002,37.790620324576615,0.1,medium,8
0.2687272727272727,0.0,0.0,14.78,2.477265695130062,0.0,16.39,-27.71175026964907,14.78,44.6,0.886254042490086,0.886254042490086,0.14624631866784266,0.11046337817638266,50.0,medium,200,0.2736842105263158,0.2083897158322057,0.616,0.256,factorized_engagement_ar_ppo_order_012,0.0,0,70000,36.4819596321953,0.14,medium,8
0.26756415649978965,0.0,0.0,12.72,2.9254449190808125,0.0,15.21,-26.987434260480832,12.72,30.9,1.0046875452810915,1.0046875452810915,0.19326968098345,0.1372168284789644,50.0,time_pressure,250,0.27380952380952384,0.2641509433962264,0.672,0.324,factorized_engagement_ar_ppo_order_012,0.0,0,70001,34.21687777015233,0.14,medium,8
0.2826362484157161,0.0,0.0,13.38,2.6391688171351624,0.0,14.745,-39.20505557674863,13.38,44.64,1.1393529713735895,1.1393529713735895,0.14023606420883894,0.09991039426523297,50.0,heterogeneity_pressure,300,0.29896907216494845,0.20179372197309417,0.54,0.328,factorized_engagement_ar_ppo_order_012,0.0,0,70002,35.20167064719434,0.04,medium,8
0.21454993834771888,0.0,0.0,13.92,2.6251433287107853,0.0,15.96,-13.970655653327686,13.92,43.62,0.5700923660160692,0.5700923660160692,0.18300087721929834,0.10637322329206786,50.0,medium,350,0.17272727272727273,0.25287356321839083,0.704,0.168,role_conditioned_ar_ppo_order_012,0.0,1,70100,32.42653862312374,0.18,medium,9
0.2536146932395467,0.0,0.0,12.98,3.6192661397052426,0.0,15.46,-14.511903707806903,12.98,30.36,0.7770563363943527,0.7770563363943527,0.21798809680519804,0.14251207729468598,50.0,time_pressure,400,0.24074074074074073,0.29738058551617874,0.772,0.228,role_conditioned_ar_ppo_order_012,0.0,1,70101,34.7582277992198,0.26,medium,9
0.21179454660748256,0.0,0.0,13.36,2.8933399300127514,0.0,14.74,-30.495686809723097,13.36,45.68,0.9413722517999997,0.9413722517999997,0.16033184882864412,0.09748978400467016,50.0,heterogeneity_pressure,450,0.25663716814159293,0.218562874251497,0.584,0.268,role_conditioned_ar_ppo_order_012,0.0,1,70102,37.826188152779686,0.1,medium,9
0.14985196993851058,0.0,0.0,13.16,2.759044073405169,0.0,15.22,-10.406053767239941,13.16,41.34,0.5249626158742859,0.5249626158742859,0.20333287645221265,0.10611191743267215,50.0,medium,350,0.15454545454545454,0.2811550151975684,0.74,0.16,factorized_engagement_ar_ppo_order_012,0.0,1,70100,29.740532867983454,0.18,medium,9
