method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,prefix_denied,3,67,0.04477611940298507
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,4,67,0.05970149253731343
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,attempted_miss,10,67,0.14925373134328357
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,67,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,never_legal,0,49,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,unassigned,37,49,0.7551020408163265
autoregressive_ppo_order_120,learning,medium,medium,1,1,prefix_denied,10,49,0.20408163265306123
autoregressive_ppo_order_120,learning,medium,medium,1,1,mismatched_resource,0,49,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,attempted_miss,2,49,0.04081632653061224
autoregressive_ppo_order_120,learning,medium,medium,1,1,resource_exhausted,0,49,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,never_legal,0,69,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,unassigned,45,69,0.6521739130434783
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,prefix_denied,15,69,0.21739130434782608
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,mismatched_resource,0,69,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,attempted_miss,9,69,0.13043478260869565
autoregressive_ppo_order_120,learning,medium,time_pressure,1,1,resource_exhausted,0,69,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,never_legal,0,69,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,unassigned,48,69,0.6956521739130435
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,prefix_denied,21,69,0.30434782608695654
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,69,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,attempted_miss,0,69,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,69,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,never_legal,0,48,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,unassigned,15,48,0.3125
autoregressive_ppo_order_201,learning,medium,medium,1,1,prefix_denied,6,48,0.125
autoregressive_ppo_order_201,learning,medium,medium,1,1,mismatched_resource,5,48,0.10416666666666667
autoregressive_ppo_order_201,learning,medium,medium,1,1,attempted_miss,22,48,0.4583333333333333
autoregressive_ppo_order_201,learning,medium,medium,1,1,resource_exhausted,0,48,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,never_legal,0,54,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,unassigned,24,54,0.4444444444444444
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,prefix_denied,5,54,0.09259259259259259
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,mismatched_resource,7,54,0.12962962962962962
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,attempted_miss,18,54,0.3333333333333333
autoregressive_ppo_order_201,learning,medium,time_pressure,1,1,resource_exhausted,0,54,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,never_legal,0,60,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,unassigned,23,60,0.38333333333333336
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,prefix_denied,1,60,0.016666666666666666
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,12,60,0.2
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,attempted_miss,24,60,0.4
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,60,0.0
autoregressive_ppo_order_012,learning,medium,medium,2,2,never_legal,0,55,0.0
autoregressive_ppo_order_012,learning,medium,medium,2,2,unassigned,40,55,0.7272727272727273
autoregressive_ppo_order_012,learning,medium,medium,2,2,prefix_denied,10,55,0.18181818181818182
autoregressive_ppo_order_012,learning,medium,medium,2,2,mismatched_resource,0,55,0.0
autoregressive_ppo_order_012,learning,medium,medium,2,2,attempted_miss,5,55,0.09090909090909091
autoregressive_ppo_order_012,learning,medium,medium,2,2,resource_exhausted,0,55,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,never_legal,0,78,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,unassigned,62,78,0.7948717948717948
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,prefix_denied,8,78,0.10256410256410256
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,mismatched_resource,0,78,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,attempted_miss,8,78,0.10256410256410256
autoregressive_ppo_order_012,learning,medium,time_pressure,2,2,resource_exhausted,0,78,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,never_legal,0,61,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,unassigned,46,61,0.7540983606557377
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,prefix_denied,2,61,0.03278688524590164
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,mismatched_resource,1,61,0.01639344262295082
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,attempted_miss,12,61,0.19672131147540983
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,resource_exhausted,0,61,0.0
autoregressive_ppo_order_120,learning,medium,medium,2,2,never_legal,0,54,0.0
autoregressive_ppo_order_120,learning,medium,medium,2,2,unassigned,47,54,0.8703703703703703
autoregressive_ppo_order_120,learning,medium,medium,2,2,prefix_denied,2,54,0.037037037037037035
autoregressive_ppo_order_120,learning,medium,medium,2,2,mismatched_resource,0,54,0.0
autoregressive_ppo_order_120,learning,medium,medium,2,2,attempted_miss,5,54,0.09259259259259259
autoregressive_ppo_order_120,learning,medium,medium,2,2,resource_exhausted,0,54,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,never_legal,0,70,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,unassigned,62,70,0.8857142857142857
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,prefix_denied,4,70,0.05714285714285714
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,mismatched_resource,0,70,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,attempted_miss,4,70,0.05714285714285714
autoregressive_ppo_order_120,learning,medium,time_pressure,2,2,resource_exhausted,0,70,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,never_legal,0,65,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,unassigned,49,65,0.7538461538461538
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,prefix_denied,15,65,0.23076923076923078
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,mismatched_resource,0,65,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,attempted_miss,1,65,0.015384615384615385
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,resource_exhausted,0,65,0.0
