context_id,scenario,policy_seed,slot,environment_step,observation_hash,unit_index,resource_type,unit_cost,unit_ammo,legal_target_count,target_index,target_weight,target_tti,hit_probability,coverability_before,coverability_after,fcrc_externality,n1_total_substitution_mean
confirm_medium_seed17_safety05_e05_t42_u1,medium,17,safety,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,1,missile,2.0,3,3,0,0.5407417562721039,11.599480045183935,0.4771333725873162,1.292934398581136,1.0828891698247713,0.21004522875636455,1.080119403079152
confirm_medium_seed17_safety05_e05_t42_u1,medium,17,safety,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,1,missile,2.0,3,3,1,0.9362152712076895,0.16215009332310434,0.7517519064510569,0.8577377339505198,0.8577377339505198,0.0,1.080119403079152
confirm_medium_seed17_safety05_e05_t42_u1,medium,17,safety,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,1,missile,2.0,3,3,4,0.6968617364688683,10.20573966059455,0.8220107345581055,0.9804165295572543,0.7703713008008899,0.21004522875636444,1.080119403079152
confirm_medium_seed17_resource00_e22_t49_u0,medium,17,resource,49,0def7a9aca7e3e2e106f64967b53a522755a96d10e3a6cfa326390a888b869d8,0,missile,2.0,3,1,1,0.8126622244310523,17.304608678401728,0.7024451473460478,0.0,0.0,0.0,0.953125
confirm_medium_seed17_resource01_e22_t48_u0,medium,17,resource,48,8cb66dc158faa1dbdc3c3552c7cb9f16ddb470cb0a56c47d3158f4bb48bf29fa,0,missile,2.0,3,1,1,0.8126622244310523,18.304609339991725,0.6879977147719439,0.0,0.0,0.0,1.53125
confirm_medium_seed17_resource02_e22_t47_u0,medium,17,resource,47,d3e6eae2a0a29d76e0e29beacc535e131f169cb2c7694c24dd2014dc1c150ef6,0,missile,2.0,3,1,1,0.8126622244310523,19.30460863482203,0.6735502427045037,0.0,0.0,0.0,2.140625
confirm_medium_seed17_resource03_e22_t49_u2,medium,17,resource,49,0def7a9aca7e3e2e106f64967b53a522755a96d10e3a6cfa326390a888b869d8,2,laser,0.5,10,1,1,0.8126622244310523,17.304608678401728,0.25439852350408376,0.0,0.0,0.0,0.0
confirm_medium_seed17_resource04_e22_t48_u2,medium,17,resource,48,8cb66dc158faa1dbdc3c3552c7cb9f16ddb470cb0a56c47d3158f4bb48bf29fa,2,laser,0.5,10,1,1,0.8126622244310523,18.304609339991725,0.2381802590110085,0.0,0.0,0.0,0.4375
confirm_medium_seed17_resource05_e22_t47_u2,medium,17,resource,47,d3e6eae2a0a29d76e0e29beacc535e131f169cb2c7694c24dd2014dc1c150ef6,2,laser,0.5,10,1,1,0.8126622244310523,19.30460863482203,0.22188634421608666,0.0,0.0,0.0,0.203125
confirm_medium_seed18_safety00_e08_t27_u2,medium,18,safety,27,6f1ed426ae62fcd31ac2c15df53761904f775970a9ac58dca9cd3c519ea7ceb3,2,laser,0.5,3,1,3,0.39437364380982587,0.5330984343433888,0.2284675903320313,0.0,0.0,0.0,0.46875
confirm_medium_seed18_safety01_e14_t27_u2,medium,18,safety,27,4b77279553c44f63301a6e32f28f4fbf8c7b1c021684c78e703fa45d9ebbe02b,2,laser,0.5,1,2,3,0.6538849438882546,1.48578582077018,0.23501808582652703,0.06091185180950998,0.0,0.06091185180950998,0.5000000298023224
