context_id,scenario,policy_seed,slot,resource_type,legal_actions,positive_externality_actions,externality_min,externality_max,externality_span,audit_elapsed_ms
confirm_time_pressure_seed18_safety00_e05_t27_u2,time_pressure,18,safety,laser,2,0,0.0,0.0,0.0,0.8301000016217586
confirm_time_pressure_seed18_safety01_e05_t27_u1,time_pressure,18,safety,missile,2,1,0.0,0.12863842726158092,0.12863842726158092,0.7152000034693629
confirm_time_pressure_seed18_safety02_e05_t27_u0,time_pressure,18,safety,missile,2,0,0.0,0.0,0.0,0.7089999999152496
confirm_time_pressure_seed18_safety03_e00_t21_u2,time_pressure,18,safety,laser,4,0,0.0,0.0,0.0,3.485299999738345
confirm_time_pressure_seed18_safety04_e00_t21_u1,time_pressure,18,safety,missile,4,0,0.0,0.0,0.0,2.877700000681216
confirm_time_pressure_seed18_safety05_e00_t21_u0,time_pressure,18,safety,missile,4,4,0.007493810250979394,0.05862488248696551,0.05113107223598612,2.814600000419887
confirm_time_pressure_seed18_resource00_e14_t39_u1,time_pressure,18,resource,missile,1,0,0.0,0.0,0.0,0.04220000118948519
confirm_time_pressure_seed18_resource01_e14_t38_u1,time_pressure,18,resource,missile,1,0,0.0,0.0,0.0,0.03690000085043721
confirm_time_pressure_seed18_resource02_e14_t39_u0,time_pressure,18,resource,missile,1,0,0.0,0.0,0.0,0.03569999898900278
confirm_time_pressure_seed18_resource03_e14_t39_u2,time_pressure,18,resource,laser,1,0,0.0,0.0,0.0,0.03440000000409782
confirm_time_pressure_seed18_resource04_e14_t38_u2,time_pressure,18,resource,laser,1,0,0.0,0.0,0.0,0.035099998058285564
confirm_time_pressure_seed18_resource05_e14_t37_u2,time_pressure,18,resource,laser,1,0,0.0,0.0,0.0,0.03470000228844583
confirm_time_pressure_seed19_safety00_e15_t29_u2,time_pressure,19,safety,laser,2,0,0.0,0.0,0.0,0.5857000032847282
confirm_time_pressure_seed19_safety01_e15_t29_u1,time_pressure,19,safety,missile,2,0,0.0,0.0,0.0,0.5210999988776166
confirm_time_pressure_seed19_safety02_e15_t29_u0,time_pressure,19,safety,missile,2,1,0.0,0.04818149752784551,0.04818149752784551,0.5173999998078216
confirm_time_pressure_seed19_safety03_e04_t21_u0,time_pressure,19,safety,missile,3,1,0.0,0.008512885940669568,0.008512885940669568,0.5347999976947904
confirm_time_pressure_seed19_safety04_e04_t21_u1,time_pressure,19,safety,missile,2,1,0.0,0.0433586313418588,0.0433586313418588,0.365700001566438
confirm_time_pressure_seed19_safety05_e12_t20_u2,time_pressure,19,safety,laser,4,0,0.0,0.0,0.0,2.239400000689784
confirm_time_pressure_seed19_resource00_e00_t38_u1,time_pressure,19,resource,missile,1,0,0.0,0.0,0.0,0.04039999839733355
confirm_time_pressure_seed19_resource01_e00_t38_u0,time_pressure,19,resource,missile,1,0,0.0,0.0,0.0,0.035400000342633575
confirm_time_pressure_seed19_resource02_e00_t37_u1,time_pressure,19,resource,missile,1,0,0.0,0.0,0.0,0.035099998058285564
confirm_time_pressure_seed19_resource03_e12_t22_u2,time_pressure,19,resource,laser,2,0,0.0,0.0,0.0,0.40359999911743216
confirm_time_pressure_seed19_resource04_e00_t24_u2,time_pressure,19,resource,laser,2,0,0.0,0.0,0.0,0.3997000021627173
confirm_time_pressure_seed19_resource05_e11_t25_u2,time_pressure,19,resource,laser,2,0,0.0,0.0,0.0,0.3501999999571126
confirm_heterogeneity_pressure_seed17_safety00_e06_t33_u2,heterogeneity_pressure,17,safety,laser,3,3,0.02611552810354114,0.06870984319394155,0.04259431509040041,0.36810000165132806
confirm_heterogeneity_pressure_seed17_safety01_e10_t26_u2,heterogeneity_pressure,17,safety,laser,1,0,0.0,0.0,0.0,0.17360000128974207
confirm_heterogeneity_pressure_seed17_safety02_e02_t24_u2,heterogeneity_pressure,17,safety,laser,1,0,0.0,0.0,0.0,0.12649999916902743
confirm_heterogeneity_pressure_seed17_safety03_e05_t30_u2,heterogeneity_pressure,17,safety,laser,1,0,0.0,0.0,0.0,0.1604999997653067
confirm_heterogeneity_pressure_seed17_safety04_e20_t19_u2,heterogeneity_pressure,17,safety,laser,3,3,0.061025738135859084,0.20271897460458127,0.14169323646872217,0.44539999726112
confirm_heterogeneity_pressure_seed17_safety05_e23_t30_u2,heterogeneity_pressure,17,safety,laser,1,0,0.0,0.0,0.0,0.07099999857018702
confirm_heterogeneity_pressure_seed17_resource00_e23_t04_u0,heterogeneity_pressure,17,resource,missile,2,2,0.05998903720473376,0.06880532906106193,0.008816291856328172,1.1615000003075693
confirm_heterogeneity_pressure_seed17_resource01_e03_t04_u0,heterogeneity_pressure,17,resource,missile,2,2,0.028493309727459275,0.048610252869923945,0.02011694314246467,0.9443999988434371
confirm_heterogeneity_pressure_seed17_resource02_e21_t04_u0,heterogeneity_pressure,17,resource,missile,2,1,0.0,0.23147163486617822,0.23147163486617822,1.5753000006952789
confirm_heterogeneity_pressure_seed17_resource03_e17_t04_u2,heterogeneity_pressure,17,resource,laser,1,0,0.0,0.0,0.0,0.8471999972243793
