outcome,scenario,policy_seed,rows,contexts,positive_rate_context_weighted,m0_auroc,m1_auroc,auroc_increment,m0_balanced_accuracy,m1_balanced_accuracy,balanced_accuracy_increment,m0_log_loss,m1_log_loss,log_loss_improvement
downstream_argmax_changed,heterogeneity_pressure,0,1735,263,0.0,,,,1.0,1.0,0.0,0.021438215510354675,0.014285724942382456,0.007152490567972219
downstream_argmax_changed,heterogeneity_pressure,1,1748,263,0.0,,,,1.0,1.0,0.0,0.0018389209310810432,0.0012533286404520084,0.0005855922906290347
downstream_argmax_changed,heterogeneity_pressure,2,1721,263,0.1831432192648923,0.814772590001634,0.940645225369844,0.12587263536820992,0.6225836932682984,0.825222739120747,0.20263904585244852,0.4010099846897412,0.25310697610429206,0.14790300858544914
downstream_argmax_changed,time_pressure,0,2430,271,0.0024600246002460025,0.8511097410604149,0.8881011097410569,0.03699136868064201,0.5,0.5,0.0,0.015623532863628933,0.019392200903257707,-0.0037686680396287735
downstream_argmax_changed,time_pressure,1,2444,271,0.0,,,,1.0,1.0,0.0,0.005792411037937858,0.010989828854202932,-0.005197417816265075
downstream_argmax_changed,time_pressure,2,2433,269,0.17335811648079302,0.8956322421876781,0.9575801461716059,0.0619479039839278,0.6503522710238382,0.7658521960725522,0.11549992504871398,1.5842781007208149,0.9369975986425082,0.6472805020783067
high_threat_legal_but_unassigned_changed,heterogeneity_pressure,0,1735,263,0.12839036755386565,0.9476129783513751,0.990397480707757,0.04278450235638187,0.8952499289087713,0.9636100477133026,0.0683601188045313,0.28052180186753095,0.13314368598247026,0.1473781158850607
high_threat_legal_but_unassigned_changed,heterogeneity_pressure,1,1748,263,0.12686945500633715,0.9467955473181192,0.9895659573406705,0.04277041002255133,0.8940853021271069,0.9651878097225751,0.07110250759546821,0.2812613753072793,0.13570825476427384,0.14555312054300545
high_threat_legal_but_unassigned_changed,heterogeneity_pressure,2,1721,263,0.08124207858048163,0.9050645320060275,0.9142118478227873,0.00914731581675976,0.8176083892576274,0.8840039047830359,0.06639551552540857,0.3867121984860735,0.3185287046100331,0.06818349387604045
high_threat_legal_but_unassigned_changed,time_pressure,0,2430,271,0.16223862238622386,0.8090513617482429,0.898309039173016,0.08925767742477309,0.823891668797373,0.8613224226207661,0.037430753823393115,0.6533255305600936,0.5134248464917768,0.1399006840683168
high_threat_legal_but_unassigned_changed,time_pressure,1,2444,271,0.16186961869618696,0.808715328177365,0.9018725304508926,0.09315720227352753,0.8258682954724872,0.8669485673604205,0.041080271887933284,0.6461363514828693,0.5025680509392713,0.14356830054359804
high_threat_legal_but_unassigned_changed,time_pressure,2,2433,269,0.15192069392812887,0.7800316038720694,0.876482824407463,0.09645122053539357,0.795762807207558,0.8477903747271976,0.05202756751963966,0.5303637360197012,0.5013731636423066,0.028990572377394663
prefix_denied_changed,heterogeneity_pressure,0,1735,263,0.43827629911280097,0.7030109443805295,0.7876772429546528,0.08466629857412333,0.6336878670920558,0.8093200144905438,0.17563214739848798,0.6449956276016015,0.5020330388815885,0.142962588720013
prefix_denied_changed,heterogeneity_pressure,1,1748,263,0.4380228136882129,0.703534947752218,0.7871842580063166,0.08364931025409861,0.6343939507843421,0.8108711722547979,0.17647722147045575,0.6415729209841259,0.5022634784502783,0.13930944253384758
prefix_denied_changed,heterogeneity_pressure,2,1721,263,0.4513307984790874,0.7163362571955667,0.793704079298015,0.0773678221024483,0.6331146128955725,0.8097142894952492,0.17659967659967668,0.6381145240809721,0.4954277695425457,0.14268675453842644
prefix_denied_changed,time_pressure,0,2430,271,0.47466174661746613,0.7738377187088142,0.8571005247063918,0.08326280599757752,0.7728717434739623,0.7992692419494012,0.02639749847543893,0.5642108875173368,0.4662615945928226,0.09794929292451421
prefix_denied_changed,time_pressure,1,2444,271,0.4738007380073801,0.7779812809821282,0.8578786051653121,0.07989732418318396,0.7753452060021626,0.8003213936695592,0.02497618766739662,0.5606680416041858,0.46460600429851645,0.09606203730566937
prefix_denied_changed,time_pressure,2,2433,269,0.47422552664188355,0.7805953284405618,0.8571082292906128,0.07651290085005102,0.773667611346029,0.7923812601840821,0.018713648838053043,0.5574351410845345,0.46477603062111494,0.09265911046341957
engagement_extreme_direction_nonzero,heterogeneity_pressure,0,1735,263,0.5641318124207858,0.9999784412205432,0.9999888939620979,1.045274155464515e-05,0.996074440244257,0.996074440244257,0.0,0.03393787128301795,0.03502620003737363,-0.0010883287543556816
engagement_extreme_direction_nonzero,heterogeneity_pressure,1,1748,263,0.5665399239543726,1.0,1.0,0.0,1.0,1.0,0.0,0.029744802479398858,0.0299269258336076,-0.0001821233542087415
engagement_extreme_direction_nonzero,heterogeneity_pressure,2,1721,263,0.5012674271229404,0.9131239789435465,0.9385192693532859,0.025395290409739424,0.8845702205722891,0.8845702205722891,0.0,0.50119064819443,0.49336729176227667,0.007823356432153372
engagement_extreme_direction_nonzero,time_pressure,0,2430,271,0.5054120541205412,0.9971614102622219,0.9964060669801865,-0.0007553432820354145,0.9926901472308103,0.9926901472308103,0.0,0.05267626852404707,0.058204035338563484,-0.005527766814516416
engagement_extreme_direction_nonzero,time_pressure,1,2444,271,0.5093480934809348,1.0,1.0,0.0,1.0,1.0,0.0,0.037684132357056636,0.039560708234048135,-0.0018765758769914986
engagement_extreme_direction_nonzero,time_pressure,2,2433,269,0.40817843866171005,0.9242332450046217,0.9494398220611253,0.025206577056503643,0.8828847485759079,0.8828847485759079,0.0,0.4033632605333793,0.3775494818493113,0.02581377868406798
