outcome,outcome_role,metric,m0,m1,increment,bootstrap_95ci_lower,bootstrap_95ci_upper,permutation_median,maxT_fwer_p,metric_gate_passed
downstream_argmax_changed,mechanical_control,auroc,0.920557106028642,0.9672917016839453,0.046734595655303246,,,,,
downstream_argmax_changed,mechanical_control,balanced_accuracy,0.7726517152877754,0.8893797565742948,0.11672804128651937,,,,,
downstream_argmax_changed,mechanical_control,log_loss,0.339726276717952,0.20683736869176297,0.13288890802618905,,,,,
high_threat_legal_but_unassigned_changed,co_primary,auroc,0.8645324750113373,0.9310601322607166,0.06652765724937926,0.0393087602712715,0.08670999831874104,-0.0001713377006489214,0.000999000999000999,True
high_threat_legal_but_unassigned_changed,co_primary,balanced_accuracy,0.8442923611366512,0.8993545493498778,0.055062188213226615,0.03972420697996428,0.07081211331504768,0.00021695111368236208,0.000999000999000999,True
high_threat_legal_but_unassigned_changed,co_primary,log_loss,0.46517268676359685,0.35292785372026675,0.1122448330433301,,,,,
prefix_denied_changed,co_primary,auroc,0.739999751001569,0.8278561020810489,0.08785635107947987,0.07469057125617246,0.09904152645084549,-0.0002369509940434722,0.000999000999000999,True
prefix_denied_changed,co_primary,balanced_accuracy,0.7039371227884523,0.8047266647067284,0.10078954191827605,0.04056659650245686,0.1594850017397861,-0.00022713850906286304,0.000999000999000999,True
prefix_denied_changed,co_primary,log_loss,0.600614931784384,0.482323349365377,0.11829158241900695,,,,,
engagement_extreme_direction_nonzero,co_primary,auroc,0.9777902460058956,0.9806320077884968,0.0028417617826012043,-0.00028386803978551755,0.013262761739211633,-2.9154327818581294e-05,0.01998001998001998,False
engagement_extreme_direction_nonzero,co_primary,balanced_accuracy,0.9570974861051248,0.9570974861051248,0.0,0.0,0.0,0.0,0.999000999000999,False
engagement_extreme_direction_nonzero,co_primary,log_loss,0.17597129337306802,0.1718083287269933,0.004162964646074713,,,,,
