record_type,grouping,group_value,n,contexts,zero_rate,mean,standard_deviation,minimum,p25,median,p75,maximum,outcome,outcome_rate,range
ds_distribution,pooled,core,12511,1600.0,0.23299496443130047,0.3150498077293256,0.2179120773097796,0.0,0.16666666666666663,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario,heterogeneity_pressure,5204,789.0,0.25518831667947733,0.3245230690600991,0.23213223200421054,0.0,0.0,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario,time_pressure,7307,811.0,0.21718899685233337,0.3083030098690074,0.2069261066535437,0.0,0.16666666666666663,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed,heterogeneity_pressure|0,1735,263.0,0.25360230547550433,0.3256294687266261,0.23204290962020235,0.0,0.0,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed,heterogeneity_pressure|1,1748,263.0,0.2540045766590389,0.32439957755951354,0.23174260605075608,0.0,0.0,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed,heterogeneity_pressure|2,1721,263.0,0.2579895409645555,0.3235330979512084,0.2326123711732469,0.0,0.0,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed,time_pressure|0,2430,271.0,0.2176954732510288,0.30883677546129457,0.20728318373170448,0.0,0.16666666666666663,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed,time_pressure|1,2444,271.0,0.21644844517184944,0.30824742131926314,0.20668469456044902,0.0,0.16666666666666663,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed,time_pressure|2,2433,269.0,0.21742704480065764,0.3078257423089242,0.20681024634373807,0.0,0.16666666666666663,0.33333333333333337,0.5,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,heterogeneity_pressure|0|0,901,105.0,0.17425083240843509,0.39594945790680325,0.2306043387977865,0.0,0.25,0.46153846153846156,0.5714285714285714,0.8,,,
ds_distribution,scenario|policy_seed|unit_position,heterogeneity_pressure|0|1,834,158.0,0.3393285371702638,0.24966027178257394,0.2084453363813451,0.0,0.0,0.25,0.4,0.6666666666666667,,,
