method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,never_legal,0,73,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,unassigned,73,73,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,prefix_denied,0,73,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,mismatched_resource,0,73,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,attempted_miss,0,73,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,resource_exhausted,0,73,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,never_legal,0,93,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,unassigned,93,93,1.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,prefix_denied,0,93,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,mismatched_resource,0,93,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,attempted_miss,0,93,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,resource_exhausted,0,93,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,never_legal,0,85,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,unassigned,85,85,1.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,prefix_denied,0,85,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,85,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,attempted_miss,0,85,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,85,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,never_legal,0,19,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,unassigned,15,19,0.7894736842105263
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,prefix_denied,0,19,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,mismatched_resource,0,19,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,attempted_miss,4,19,0.21052631578947367
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,resource_exhausted,0,19,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,never_legal,0,33,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,unassigned,30,33,0.9090909090909091
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,prefix_denied,0,33,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,mismatched_resource,0,33,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,attempted_miss,3,33,0.09090909090909091
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,resource_exhausted,0,33,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,never_legal,0,22,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,unassigned,17,22,0.7727272727272727
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,prefix_denied,0,22,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,22,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,attempted_miss,5,22,0.22727272727272727
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,22,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,never_legal,0,50,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,unassigned,47,50,0.94
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,prefix_denied,3,50,0.06
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,mismatched_resource,0,50,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,attempted_miss,0,50,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,resource_exhausted,0,50,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,never_legal,0,77,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,unassigned,66,77,0.8571428571428571
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,prefix_denied,9,77,0.11688311688311688
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,mismatched_resource,0,77,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,attempted_miss,2,77,0.025974025974025976
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,resource_exhausted,0,77,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,never_legal,0,66,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,unassigned,57,66,0.8636363636363636
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,prefix_denied,9,66,0.13636363636363635
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,66,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,attempted_miss,0,66,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,66,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,never_legal,0,34,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,unassigned,30,34,0.8823529411764706
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,prefix_denied,0,34,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,mismatched_resource,3,34,0.08823529411764706
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,attempted_miss,1,34,0.029411764705882353
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,resource_exhausted,0,34,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,never_legal,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,unassigned,40,48,0.8333333333333334
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,prefix_denied,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,mismatched_resource,7,48,0.14583333333333334
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,attempted_miss,1,48,0.020833333333333332
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,resource_exhausted,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,never_legal,0,41,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,unassigned,35,41,0.8536585365853658
