branch_gradient_cosine,engage_probability,engagement_gradient_norm,engagement_log_prob,episode_index,eval_scenario,joint_advantage,method,return,reward,selected_action,selected_engage,step_index,target_gradient_norm,target_log_prob,target_probability,td_error,train_seed,unit_index,value,value_bias
nan,0.24675673246383667,23.8443993127539,-0.2833670377731323,0,medium,18.13783532367222,factorized_engagement_ar_ppo_order_012,-17.225720584530904,-0.1,5,0,0,0.0,0.0,nan,-0.235047225952151,8,0,-35.363555908203125,-18.13783532367222
nan,0.2472764253616333,23.83464660543554,-0.2840571999549866,0,medium,18.13783532367222,factorized_engagement_ar_ppo_order_012,-17.225720584530904,-0.1,5,0,0,0.0,0.0,nan,-0.235047225952151,8,1,-35.363555908203125,-18.13783532367222
nan,0.0,0.0,0.0,0,medium,18.13783532367222,factorized_engagement_ar_ppo_order_012,-17.225720584530904,-0.1,5,0,0,0.0,0.0,nan,-0.235047225952151,8,2,-35.363555908203125,-18.13783532367222
nan,0.24766236543655396,nan,-1.3956888914108276,0,medium,18.747839336351397,factorized_engagement_ar_ppo_order_012,-17.475225086256025,1.2656577589568205,1,1,1,nan,-0.8422194123268127,0.4307534396648407,11.203514967208772,8,0,-36.22306442260742,-18.747839336351397
nan,0.24818383157253265,nan,-1.3935855627059937,0,medium,18.747839336351397,factorized_engagement_ar_ppo_order_012,-17.475225086256025,1.2656577589568205,3,1,1,nan,-0.5939980149269104,0.5521154999732971,11.203514967208772,8,1,-36.22306442260742,-18.747839336351397
nan,0.0,nan,0.0,0,medium,18.747839336351397,factorized_engagement_ar_ppo_order_012,-17.475225086256025,1.2656577589568205,5,0,1,nan,0.0,nan,11.203514967208772,8,2,-36.22306442260742,-18.747839336351397
nan,0.0,nan,0.0,0,medium,7.698290172594515,factorized_engagement_ar_ppo_order_012,-19.123349842053923,-0.1,5,0,2,nan,0.0,nan,-0.3495851898193365,8,0,-26.821640014648438,-7.698290172594515
nan,0.0,nan,0.0,0,medium,7.698290172594515,factorized_engagement_ar_ppo_order_012,-19.123349842053923,-0.1,5,0,2,nan,0.0,nan,-0.3495851898193365,8,1,-26.821640014648438,-7.698290172594515
nan,0.2412218600511551,nan,-0.2760458290576935,0,medium,7.698290172594515,factorized_engagement_ar_ppo_order_012,-19.123349842053923,-0.1,5,0,2,nan,0.0,nan,-0.3495851898193365,8,2,-26.821640014648438,-7.698290172594515
nan,0.24954181909561157,nan,-0.2870713472366333,0,medium,8.212117716748828,factorized_engagement_ar_ppo_order_012,-19.411581471483593,-2.1,5,0,3,nan,0.0,nan,-1.6512910079956065,8,0,-27.623699188232422,-8.212117716748828
nan,0.249983012676239,nan,-1.3863623142242432,0,medium,8.212117716748828,factorized_engagement_ar_ppo_order_012,-19.411581471483593,-2.1,1,1,3,nan,-0.4836750626564026,0.6165134906768799,-1.6512910079956065,8,1,-27.623699188232422,-8.212117716748828
nan,0.0,nan,0.0,0,medium,8.212117716748828,factorized_engagement_ar_ppo_order_012,-19.411581471483593,-2.1,5,0,3,nan,0.0,nan,-1.6512910079956065,8,2,-27.623699188232422,-8.212117716748828
