epoch,train_loss,train_seed,validation_mae,variant
0,0.9976986050605774,14,1.5909343957901,full
1,1.0211682319641113,14,1.5286277532577515,full
2,0.9589970707893372,14,1.9922096729278564,full
3,0.9596400856971741,14,0.7960556149482727,full
4,0.8865982890129089,14,0.7065486907958984,full
5,0.8848676681518555,14,0.9105304479598999,full
6,0.8729304671287537,14,0.8795608282089233,full
7,0.8142945170402527,14,1.4207642078399658,full
0,1.0204722881317139,14,3.4183151721954346,no_prefix
1,1.1624475717544556,14,0.5297080874443054,no_prefix
2,0.9538649916648865,14,1.7169593572616577,no_prefix
3,1.0257142782211304,14,1.6530609130859375,no_prefix
4,0.9992091059684753,14,0.6443462371826172,no_prefix
0,1.0065149068832397,14,3.669654130935669,no_mask
1,1.1503922939300537,14,0.603869616985321,no_mask
2,0.9430245757102966,14,1.7515640258789062,no_mask
3,1.02505362033844,14,1.7045005559921265,no_mask
4,0.9969764947891235,14,0.5517368316650391,no_mask
5,0.900640070438385,14,1.0144046545028687,no_mask
6,0.8729249238967896,14,2.031129837036133,no_mask
7,0.9017835259437561,14,2.0333075523376465,no_mask
0,1.0095278024673462,14,0.8002433776855469,observation_action_only
1,0.9653335213661194,14,1.6207859516143799,observation_action_only
2,1.0074883699417114,14,0.5612674951553345,observation_action_only
3,0.9060558080673218,14,2.223846435546875,observation_action_only
4,0.9437999725341797,14,1.6494159698486328,observation_action_only
5,0.8865943551063538,14,0.5641216039657593,observation_action_only
