absolute_loss,bce,centered_loss,epoch,loss,margin,method,train_seed,validation_absolute_mae,validation_balanced_accuracy,validation_centered_mae,validation_false_noop_rate,validation_score,validation_wasteful_engage_rate
0.9878947138786316,,0.025617415085434914,0,1.013512134552002,,risk_regression,20,0.9198799914655804,,0.19967613784396918,,1.1195561293095495,
0.9931550621986389,,0.04869303107261658,1,1.041848063468933,,risk_regression,20,0.8802445952688275,,0.11948605637222855,,0.999730651641056,
0.9230695366859436,,0.02622852474451065,2,0.949298083782196,,risk_regression,20,0.921714506529736,,0.13450613786900245,,1.0562206443987385,
0.8850324153900146,,0.03241712972521782,3,0.9174495339393616,,risk_regression,20,0.9745797587909624,,0.11405020499359822,,1.0886299637845607,
,0.69467693567276,,0,0.69467693567276,1.002386450767517,balanced_bce,20,,0.14285714285714285,,1.0,,0.7142857142857143
,0.6683024764060974,,1,0.6683024764060974,0.9443368911743164,balanced_bce,20,,0.5,,1.0,,0.0
,0.6478449106216431,,2,0.6478449106216431,0.8916840553283691,balanced_bce,20,,0.42857142857142855,,1.0,,0.14285714285714285
,0.6207832098007202,,3,0.6207832098007202,0.8392001390457153,balanced_bce,20,,0.14285714285714285,,1.0,,0.7142857142857143
,0.69467693567276,,0,1.1958701610565186,1.002386450767517,balanced_bce_margin,20,,0.14285714285714285,,1.0,,0.7142857142857143
,0.6666707992553711,,1,1.1385364532470703,0.9437313079833984,balanced_bce_margin,20,,0.42857142857142855,,1.0,,0.14285714285714285
,0.639988124370575,,2,1.0821149349212646,0.884253740310669,balanced_bce_margin,20,,0.42857142857142855,,1.0,,0.14285714285714285
,0.6124380826950073,,3,1.0219511985778809,0.8190261125564575,balanced_bce_margin,20,,0.2857142857142857,,1.0,,0.42857142857142855
,0.5842683911323547,,4,0.9562375545501709,0.7439383268356323,balanced_bce_margin,20,,0.2857142857142857,,1.0,,0.42857142857142855
