method,train_scenario,run_index,train_seed,timesteps,policy_loss,value_loss,entropy_loss,approx_kl,clip_fraction,explained_variance,advantage_mean,advantage_std,positive_advantage_rate,actor_gradient_norm,critic_gradient_norm
role_conditioned_ar_ppo_order_012,medium,0,3,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
role_conditioned_ar_ppo_order_012,medium,0,3,1024,-0.0006388043286278844,395.6859527587891,-0.5470420733094216,0.0005047027952969074,0.0,-0.0007162094116210938,-13.157066777348518,15.66943991457564,0.234375,0.0015108195565827123,0.4999977315938128
role_conditioned_ar_ppo_order_012,medium,0,3,2048,0.00016448143869638444,198.21736850738526,-0.4542678266763687,7.895519956946373e-06,0.0,0.0006099343299865723,-7.834659642714541,12.161855732715319,0.36328125,0.0025114407966976234,0.49999369258757154
role_conditioned_ar_ppo_order_012,medium,0,3,3072,-1.3148272410035134e-05,108.10505599975586,-0.3618223838508129,5.2531249821186066e-06,0.0,0.33358943462371826,-5.404538984745159,9.880382254084843,0.34765625,0.003734506553621231,0.49998598717254106
role_conditioned_ar_ppo_order_012,medium,0,3,4096,-9.839264675974846e-05,273.5049564361572,-0.4913147285580635,5.3532421588897705e-05,0.0,0.0018820762634277344,-6.948861147277057,15.32564390197831,0.46484375,0.00040037143667011576,0.49999989513921406
role_conditioned_ar_ppo_order_012,medium,0,3,5120,-0.0011973955668509006,232.58690719604493,-0.4501059606671333,0.0005203477339819074,0.0,0.02362978458404541,-5.4622238910524175,14.70819306685464,0.5234375,0.0013558164738321974,0.49999816252640134
role_conditioned_ar_ppo_order_012,medium,0,3,6144,-0.002596925315447152,67.52508611679077,-0.31379219628870486,0.0016565340338274837,0.000390625,0.1841920018196106,-2.1041456703678705,8.651369011278518,0.49609375,0.0037537843568406816,0.499985900751039
role_conditioned_ar_ppo_order_012,medium,0,3,7168,-0.001250267692375928,128.03352222442626,-0.6160735175013542,0.001391997910104692,0.00234375,0.19672685861587524,0.4050973025150597,12.075443199459254,0.48828125,0.0048270442679238836,0.4999766589224168
role_conditioned_ar_ppo_order_012,medium,0,3,8192,-0.0015910425339825452,35.353075218200686,-0.513871144503355,0.0016201131511479616,0.004296875,0.35071396827697754,0.3516428270377219,8.380808436180306,0.484375,0.0024305249583817033,0.4999938722457256
role_conditioned_ar_ppo_order_012,medium,0,3,9216,-0.0010611705016344785,197.17163372039795,-0.4662320904433727,0.0005146440817043185,0.0,-0.29160332679748535,-9.307752167253057,15.44276520061432,0.3046875,0.003239173752987375,0.49998957686610684
role_conditioned_ar_ppo_order_012,medium,0,3,10240,-0.0002551980142015964,69.63740072250366,-0.5704125076532364,0.0001315884292125702,0.0,0.45762109756469727,-2.243296016007662,9.485729962610169,0.53125,0.0037187354708260213,0.4999862285287188
role_conditioned_ar_ppo_order_012,medium,1,4,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
role_conditioned_ar_ppo_order_012,medium,1,4,1024,-0.00264366096816957,451.4927467346191,-0.8213768616318703,0.0035322506446391344,0.00390625,-0.0002378225326538086,-12.779375151905697,17.60754640058444,0.15625,0.0007442256475138201,0.49999952529687464
role_conditioned_ar_ppo_order_012,medium,1,4,2048,-0.002691429038532078,276.30746421813967,-0.5382011592388153,0.004428875166922808,0.0125,0.0019177794456481934,-2.086736728902906,16.720053744148277,0.5859375,0.0010533837339134675,0.49999886236590607
role_conditioned_ar_ppo_order_012,medium,1,4,3072,-0.0001452128984965384,148.5555769920349,-0.607870064675808,0.0001818654127418995,0.0,0.2371883988380432,0.003200658713467419,13.587225538485452,0.66015625,0.0014069557378935727,0.49999798317715155
role_conditioned_ar_ppo_order_012,medium,1,4,4096,-0.0034929539891891182,197.96527643203734,-0.6682882480323314,0.007467211689800024,0.01484375,-0.08727777004241943,4.201652227435261,15.483847799132068,0.74609375,0.0010998330757901772,0.49999869996457996
role_conditioned_ar_ppo_order_012,medium,1,4,5120,-0.004102380352560431,28.94624900817871,-0.8858156770467758,0.009647817350924015,0.04609375,0.2820691466331482,-1.1650921287364326,6.552527292006901,0.51171875,0.005395981534887323,0.4999710019316583
role_conditioned_ar_ppo_order_012,medium,1,4,6144,-0.0009301014244556427,213.4533550262451,-0.8486891850829125,0.0019755070097744465,0.0015625,0.0759347677230835,11.179761469946243,14.994387520991237,0.89453125,0.002289889989787656,0.4999945882463009
role_conditioned_ar_ppo_order_012,medium,1,4,7168,-0.001289668574463576,211.9264389038086,-0.7196773171424866,0.004093861673027277,0.00546875,0.14560562372207642,1.4036470849532634,16.793537818979857,0.6171875,0.0014187606922019917,0.49999804436580203
role_conditioned_ar_ppo_order_012,medium,1,4,8192,-0.0026172847719863057,180.12560443878175,-0.9044736564159394,0.0066351392306387424,0.015625,0.22916972637176514,-8.96464057310368,13.998617562093587,0.3828125,0.0006290208135963451,0.4999996069042443
role_conditioned_ar_ppo_order_012,medium,1,4,9216,-0.0012711073504760861,191.01592330932618,-0.6236055225133896,0.00216632429510355,0.0015625,0.21297067403793335,-3.966077685414348,14.793635318168256,0.578125,0.0006003777043777838,0.49999973302398376
