budget_mean,classification_loss,cost_loss,epoch,fold,loss,mode,model_seed,safety_loss,validation_balanced_accuracy
0.0,0.9433642625808716,0.30850473046302795,0,0,1.628143548965454,safety_only,20,0.37627458572387695,0.5425531914893617
0.0,0.9179163575172424,0.17933833599090576,1,0,1.4538841247558594,safety_only,20,0.356629341840744,0.5998817966903073
0.0,0.8844649195671082,0.2322840690612793,2,0,1.455357313156128,safety_only,20,0.3386082649230957,0.6317966903073287
0.0,0.8513122797012329,0.21549521386623383,3,0,1.391990065574646,safety_only,20,0.32518255710601807,0.6530732860520094
0.0,0.8187645673751831,0.17683133482933044,4,0,1.3120830059051514,safety_only,20,0.31648704409599304,0.6637115839243499
0.0,0.7871506810188293,0.16614270210266113,5,0,1.2657731771469116,safety_only,20,0.31247976422309875,0.6637115839243499
0.0,0.7571194171905518,0.17684966325759888,6,0,1.2476003170013428,safety_only,20,0.3136312961578369,0.6530732860520094
0.0,0.7314159274101257,0.18449649214744568,7,0,1.2369308471679688,safety_only,20,0.32101839780807495,0.6637115839243499
0.0,0.7059264779090881,0.17963610589504242,8,0,1.2211740016937256,safety_only,20,0.3356114625930786,0.6849881796690307
0.0,0.6838942170143127,0.16657379269599915,9,0,1.201417326927185,safety_only,20,0.35094931721687317,0.6637115839243499
0.0,0.6737460494041443,0.15449172258377075,10,0,1.1807279586791992,safety_only,20,0.3524901866912842,0.6637115839243499
0.0,0.6676909327507019,0.15105114877223969,11,0,1.1649365425109863,safety_only,20,0.3461945056915283,0.6743498817966903
0.0,0.6546024084091187,0.15434472262859344,12,0,1.149545431137085,safety_only,20,0.3405982553958893,0.6678486997635933
0.0,0.642492413520813,0.1569913923740387,13,0,1.132668137550354,safety_only,20,0.3331843614578247,0.6572104018912529
0.0,0.6396857500076294,0.15504693984985352,14,0,1.1085470914840698,safety_only,20,0.3138144314289093,0.6572104018912529
0.0,0.6417399048805237,0.14825339615345,15,0,1.0816013813018799,safety_only,20,0.29160812497138977,0.6678486997635933
0.0,0.6369019746780396,0.14003914594650269,16,0,1.056483507156372,safety_only,20,0.27954238653182983,0.6891252955082742
0.0,0.6311415433883667,0.13634562492370605,17,0,1.0397405624389648,safety_only,20,0.2722533643245697,0.6997635933806146
0.0,0.6316668391227722,0.13692179322242737,18,0,1.0295696258544922,safety_only,20,0.2609810531139374,0.6997635933806146
0.0,0.6319393515586853,0.13765767216682434,19,0,1.0220674276351929,safety_only,20,0.25247037410736084,0.6719858156028369
0.0,0.6208570003509521,0.1366298943758011,20,0,1.0109729766845703,safety_only,20,0.2534860074520111,0.6719858156028369
0.0,0.6121113300323486,0.13141870498657227,21,0,0.9946122765541077,safety_only,20,0.25108224153518677,0.6719858156028369
0.0,0.5979878902435303,0.12588253617286682,22,0,0.975469708442688,safety_only,20,0.2515992522239685,0.6826241134751774
0.0,0.5792436003684998,0.12275657057762146,23,0,0.9575263261795044,safety_only,20,0.2555261254310608,0.66548463356974
0.0,0.5628392696380615,0.12255390733480453,24,0,0.9432349801063538,safety_only,20,0.2578417956829071,0.6867612293144207
0.0,0.5416306853294373,0.12229964137077332,25,0,0.9308123588562012,safety_only,20,0.266882061958313,0.6867612293144207
0.0,0.5317960977554321,0.12104691565036774,26,0,0.918949544429779,safety_only,20,0.266106516122818,0.6867612293144207
0.0,0.5078704953193665,0.11665765941143036,27,0,0.9081237316131592,safety_only,20,0.28359556198120117,0.6761229314420805
0.0,0.529977023601532,0.11510921269655228,28,0,0.9032719135284424,safety_only,20,0.25818565487861633,0.6973995271867612
0.0,0.47741618752479553,0.11508404463529587,29,0,0.8985713720321655,safety_only,20,0.30607110261917114,0.66548463356974
0.0,0.5105881690979004,0.11218073219060898,30,0,0.8797231912612915,safety_only,20,0.2569543123245239,0.66548463356974
0.0,0.5083842873573303,0.11075672507286072,31,0,0.8701296448707581,safety_only,20,0.250988632440567,0.6589834515366431
0.0,0.47017890214920044,0.11121603101491928,32,0,0.868515133857727,safety_only,20,0.28712016344070435,0.6548463356973995
0.0,0.5070741772651672,0.10760495066642761,33,0,0.8553650379180908,safety_only,20,0.24068588018417358,0.6377068557919622
0.0,0.4923591911792755,0.10688386857509613,34,0,0.8469202518463135,safety_only,20,0.24767716228961945,0.6312056737588652
0.0,0.4701310098171234,0.10573843121528625,35,0,0.8504338264465332,safety_only,20,0.27456438541412354,0.6548463356973995
0.0,0.5045144557952881,0.10742346942424774,36,0,0.8455950617790222,safety_only,20,0.23365715146064758,0.6377068557919622
0.0,0.47636669874191284,0.10416059195995331,37,0,0.8337109684944153,safety_only,20,0.2531836926937103,0.6099290780141844
0.0,0.4656206965446472,0.1028558537364006,38,0,0.8300634622573853,safety_only,20,0.26158687472343445,0.6442080378250591
0.0,0.4923859238624573,0.10189009457826614,39,0,0.827998161315918,safety_only,20,0.23372212052345276,0.6270685579196218
0.0,0.46248897910118103,0.10196788609027863,40,0,0.8202304840087891,safety_only,20,0.2557736039161682,0.6548463356973995
0.0,0.4614332318305969,0.10090366005897522,41,0,0.8153997659683228,safety_only,20,0.2530628740787506,0.6122931442080378
0.0,0.4840376675128937,0.099119171500206,42,0,0.8136202096939087,safety_only,20,0.23046335577964783,0.6377068557919622
0.0,0.4552067220211029,0.098191998898983,43,0,0.8061331510543823,safety_only,20,0.25273439288139343,0.6548463356973995
0.0,0.46351051330566406,0.09755534678697586,44,0,0.7993675470352173,safety_only,20,0.23830167949199677,0.6229314420803782
0.0,0.4835522770881653,0.09774506092071533,45,0,0.7982344031333923,safety_only,20,0.21693705022335052,0.6377068557919622
0.0,0.45623162388801575,0.09544184058904648,46,0,0.7937101125717163,safety_only,20,0.24203668534755707,0.6057919621749409
0.0,0.477106511592865,0.09454406797885895,47,0,0.7864615321159363,safety_only,20,0.21481095254421234,0.6335697399527187
0.0,0.4840192496776581,0.0936313048005104,48,0,0.784223198890686,safety_only,20,0.20657265186309814,0.6164302600472813
0.0,0.45969700813293457,0.09379512071609497,49,0,0.7828500270843506,safety_only,20,0.22935791313648224,0.6335697399527187
0.0,0.4823145866394043,0.09174943715333939,50,0,0.7767365574836731,safety_only,20,0.20267254114151,0.6335697399527187
0.0,0.4725078344345093,0.09084868431091309,51,0,0.7715986967086792,safety_only,20,0.20824219286441803,0.6164302600472813
0.0,0.45556867122650146,0.09000444412231445,52,0,0.7709659337997437,safety_only,20,0.22539284825325012,0.6229314420803782
0.0,0.4774167537689209,0.08998828381299973,53,0,0.7679793834686279,safety_only,20,0.20057432353496552,0.6548463356973995
0.0,0.9459258317947388,0.2661435306072235,0,1,1.6448414325714111,safety_only,20,0.4327720105648041,0.5
0.0,0.93282550573349,0.1766410619020462,1,1,1.4546020030975342,safety_only,20,0.34513548016548157,0.5
0.0,0.9199704527854919,0.20301488041877747,2,1,1.4569898843765259,safety_only,20,0.33400455117225647,0.5425531914893617
0.0,0.8905547261238098,0.21841828525066376,3,1,1.4264352321624756,safety_only,20,0.31746217608451843,0.6779497098646035
0.0,0.8573672771453857,0.19221171736717224,4,1,1.35698664188385,safety_only,20,0.3074076175689697,0.7098646034816247
0.0,0.8263310194015503,0.17055995762348175,5,1,1.3057770729064941,safety_only,20,0.3088860809803009,0.7098646034816247
0.0,0.7992441058158875,0.1722870022058487,6,1,1.2860872745513916,safety_only,20,0.31455615162849426,0.7098646034816247
0.0,0.7762898802757263,0.18622219562530518,7,1,1.2812165021896362,safety_only,20,0.31870442628860474,0.7098646034816247
0.0,0.7583526968955994,0.19177113473415375,8,1,1.273756504058838,safety_only,20,0.3236326575279236,0.7098646034816247
