absolute_loss,centered_loss,epoch,objective,pairwise_loss,total_loss,train_seed,validation_absolute_mae,validation_centered_mae,validation_score
0.9797247052192688,0.044074028730392456,0,absolute_mse,0.0,0.9797247052192688,14,0.8474890396958881,0.1541298649716689,1.001618904667557
0.9083791971206665,0.04282158613204956,1,absolute_mse,0.0,0.9083791971206665,14,0.8885340782359485,0.1566699540969462,1.0452040323328948
0.8997164368629456,0.04261719807982445,2,absolute_mse,0.0,0.8997164368629456,14,0.8506972260588023,0.15694559239610043,1.0076428184549027
0.8100963234901428,0.04264170303940773,3,absolute_mse,0.0,0.8100963234901428,14,0.8717858350374238,0.15796243305478516,1.029748268092209
0.8108488917350769,0.042774636298418045,4,absolute_mse,0.0,0.8108488917350769,14,0.8600221158214527,0.1601612567041077,1.0201833725255605
0.7320342659950256,0.04322686418890953,5,absolute_mse,0.0,0.7320342659950256,14,0.872131291259983,0.16249415522767768,1.0346254464876607
0.7151005864143372,0.043951377272605896,6,absolute_mse,0.0,0.7151005864143372,14,0.8732394673498586,0.16330577719533523,1.0365452445451937
0.6783243417739868,0.04435740038752556,7,absolute_mse,0.0,0.6783243417739868,14,0.8771927330983593,0.1628529518360477,1.040045684934407
0.6222361922264099,0.044414687901735306,8,absolute_mse,0.0,0.6222361922264099,14,0.9059936074354524,0.16208826247888714,1.0680818699143395
0.6201282739639282,0.044455282390117645,9,absolute_mse,0.0,0.6201282739639282,14,0.8987852207538164,0.1622415725892191,1.0610267933430355
0.5695521235466003,0.04481641948223114,10,absolute_mse,0.0,0.5695521235466003,14,0.8844879591099147,0.16246609668763023,1.046954055797545
0.5530758500099182,0.04522480070590973,11,absolute_mse,0.0,0.5530758500099182,14,0.8882882127249655,0.16221586026716628,1.0505040729921318
0.5376829504966736,0.04520674794912338,12,absolute_mse,0.0,0.5376829504966736,14,0.9040345530398942,0.16249961330648763,1.0665341663463819
0.5043457746505737,0.04515621066093445,13,absolute_mse,0.0,0.5043457746505737,14,0.9203796297623639,0.16413154917219844,1.0845111789345623
0.510992169380188,0.04543827101588249,14,absolute_mse,0.0,0.510992169380188,14,0.8984003019446152,0.16547463739714616,1.0638749393417612
0.47617611289024353,0.04575435444712639,15,absolute_mse,0.0,0.47617611289024353,14,0.8944898247146167,0.16643524344169122,1.0609250681563078
0.4832800626754761,0.046006184071302414,16,absolute_mse,0.0,0.4832800626754761,14,0.8917028361015402,0.16815918462459736,1.0598620207261376
0.4556148052215576,0.046609777957201004,17,absolute_mse,0.0,0.4556148052215576,14,0.8940179860456547,0.1697919116651232,1.063809897710778
0.4552515745162964,0.0474347323179245,18,absolute_mse,0.0,0.4552515745162964,14,0.8862301090945569,0.1704591277020871,1.056689236796644
0.4350118637084961,0.04745887592434883,19,absolute_mse,0.0,0.4350118637084961,14,0.8782430606012689,0.1701921392630737,1.0484351998643426
0.4264751076698303,0.04682118445634842,20,absolute_mse,0.0,0.4264751076698303,14,0.8720311748812204,0.17043602047923734,1.0424671953604578
0.4124481976032257,0.04644450172781944,21,absolute_mse,0.0,0.4124481976032257,14,0.8644166025955438,0.1711145006154351,1.0355311032109789
0.39951473474502563,0.0463503934442997,22,absolute_mse,0.0,0.39951473474502563,14,0.8559980470505569,0.1713299719080689,1.0273280189586258
0.3898318111896515,0.045731060206890106,23,absolute_mse,0.0,0.3898318111896515,14,0.856893284453676,0.17132985633374823,1.0282231407874243
0.37531551718711853,0.04474857822060585,24,absolute_mse,0.0,0.37531551718711853,14,0.8593054797735163,0.17188307223556168,1.031188552009078
0.3683833181858063,0.044197265058755875,25,absolute_mse,0.0,0.3683833181858063,14,0.8387858195598846,0.17278801756871692,1.0115738371286016
0.3547464907169342,0.04409484565258026,26,absolute_mse,0.0,0.3547464907169342,14,0.8332757815457681,0.17328747013442963,1.0065632516801977
0.3490937054157257,0.04382472485303879,27,absolute_mse,0.0,0.3490937054157257,14,0.8512157058334093,0.17327417506929854,1.0244898809027079
0.33766770362854004,0.043353598564863205,28,absolute_mse,0.0,0.33766770362854004,14,0.8535382111657497,0.17324097493765883,1.0267791861034086
0.3316342830657959,0.04306286573410034,29,absolute_mse,0.0,0.3316342830657959,14,0.8318127094561416,0.17289227015117295,1.0047049796073146
0.32296645641326904,0.04283374920487404,30,absolute_mse,0.0,0.32296645641326904,14,0.8323199926184864,0.17182487350023362,1.00414486611872
0.3143766522407532,0.042360782623291016,31,absolute_mse,0.0,0.3143766522407532,14,0.8605468705010745,0.170365060372188,1.0309119308732624
0.30892351269721985,0.04178747907280922,32,absolute_mse,0.0,0.30892351269721985,14,0.8508133342807596,0.16861420509520733,1.0194275393759669
0.2968583106994629,0.041244711726903915,33,absolute_mse,0.0,0.2968583106994629,14,0.8341214155307888,0.16643880993175073,1.0005602254625394
0.29400426149368286,0.04068578779697418,34,absolute_mse,0.0,0.29400426149368286,14,0.8634656647266307,0.16413550428049933,1.02760116900713
0.28220483660697937,0.040173232555389404,35,absolute_mse,0.0,0.28220483660697937,14,0.8789737626928765,0.1625599533451236,1.041533716038
0.2774001657962799,0.039727624505758286,36,absolute_mse,0.0,0.2774001657962799,14,0.8513293566600795,0.16104119842722048,1.0123705550873
0.27308809757232666,0.039329349994659424,37,absolute_mse,0.0,0.27308809757232666,14,0.8825832381490368,0.16053714337521063,1.0431203815242474
0.2636869549751282,0.0390065535902977,38,absolute_mse,0.0,0.2636869549751282,14,0.9036139437013526,0.16056390749274796,1.0641778511941005
0.2610425353050232,0.03870518133044243,39,absolute_mse,0.0,0.2610425353050232,14,0.8735587301298495,0.16036084517349597,1.0339195753033454
0.2586304843425751,0.03846039995551109,40,absolute_mse,0.0,0.2586304843425751,14,0.9145066659846036,0.1605786999188835,1.0750853659034871
0.2510683536529541,0.038201235234737396,41,absolute_mse,0.0,0.2510683536529541,14,0.9106202474153003,0.16085881595718776,1.0714790633724882
0.24520182609558105,0.038037028163671494,42,absolute_mse,0.0,0.24520182609558105,14,0.8975245903108044,0.16131511201472376,1.0588397023255283
0.2436109036207199,0.037968963384628296,43,absolute_mse,0.0,0.2436109036207199,14,0.9426011414445977,0.1620383454822793,1.104639486926877
0.24250385165214539,0.03792347013950348,44,absolute_mse,0.0,0.24250385165214539,14,0.9031541721574184,0.16265690891937182,1.0658110810767902
0.23898755013942719,0.03806016594171524,45,absolute_mse,0.0,0.23898755013942719,14,0.94507247086458,0.1636872831366774,1.1087597540012575
0.23319488763809204,0.03819337487220764,46,absolute_mse,0.0,0.23319488763809204,14,0.9244400718370849,0.16436177516833622,1.088801847005421
0.2274031788110733,0.03835408762097359,47,absolute_mse,0.0,0.2274031788110733,14,0.9364823205546723,0.16476576184659117,1.1012480824012634
0.22324629127979279,0.03848389536142349,48,absolute_mse,0.0,0.22324629127979279,14,0.946987353900983,0.1648599663468888,1.1118473202478718
0.22078166902065277,0.038551658391952515,49,absolute_mse,0.0,0.22078166902065277,14,0.9283166247597276,0.16485017819990816,1.0931668029596358
0.21998895704746246,0.03852996230125427,50,absolute_mse,0.0,0.21998895704746246,14,0.973941327703422,0.16522562805014268,1.1391669557535646
0.2222404032945633,0.03851420059800148,51,absolute_mse,0.0,0.2222404032945633,14,0.9124193290336208,0.16533313970328173,1.0777524687369024
0.23013554513454437,0.03844291344285011,52,absolute_mse,0.0,0.23013554513454437,14,1.013605186086026,0.1655264361900593,1.1791316222760853
0.23977749049663544,0.038376860320568085,53,absolute_mse,0.0,0.23977749049663544,14,0.908509135881284,0.1653669178547391,1.073876053736023
0.23159931600093842,0.038296665996313095,54,absolute_mse,0.0,0.23159931600093842,14,0.9597937700468419,0.16534404517299428,1.1251378152198361
