best_epoch,best_validation_score,objective,parameter_count,q_mean,q_std,test_inference_seconds,train_seed,training_pairs
33,1.0005602254625394,absolute_mse,83457,-22.978137969970703,16.498519897460938,0.0005879000018467195,14,353
35,0.9835820526473368,absolute_mse,83457,-22.978137969970703,16.498519897460938,0.0005984999952488579,15,353
40,0.9932007877323044,absolute_mse,83457,-22.978137969970703,16.498519897460938,0.0005526000022655353,16,353
29,0.9688019780994396,difference_aware,83457,-22.978137969970703,16.498519897460938,0.0009644000019761734,14,353
35,0.9491945230253485,difference_aware,83457,-22.978137969970703,16.498519897460938,0.0006307000003289431,15,353
39,0.9535938966762958,difference_aware,83457,-22.978137969970703,16.498519897460938,0.0005488000024342909,16,353
