bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
1,sampled_engagement_action,327,20,time_pressure,0.1,0.15155041151728468,role_conditioned_ar_ppo_order_012,0.14067278287461774,9,0.2
2,sampled_engagement_action,228,20,time_pressure,0.2,0.2435251978275023,role_conditioned_ar_ppo_order_012,0.25,9,0.30000000000000004
3,sampled_engagement_action,142,20,time_pressure,0.30000000000000004,0.34449922954532464,role_conditioned_ar_ppo_order_012,0.3873239436619718,9,0.4
4,sampled_engagement_action,93,20,time_pressure,0.4,0.44702141804079853,role_conditioned_ar_ppo_order_012,0.4731182795698925,9,0.5
5,sampled_engagement_action,53,20,time_pressure,0.5,0.540653055568911,role_conditioned_ar_ppo_order_012,0.4528301886792453,9,0.6000000000000001
6,sampled_engagement_action,37,20,time_pressure,0.6000000000000001,0.6444051571794458,role_conditioned_ar_ppo_order_012,0.5675675675675675,9,0.7000000000000001
7,sampled_engagement_action,4,20,time_pressure,0.7000000000000001,0.7131091207265854,role_conditioned_ar_ppo_order_012,1.0,9,0.8
8,sampled_engagement_action,0,20,time_pressure,0.8,nan,role_conditioned_ar_ppo_order_012,nan,9,0.9
9,sampled_engagement_action,0,20,time_pressure,0.9,nan,role_conditioned_ar_ppo_order_012,nan,9,1.0
0,sampled_engagement_action,267,20,heterogeneity_pressure,0.0,0.05772688814651654,role_conditioned_ar_ppo_order_012,0.0449438202247191,9,0.1
1,sampled_engagement_action,390,20,heterogeneity_pressure,0.1,0.1476175752778848,role_conditioned_ar_ppo_order_012,0.12051282051282051,9,0.2
2,sampled_engagement_action,241,20,heterogeneity_pressure,0.2,0.24474046295856539,role_conditioned_ar_ppo_order_012,0.2697095435684647,9,0.30000000000000004
3,sampled_engagement_action,117,20,heterogeneity_pressure,0.30000000000000004,0.3461532587679023,role_conditioned_ar_ppo_order_012,0.39316239316239315,9,0.4
4,sampled_engagement_action,63,20,heterogeneity_pressure,0.4,0.4532424703476921,role_conditioned_ar_ppo_order_012,0.3968253968253968,9,0.5
5,sampled_engagement_action,50,20,heterogeneity_pressure,0.5,0.5420061254501343,role_conditioned_ar_ppo_order_012,0.62,9,0.6000000000000001
6,sampled_engagement_action,31,20,heterogeneity_pressure,0.6000000000000001,0.6454782312916171,role_conditioned_ar_ppo_order_012,0.5806451612903226,9,0.7000000000000001
7,sampled_engagement_action,22,20,heterogeneity_pressure,0.7000000000000001,0.7389463375915181,role_conditioned_ar_ppo_order_012,0.6363636363636364,9,0.8
8,sampled_engagement_action,0,20,heterogeneity_pressure,0.8,nan,role_conditioned_ar_ppo_order_012,nan,9,0.9
9,sampled_engagement_action,0,20,heterogeneity_pressure,0.9,nan,role_conditioned_ar_ppo_order_012,nan,9,1.0
0,sampled_engagement_action,156,20,medium,0.0,0.07184053762839773,role_conditioned_ar_ppo_order_012,0.07051282051282051,10,0.1
1,sampled_engagement_action,384,20,medium,0.1,0.1495842375831368,role_conditioned_ar_ppo_order_012,0.15885416666666666,10,0.2
2,sampled_engagement_action,227,20,medium,0.2,0.24412223414439987,role_conditioned_ar_ppo_order_012,0.2555066079295154,10,0.30000000000000004
3,sampled_engagement_action,115,20,medium,0.30000000000000004,0.34082795692526774,role_conditioned_ar_ppo_order_012,0.28695652173913044,10,0.4
4,sampled_engagement_action,99,20,medium,0.4,0.4454967108639804,role_conditioned_ar_ppo_order_012,0.4444444444444444,10,0.5
