brier_score,calibration_target,count,ece,episodes,eval_scenario,mean_probability,method,observed_rate,train_seed
0.2213596257677745,sampled_engagement_action,761,0.03171830189643178,20,medium,0.4044262924367432,role_conditioned_ar_ppo_order_012,0.4099868593955322,8
0.23126627802368316,sampled_engagement_action,661,0.037744207637393,20,time_pressure,0.4741381724420005,role_conditioned_ar_ppo_order_012,0.4735249621785174,8
0.22135645970482778,sampled_engagement_action,725,0.02441144383159176,20,heterogeneity_pressure,0.39714579671621325,role_conditioned_ar_ppo_order_012,0.416551724137931,8
0.15045034335316024,sampled_engagement_action,1178,0.021189417870294665,20,medium,0.22333705995440584,role_conditioned_ar_ppo_order_012,0.2266553480475382,9
0.1621627095356873,sampled_engagement_action,1068,0.021381777144396458,20,time_pressure,0.24585380722081449,role_conditioned_ar_ppo_order_012,0.24531835205992508,9
0.14289606257649745,sampled_engagement_action,1181,0.03151749754537474,20,heterogeneity_pressure,0.2238675214596263,role_conditioned_ar_ppo_order_012,0.21845893310753597,9
0.16235551338746082,sampled_engagement_action,1128,0.019530384862425577,20,medium,0.26505563161269835,role_conditioned_ar_ppo_order_012,0.2730496453900709,10
0.17713993560931293,sampled_engagement_action,950,0.02870113756899771,20,time_pressure,0.32752273730737597,role_conditioned_ar_ppo_order_012,0.31157894736842107,10
0.16312728034088322,sampled_engagement_action,1013,0.03407174734783021,20,heterogeneity_pressure,0.2822742736700698,role_conditioned_ar_ppo_order_012,0.2872655478775913,10
0.1960935742150879,sampled_engagement_action,1080,0.014221858150429183,20,medium,0.274206313987573,factorized_engagement_ar_ppo_order_012,0.27037037037037037,8
0.20224276491190302,sampled_engagement_action,950,0.02319121363915896,20,time_pressure,0.27519463416777157,factorized_engagement_ar_ppo_order_012,0.28,8
0.19849183061967063,sampled_engagement_action,999,0.011747746406732741,20,heterogeneity_pressure,0.2729379422850795,factorized_engagement_ar_ppo_order_012,0.27627627627627627,8
0.1031841212368834,sampled_engagement_action,1795,0.014451656382645062,20,medium,0.15566601462475438,factorized_engagement_ar_ppo_order_012,0.14317548746518105,9
0.11255747487076087,sampled_engagement_action,1422,0.0075316535421606524,20,time_pressure,0.16253363568749693,factorized_engagement_ar_ppo_order_012,0.16455696202531644,9
0.12142154287553417,sampled_engagement_action,1509,0.02162803291800483,20,heterogeneity_pressure,0.1756054205638514,factorized_engagement_ar_ppo_order_012,0.18356527501656728,9
0.22745544074411084,sampled_engagement_action,482,0.048511426354839536,20,medium,0.6070902333961977,factorized_engagement_ar_ppo_order_012,0.6556016597510373,10
0.24440675404123235,sampled_engagement_action,545,0.01744396588124268,20,time_pressure,0.5917558924867472,factorized_engagement_ar_ppo_order_012,0.5743119266055046,10
0.24441595520395687,sampled_engagement_action,556,0.03365630050786109,20,heterogeneity_pressure,0.6055987465510265,factorized_engagement_ar_ppo_order_012,0.5719424460431655,10
