actionable_engagement_rate,all_noop_episode_rate,assignment_conflict_rate,avg_ammo_used,avg_decision_time_ms,avg_invalid_actions,avg_resource_cost,avg_reward,avg_shots,avg_steps,avg_total_damage,avg_zone_weighted_damage,damage_reduction_per_ammo,engagement_rate,engagement_threshold,episodes,eval_scenario,evaluation_seed,high_threat_leak_rate,hit_rate_per_shot,intercept_rate,leak_rate,method,overkill_rate,std_reward,success_rate,train_seed
0.935672514619883,0.0,0.0,16.0,3.7540132761387603,0.0,17.0,-51.53836712656299,16.0,46.7,1.2368802137690482,1.2368802137690482,0.09385483605473269,0.11420413990007137,0.1,10.0,medium,13000,0.2777777777777778,0.10625,0.34,0.36,role_conditioned_ar_ppo_order_012,0.0,29.553199232535867,0.0,8
0.9090909090909091,0.0,0.0,16.0,3.8648270270455938,0.0,17.0,-54.834455360246295,16.0,33.3,1.5838482899135156,1.5838482899135158,0.12815414767367422,0.16016016016016016,0.1,10.0,time_pressure,23000,0.38095238095238093,0.16875,0.54,0.44,role_conditioned_ar_ppo_order_012,0.0,41.86362772672828,0.1,8
0.9520958083832335,0.0,0.0,15.9,3.8482395298354892,0.0,15.375,-69.86759225141554,15.9,46.8,1.7284761769755916,1.7284761769755916,0.07681114499771188,0.11324786324786325,0.1,10.0,heterogeneity_pressure,33000,0.5185185185185185,0.10062893081761007,0.32,0.46,role_conditioned_ar_ppo_order_012,0.0,40.36125580701032,0.0,8
0.9195402298850575,0.0,0.0,16.0,3.305782441126656,0.0,17.0,-59.21012404514222,16.0,46.7,1.4520239413323672,1.4520239413323672,0.08040835308202524,0.11420413990007137,0.15,10.0,medium,13000,0.3333333333333333,0.09375,0.3,0.4,role_conditioned_ar_ppo_order_012,0.0,29.142947917774194,0.0,8
0.903954802259887,0.0,0.0,16.0,3.315412912736458,0.0,17.0,-54.834455360246295,16.0,33.3,1.5838482899135156,1.5838482899135158,0.12815414767367422,0.16016016016016016,0.15,10.0,time_pressure,23000,0.38095238095238093,0.16875,0.54,0.44,role_conditioned_ar_ppo_order_012,0.0,41.86362772672828,0.1,8
0.9190751445086706,0.0,0.0,15.9,3.4249085470153844,0.0,15.375,-69.86759225141554,15.9,46.8,1.7284761769755916,1.7284761769755916,0.07681114499771188,0.11324786324786325,0.15,10.0,heterogeneity_pressure,33000,0.5185185185185185,0.10062893081761007,0.32,0.46,role_conditioned_ar_ppo_order_012,0.0,40.36125580701032,0.0,8
0.8602150537634409,0.0,0.0,16.0,3.4904010707533186,0.0,17.0,-50.802242332256824,16.0,46.7,1.2368802137690482,1.2368802137690482,0.09784502364171835,0.11420413990007137,0.2,10.0,medium,13000,0.2777777777777778,0.1125,0.36,0.36,role_conditioned_ar_ppo_order_012,0.0,27.716109794333715,0.0,8
0.8556149732620321,0.0,0.0,16.0,3.374288757358362,0.0,17.0,-61.359206930432876,16.0,33.8,1.6169532067932955,1.6169532067932955,0.126085090368688,0.15779092702169625,0.2,10.0,time_pressure,23000,0.38095238095238093,0.1625,0.52,0.46,role_conditioned_ar_ppo_order_012,0.0,40.294104475330855,0.0,8
0.8253968253968254,0.0,0.0,15.6,3.4401098289844154,0.0,15.3,-67.91824632293174,15.6,46.8,1.6561432368354354,1.6561432368354354,0.0745539074475509,0.1111111111111111,0.2,10.0,heterogeneity_pressure,33000,0.5185185185185185,0.10256410256410256,0.32,0.44,role_conditioned_ar_ppo_order_012,0.0,41.642056063945674,0.0,8
0.7582938388625592,0.0,0.0,16.0,3.536781458440904,0.0,17.0,-45.23849747606828,16.0,48.0,1.0907208880340418,1.0907208880340418,0.11106345889837663,0.1111111111111111,0.25,10.0,medium,13000,0.2777777777777778,0.13125,0.42,0.32,role_conditioned_ar_ppo_order_012,0.0,27.6135362004275,0.0,8
