method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,unit_decisions,actionable_decisions,engagements,actionable_engagements,all_noop_episode,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,0,8,200,0,200,-121.34540298048069,25,5,1,3,2.7375410075636273,16,16,1,0,75,18,16,16,False,False,0.04899800000112009,1.9599200000448036,0.8,2,1,0.5,2.7375410075636273,16,0,0.0,0,0.0,0.5033848252314751,0.031461551576967194,17.0
factorized_engagement_ar_ppo_order_012,learning,time_pressure,time_pressure,0,8,200,1,201,-59.754751054825704,30,5,2,3,1.61253645435822,16,16,2,0,90,17,16,16,False,False,0.05488469999818335,1.829489999939445,0.8,1,1,1.0,1.61253645435822,16,0,0.0,0,0.0,1.1663622179721815,0.07289763862326135,17.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,0,8,200,0,200,-121.34540298048069,25,5,1,3,2.7375410075636273,16,16,1,0,75,18,16,16,False,False,0.04892370000197843,1.9569480000791373,0.8,2,1,0.5,2.7375410075636273,16,0,0.0,0,0.0,0.5033848252314751,0.031461551576967194,17.0
bpce_ppo_order_012,learning,time_pressure,time_pressure,0,8,200,1,201,-59.754751054825704,30,5,2,3,1.61253645435822,16,16,2,0,90,17,16,16,False,False,0.05837970000175119,1.945990000058373,0.8,1,1,1.0,1.61253645435822,16,0,0.0,0,0.0,1.1663622179721815,0.07289763862326135,17.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,0,8,200,0,200,-121.34540298048069,25,5,1,3,2.7375410075636273,16,16,1,0,75,18,16,16,False,False,0.0497512000019924,1.990048000079696,0.8,2,1,0.5,2.7375410075636273,16,0,0.0,0,0.0,0.5033848252314751,0.031461551576967194,17.0
bpce_random_probe_ppo_order_012,learning,time_pressure,time_pressure,0,8,200,1,201,-59.754751054825704,30,5,2,3,1.61253645435822,16,16,2,0,90,17,16,16,False,False,0.05718009999873175,1.9060033332910582,0.8,1,1,1.0,1.61253645435822,16,0,0.0,0,0.0,1.1663622179721815,0.07289763862326135,17.0
