context_id,scenario,policy_seed,slot,repeat,unit_index,unit_type,unit_cost,observable_target_probability,future_total_shots_n,future_total_shots_e,future_probed_shots_n,future_probed_shots_e,future_other_shots_n,future_other_shots_e,sub_shot,sub_cost,future_cost_composition_advantage,immediate_cost_difference,total_cost_difference,decomposition_residual,reuse_probe,reuse_total,option_edge,option_threat,ammo_gain_damage,ammo_gain_leaks,first_substitution_time_expected,extra_transitions,actual_extra_transitions
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,0,2,laser,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,1,2,laser,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,3
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,0,0,missile,2.0,1.0000000149011612,9.0,8.012933298945427,1.0,0.0,8.0,8.012933298945427,0.9870667010545731,1.9935333505272865,1.9935333505272865,1.8717023059725761,-0.12183104455471039,0.0,1.0000000149011612,1.0000000149011612,4.012933239340782,0.25659552216529846,0.0,0.0,2.0000000298023224,75.15210458636284,219
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,1,0,missile,2.0,1.0000000149011612,10.0,9.00000013411045,1.0,0.0,9.0,9.00000013411045,0.9999998658895493,1.9999999329447746,1.9999999329447746,2.0000000596046448,1.2665987014770508e-07,0.0,1.0000000149011612,1.0000000149011612,4.242624014616013,1.0000000149011612,0.0,0.0,2.0000000298023224,81.0000008046627,243
