scenario,policy_seed,slot,contexts,reliable_opportunity,mean_sub_shot,mean_sub_cost,mean_reuse_probe,mean_option_edge,mean_ammo_gain_damage,mean_ammo_gain_leaks,actual_extra_transitions
time_pressure,8,safety,6,0,0.05727957903097073,0.028639789515485365,0.0,0.0,0.0,0.0,1596
time_pressure,8,resource,6,1,0.970077213132754,1.9850386084290221,0.9999999975164732,3.9722511890189103,0.08637876922409905,0.05940509998860458,32275
time_pressure,9,safety,6,1,0.8802083333333334,0.4401041666666667,0.7968749900658926,2.2458881970184543,0.10057882823754316,0.12499999875823657,9285
time_pressure,9,resource,6,2,1.0341859295343359,2.0170929729162403,0.999999980131785,3.761019228802373,0.15065259727879857,0.10025165680175026,38528
time_pressure,10,safety,6,0,0.5677083432674408,0.2838541716337204,0.5,1.606926996416102,0.038199905017095324,0.0052083334885537624,7343
time_pressure,10,resource,6,2,0.9663983785236875,1.9831991948497791,0.9999999850988388,3.979883378216376,0.15072495409801748,0.04764458040396372,33701
heterogeneity_pressure,8,safety,6,0,0.5661144987680018,1.0533719167734186,0.170268887343506,0.19517670921050012,0.004002952974813241,0.006263828603550792,15626
heterogeneity_pressure,8,resource,6,0,0.15844914581005773,0.5666972835703442,0.0,0.0,0.0,0.0,1886
heterogeneity_pressure,9,safety,6,1,0.6527749542146921,0.16319373855367303,0.6146061810043951,1.4435530543948214,0.08258232235357886,0.0,12408
heterogeneity_pressure,9,resource,6,2,0.84192447620444,2.617251962888986,0.9999999975164732,3.781752086787795,0.09218821086288466,0.03354692676415046,52830
heterogeneity_pressure,10,safety,6,0,0.4068349787654976,0.8210228707253311,0.14339364126014212,0.19006847559163967,0.0016803563924741038,0.0,12783
heterogeneity_pressure,10,resource,6,0,0.4739583333333333,0.9940104166666667,0.0,0.0,0.0,0.0,881
