context_id,scenario,policy_seed,slot,target_index,target_probability,repeat_count,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,reuse_probe_mean,reuse_probe_standard_error,reuse_probe_lower,reuse_probe_upper,reuse_total_mean,reuse_total_standard_error,reuse_total_lower,reuse_total_upper,option_edge_mean,option_edge_standard_error,option_edge_lower,option_edge_upper,option_threat_mean,option_threat_standard_error,option_threat_lower,option_threat_upper,ammo_gain_damage_mean,ammo_gain_damage_standard_error,ammo_gain_damage_lower,ammo_gain_damage_upper,ammo_gain_leaks_mean,ammo_gain_leaks_standard_error,ammo_gain_leaks_lower,ammo_gain_leaks_upper
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,2,0.19885662198066711,32,-0.625,0.23653240929133007,-1.0886035222110069,-0.16139647778899308,-0.7968749999999999,0.36668838332255577,-1.5155842313122092,-0.07816576868779057,0.09375,0.0523514603733822,-0.008858862331829115,0.19635886233182911,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.25,0.13470397652008115,-0.014019793979359041,0.514019793979359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,3,0.20459166169166565,32,-0.71875,0.25885283136649595,-1.226101549478332,-0.21139845052166795,-0.9796874999999999,0.41502076424321727,-1.7931281979167057,-0.16624680208329412,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.25,0.13470397652008115,-0.014019793979359041,0.514019793979359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,4,0.1929982304573059,32,0.5625,0.19016917341180467,0.18976842011286288,0.9352315798871371,0.8078124999999999,0.22996437941866404,0.3570823163394184,1.2585426836605815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,0,0.20539389550685883,32,0.6875,0.2855297142889606,0.12786175999363714,1.2471382400063629,1.2031249999999998,0.3741787883151581,0.46973457490228987,1.9365154250977097,0.03125,0.03125,-0.03,0.0925,0.0,0.0,0.0,0.0,0.03125,0.03125,-0.03,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,1,0.19821880757808685,32,1.09375,0.27809611575276305,0.5486816131245844,1.6388183868754156,1.8218749999999997,0.3762876916872548,1.0843511242929802,2.559398875707019,0.03125,0.03125,-0.03,0.0925,0.0,0.0,0.0,0.0,0.03125,0.03125,-0.03,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,2,0.1998935341835022,32,-0.28125,0.21172474808489652,-0.6962305062463972,0.1337305062463972,0.4921874999999998,0.26924054419815924,-0.0355239666283923,1.019898966628392,0.25,0.07777137710478188,0.09756810087462753,0.40243189912537247,0.0,0.04490132550669372,-0.08800659799311969,0.08800659799311969,0.25,0.19050019050028574,-0.12338037338056007,0.6233803733805601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,3,0.20413802564144135,32,-0.28125,0.24277617712086033,-0.7570913071568862,0.19459130715688622,0.33437499999999976,0.3620647936744863,-0.3752719956019934,1.044021995601993,0.21875,0.07424858801742054,0.07322276748585574,0.36427723251414423,-0.03125,0.03125,-0.0925,0.03,0.15625,0.16866037046240626,-0.17432432610631626,0.48682432610631626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,4,0.19235573709011078,32,0.40625,0.22833273241817165,-0.041282155539616394,0.8537821555396163,1.0171874999999997,0.27741434102775375,0.47345539158560235,1.560919608414397,0.15625,0.06521328221627366,0.028431966856103635,0.2840680331438964,-0.03125,0.03125,-0.0925,0.03,0.1875,0.12245390837951786,-0.05250966042385499,0.42750966042385496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,1,0.3338358998298645,32,0.0625,0.04347552147751577,-0.022712022095930914,0.14771202209593093,0.175,0.12173146013704417,-0.06359366186860657,0.4135936618686066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,3,0.3302012085914612,32,0.71875,0.3337058989831151,0.06468643799309448,1.3728135620069055,0.653125,0.39047981172774526,-0.11221543098638076,1.4184654309863807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
