context_id,scenario,policy_seed,slot,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,repeat_count,actual_extra_transitions,direct_cost_mean,direct_cost_standard_error,direct_cost_lower,direct_cost_upper,current_other_delta_mean,current_other_delta_standard_error,current_other_delta_lower,current_other_delta_upper,sub_cost_probe_mean,sub_cost_probe_standard_error,sub_cost_probe_lower,sub_cost_probe_upper,sub_cost_other_mean,sub_cost_other_standard_error,sub_cost_other_lower,sub_cost_other_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,sub_shot_probe_mean,sub_shot_probe_standard_error,sub_shot_probe_lower,sub_shot_probe_upper,sub_shot_other_mean,sub_shot_other_standard_error,sub_shot_other_lower,sub_shot_other_upper,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,episode_cost_delta_mean,episode_cost_delta_standard_error,episode_cost_delta_lower,episode_cost_delta_upper,rho_sub_mean,rho_sub_standard_error,rho_sub_lower,rho_sub_upper,rho_sub_median,rho_sub_q25,rho_sub_q75,cost_sign_masked_rate,first_substitution_step_mean
confirm_time_pressure_seed17_resource00_e00_t04_u0,time_pressure,17,resource,887397734,4,96ddee3f2eb5c605cf87e188d56574e8ddfe0ff0f85166a554bf364135c48a17,0,missile,2.0,2,122,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,-0.25,0.25,-0.74,0.24,1.75,0.25,1.26,2.24,1.0,0.0,1.0,1.0,-0.5,0.5,-1.48,0.48,0.5,0.5,-0.48,1.48,0.25,0.25,-0.24,0.74,0.875,0.125,0.63,1.12,0.875,0.8125,0.9375,0.5,1.5
confirm_time_pressure_seed17_resource03_e21_t04_u2,time_pressure,17,resource,887397755,4,6a5d97c7ad273a24555e604231a2e406be9173b46a7253d74fc53297d023f4c8,2,laser,0.5,2,186,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
