scenario,slot,resource_type,contexts,sub_shot_mean_aggregate,sub_shot_mean_lower,sub_shot_mean_upper,sub_shot_mean_median,sub_shot_mean_q25,sub_shot_mean_q75,sub_cost_mean_aggregate,sub_cost_mean_lower,sub_cost_mean_upper,sub_cost_mean_median,sub_cost_mean_q25,sub_cost_mean_q75,rho_sub_mean_aggregate,rho_sub_mean_lower,rho_sub_mean_upper,rho_sub_mean_median,rho_sub_mean_q25,rho_sub_mean_q75,episode_cost_delta_mean_aggregate,episode_cost_delta_mean_lower,episode_cost_delta_mean_upper,episode_cost_delta_mean_median,episode_cost_delta_mean_q25,episode_cost_delta_mean_q75,cost_sign_masked_rate_aggregate,cost_sign_masked_rate_lower,cost_sign_masked_rate_upper,cost_sign_masked_rate_median,cost_sign_masked_rate_q25,cost_sign_masked_rate_q75
time_pressure,resource,laser,1,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
time_pressure,resource,missile,1,0.5,0.5,0.5,0.5,0.5,0.5,1.75,1.75,1.75,1.75,1.75,1.75,0.875,0.875,0.875,0.875,0.875,0.875,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5
