context_id,scenario,policy_seed,slot,minimum_horizon,maximum_horizon,mean_horizon,short_label,full_label,label_changed,short_zone_damage_mean,full_zone_damage_mean,short_high_threat_leaks_mean,full_high_threat_leaks_mean,short_resource_cost_mean,full_resource_cost_mean,extra_transitions,projected_window_transitions,projected_saved_transitions
heterogeneity_pressure_seed9_resource03_e02_t02_u0,heterogeneity_pressure,9,resource,32,32,32.0,AMBIGUOUS,AMBIGUOUS,False,0.0,-0.012866627560076137,0.0,0.0,-0.109375,-0.1796875,2756,2024,732
heterogeneity_pressure_seed9_resource04_e08_t04_u0,heterogeneity_pressure,9,resource,35,46,41.666666666666664,AMBIGUOUS,AMBIGUOUS,False,-0.042911622281224346,-0.030778962875996844,0.010615069419145584,0.010615069419145584,0.0,0.0,5776,5379,397
heterogeneity_pressure_seed9_resource05_e10_t02_u0,heterogeneity_pressure,9,resource,21,33,28.25,AMBIGUOUS,AMBIGUOUS,False,-0.03989301591639717,-0.04905761717450232,0.007450935896486044,0.007450935896486044,6.232713349163532e-05,-0.0019393169786781073,6533,4672,1861
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,2,10,5.0,ENGAGE,ENGAGE,False,-0.12921734920048122,-0.12921734920048122,-0.1174049498513341,-0.1174049498513341,0.07038054121658209,0.23756458251737061,906,638,268
heterogeneity_pressure_seed10_safety01_e10_t40_u1,heterogeneity_pressure,10,safety,2,10,6.0,ENGAGE,ENGAGE,False,-0.31171275096153933,-0.3117127509615393,-0.31614710483700037,-0.31614710483700037,0.8810022400692106,1.5852908607106657,1135,826,309
heterogeneity_pressure_seed10_safety02_e10_t40_u0,heterogeneity_pressure,10,safety,2,10,6.0,ENGAGE,ENGAGE,False,-0.3365277282634889,-0.33652772826348887,-0.3465218357741833,-0.3465218357741833,1.5826179865282026,1.8294499769108366,1137,834,303
heterogeneity_pressure_seed10_safety03_e03_t33_u2,heterogeneity_pressure,10,safety,2,17,9.333333333333334,AMBIGUOUS,AMBIGUOUS,False,-0.06634920179633604,-0.06634920179633604,-0.06299303658306599,-0.06299303658306599,-0.021504257339984165,-0.024083954282104948,990,771,219
heterogeneity_pressure_seed10_safety04_e03_t33_u1,heterogeneity_pressure,10,safety,2,17,11.25,ENGAGE,ENGAGE,False,-0.17819866619395652,-0.17819866619395652,-0.15959452837705612,-0.15959452837705612,0.6410474220057951,0.6273184545803818,1396,1109,287
heterogeneity_pressure_seed10_safety05_e03_t33_u0,heterogeneity_pressure,10,safety,2,17,11.25,ENGAGE,ENGAGE,False,-0.20457064891895838,-0.19772703771261102,-0.2131930715404451,-0.2131930715404451,0.3575507597299292,-0.0816765723749995,1575,1229,346
heterogeneity_pressure_seed10_resource00_e08_t49_u0,heterogeneity_pressure,10,resource,1,1,1.0,STOP,STOP,False,0.0,0.0,0.0,0.0,2.0734375,2.0734375,64,64,0
heterogeneity_pressure_seed10_resource01_e08_t48_u0,heterogeneity_pressure,10,resource,2,2,2.0,STOP,STOP,False,0.0,0.0,0.0,0.0,0.8875,0.8875,96,96,0
heterogeneity_pressure_seed10_resource02_e08_t47_u0,heterogeneity_pressure,10,resource,3,3,3.0,STOP,STOP,False,0.0,0.0,0.0,0.0,1.2171874999999999,1.2171874999999999,92,92,0
heterogeneity_pressure_seed10_resource03_e08_t46_u0,heterogeneity_pressure,10,resource,4,4,4.0,STOP,STOP,False,0.0,0.0,0.0,0.0,0.4859374999999999,0.4859374999999999,119,119,0
heterogeneity_pressure_seed10_resource04_e08_t45_u0,heterogeneity_pressure,10,resource,5,5,5.0,STOP,STOP,False,0.0,0.0,0.0,0.0,0.73125,0.73125,121,121,0
heterogeneity_pressure_seed10_resource05_e08_t44_u0,heterogeneity_pressure,10,resource,6,6,6.0,STOP,STOP,False,0.0,0.0,0.0,0.0,0.6828124999999998,0.6828124999999998,134,134,0
