context_id,scenario,policy_seed,slot,target_index,target_probability,time_to_impact,event_horizon
time_pressure_seed10_resource00_e11_t04_u1,time_pressure,10,resource,0,0.3412403166294098,23.553757743699485,25
time_pressure_seed10_resource00_e11_t04_u1,time_pressure,10,resource,1,0.32398098707199097,18.83513934558095,20
time_pressure_seed10_resource00_e11_t04_u1,time_pressure,10,resource,2,0.33477869629859924,29.116022790989987,31
time_pressure_seed10_resource01_e04_t04_u1,time_pressure,10,resource,0,0.3319377899169922,21.46527092222945,23
time_pressure_seed10_resource01_e04_t04_u1,time_pressure,10,resource,1,0.34769532084465027,24.799679113258836,26
time_pressure_seed10_resource01_e04_t04_u1,time_pressure,10,resource,3,0.32036685943603516,14.134224395071573,16
time_pressure_seed10_resource02_e01_t04_u1,time_pressure,10,resource,1,1.0,14.231711336683425,16
time_pressure_seed10_resource03_e04_t04_u0,time_pressure,10,resource,0,0.24352478981018066,21.46527092222945,23
time_pressure_seed10_resource03_e04_t04_u0,time_pressure,10,resource,1,0.2570914626121521,24.799679113258836,26
time_pressure_seed10_resource03_e04_t04_u0,time_pressure,10,resource,2,0.2646869421005249,22.836350231607064,24
time_pressure_seed10_resource03_e04_t04_u0,time_pressure,10,resource,3,0.23469677567481995,14.134224395071573,16
time_pressure_seed10_resource04_e01_t04_u0,time_pressure,10,resource,0,0.5217978954315186,22.40456496690247,24
time_pressure_seed10_resource04_e01_t04_u0,time_pressure,10,resource,1,0.47820207476615906,14.231711336683425,16
time_pressure_seed10_resource05_e09_t04_u1,time_pressure,10,resource,4,1.0,17.068593583431028,19
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,0,0.193481907248497,8.16692705985744,10
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,1,0.19690680503845215,53.06732020031546,27
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,2,0.20750974118709564,13.624905000097154,15
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,3,0.1994587928056717,0.058080025221134174,2
heterogeneity_pressure_seed8_safety00_e00_t23_u2,heterogeneity_pressure,8,safety,4,0.2026427537202835,29.521284912553718,27
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,0,0.1946171373128891,8.16692705985744,10
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,1,0.19697163999080658,53.06732020031546,27
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,2,0.20663253962993622,13.624905000097154,15
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,3,0.1997527927160263,0.058080025221134174,2
heterogeneity_pressure_seed8_safety01_e00_t23_u1,heterogeneity_pressure,8,safety,4,0.2020258605480194,29.521284912553718,27
heterogeneity_pressure_seed8_safety02_e00_t23_u0,heterogeneity_pressure,8,safety,0,0.1933557689189911,8.16692705985744,10
heterogeneity_pressure_seed8_safety02_e00_t23_u0,heterogeneity_pressure,8,safety,1,0.19791460037231445,53.06732020031546,27
heterogeneity_pressure_seed8_safety02_e00_t23_u0,heterogeneity_pressure,8,safety,2,0.2071017622947693,13.624905000097154,15
heterogeneity_pressure_seed8_safety02_e00_t23_u0,heterogeneity_pressure,8,safety,3,0.19897280633449554,0.058080025221134174,2
heterogeneity_pressure_seed8_safety02_e00_t23_u0,heterogeneity_pressure,8,safety,4,0.20265507698059082,29.521284912553718,27
heterogeneity_pressure_seed8_safety03_e07_t40_u2,heterogeneity_pressure,8,safety,0,0.5055621862411499,23.924105233311185,10
heterogeneity_pressure_seed8_safety03_e07_t40_u2,heterogeneity_pressure,8,safety,1,0.4944378137588501,0.19948400312975012,2
heterogeneity_pressure_seed8_safety04_e07_t40_u1,heterogeneity_pressure,8,safety,0,0.3396603465080261,23.924105233311185,10
heterogeneity_pressure_seed8_safety04_e07_t40_u1,heterogeneity_pressure,8,safety,1,0.3323226571083069,0.19948400312975012,2
heterogeneity_pressure_seed8_safety04_e07_t40_u1,heterogeneity_pressure,8,safety,3,0.3280169665813446,11.784036135674013,10
heterogeneity_pressure_seed8_safety05_e07_t40_u0,heterogeneity_pressure,8,safety,0,0.3411363363265991,23.924105233311185,10
heterogeneity_pressure_seed8_safety05_e07_t40_u0,heterogeneity_pressure,8,safety,1,0.3313280940055847,0.19948400312975012,2
heterogeneity_pressure_seed8_safety05_e07_t40_u0,heterogeneity_pressure,8,safety,3,0.32753559947013855,11.784036135674013,10
heterogeneity_pressure_seed8_resource00_e10_t49_u0,heterogeneity_pressure,8,resource,0,0.4903303384780884,36.488740460638475,1
heterogeneity_pressure_seed8_resource00_e10_t49_u0,heterogeneity_pressure,8,resource,2,0.5096696615219116,4.058861880558135,1
heterogeneity_pressure_seed8_resource01_e04_t45_u0,heterogeneity_pressure,8,resource,2,0.5186417698860168,0.5832234625712106,2
heterogeneity_pressure_seed8_resource01_e04_t45_u0,heterogeneity_pressure,8,resource,3,0.48135823011398315,12.903993137227074,5
heterogeneity_pressure_seed8_resource02_e10_t48_u0,heterogeneity_pressure,8,resource,0,0.4905208349227905,37.48874168719985,2
heterogeneity_pressure_seed8_resource02_e10_t48_u0,heterogeneity_pressure,8,resource,2,0.5094792246818542,5.058861810473554,2
heterogeneity_pressure_seed8_resource03_e04_t44_u0,heterogeneity_pressure,8,resource,2,0.5185560584068298,1.5832233246429244,3
heterogeneity_pressure_seed8_resource03_e04_t44_u0,heterogeneity_pressure,8,resource,3,0.4814439117908478,13.903992555338577,6
heterogeneity_pressure_seed8_resource04_e10_t47_u0,heterogeneity_pressure,8,resource,0,0.49071183800697327,38.48874291376123,3
heterogeneity_pressure_seed8_resource04_e10_t47_u0,heterogeneity_pressure,8,resource,2,0.5092881917953491,6.058861740388973,3
heterogeneity_pressure_seed8_resource05_e09_t49_u0,heterogeneity_pressure,8,resource,1,0.49947038292884827,3.7107692757399464,1
heterogeneity_pressure_seed8_resource05_e09_t49_u0,heterogeneity_pressure,8,resource,2,0.5005296468734741,19.437445543767392,1
heterogeneity_pressure_seed9_safety00_e02_t45_u2,heterogeneity_pressure,9,safety,4,1.0,0.3463249161878332,2
heterogeneity_pressure_seed9_safety01_e00_t26_u2,heterogeneity_pressure,9,safety,2,0.5003175735473633,0.722499657706173,2
heterogeneity_pressure_seed9_safety01_e00_t26_u2,heterogeneity_pressure,9,safety,4,0.4996824264526367,15.274977793346656,17
heterogeneity_pressure_seed9_safety02_e00_t25_u2,heterogeneity_pressure,9,safety,2,0.3328418433666229,1.7224997258650572,3
heterogeneity_pressure_seed9_safety02_e00_t25_u2,heterogeneity_pressure,9,safety,3,0.33472132682800293,5.347051684046454,7
heterogeneity_pressure_seed9_safety02_e00_t25_u2,heterogeneity_pressure,9,safety,4,0.33243685960769653,16.27497945713167,18
heterogeneity_pressure_seed9_safety03_e02_t44_u2,heterogeneity_pressure,9,safety,4,1.0,1.3463248366729212,3
