context_id,scenario,policy_seed,slot,repeat,short_zone_damage_delta,short_high_threat_leaks_delta,short_resource_cost_delta,full_zone_damage_delta,full_high_threat_leaks_delta,full_resource_cost_delta
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,27,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,28,-0.8027043158137577,0.0,0.5,-0.8027043158137577,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,29,-0.8027043158137577,0.0,0.0,-0.8027043158137577,0.0,0.0
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,30,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,31,-0.8027043158137577,0.0,0.0,-0.8027043158137577,0.0,0.0
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,0,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,1,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,2,-0.3187273558996349,-0.4997093379497528,0.4999999850988388,-0.3187273558996349,-0.4997093379497528,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,3,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,4,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346363,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,5,-0.7072243887342713,-0.4997093379497528,0.00029064714908599854,-0.7072243887342713,-0.4997093379497528,0.00029064714908599854
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,6,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,7,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,8,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346363,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,9,-0.31872735589963497,-0.4997093379497528,0.4999999850988388,-0.31872735589963497,-0.4997093379497528,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,10,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346363,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,11,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,12,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,13,-0.3187273558996349,-0.4997093379497528,0.2501453161239624,-0.3187273558996349,-0.4997093379497528,0.2501453161239624
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,14,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,15,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346363,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,16,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,17,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,18,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,19,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,20,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,21,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,22,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346363,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,23,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346364,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,24,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,25,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,26,-0.3884970328346364,0.0,0.4999999850988388,-0.3884970328346363,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,27,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,28,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,29,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,30,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,31,0.0,0.0,0.4999999850988388,0.0,0.0,0.4999999850988388
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,0,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,1,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,2,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,3,-0.6378254951314997,-1.0,0.5,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,4,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,5,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,6,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,7,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,8,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,9,-0.6378254951314997,-1.0,0.0,-0.6378254951314997,-1.0,0.0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,10,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,11,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,12,-0.6378254951314997,-1.0,0.0,-0.6378254951314997,-1.0,0.0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,13,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,14,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,15,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,16,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,17,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,18,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,19,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,20,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,21,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,22,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,23,-0.6378254951314997,-1.0,0.0,-0.6378254951314997,-1.0,0.0
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,24,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,25,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,26,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,27,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,28,0.0,0.0,0.5,0.0,0.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,29,-0.6378254951314997,-1.0,0.5,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,30,-0.6378254951314997,-1.0,0.5,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,31,-0.6378254951314997,-1.0,0.5,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,0,-0.4651037256491999,-0.24366234242916107,-0.12183117121458054,-0.4651037256491999,-0.24366234242916107,-0.12183117121458054
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,1,-0.32662499074142315,0.0,0.0,-0.49450086856669295,0.0,0.0
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,2,-0.15909037313081686,0.0,0.0,-0.15909037313081686,0.0,0.0
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,3,0.0,0.0,0.0,0.0,0.0,0.0
