method,episodes,avg_reward,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,std_reward,avg_steps,model_path
random_joint,3.0,-74.80201501736498,0.0,0.3333333333333333,0.5333333333333333,1.9986244670297963,16.0,16.0,0.10416666666666667,0.0,14.26300475918321,45.0,
greedy_damage,3.0,-35.76395613482895,0.3333333432674408,0.4666666666666667,0.3333333333333333,1.1869327900483193,16.0,16.0,0.14583333333333334,0.0,48.591270252845874,40.0,
ppo,3.0,-509.96230900251635,0.0,0.13333333333333333,0.6666666666666666,2.4998986007654547,6.0,6.0,0.1111111111111111,82.0,30.858646728499828,44.0,
maskable_ppo,3.0,-59.65529396400054,0.0,0.4,0.4,1.5796747625592873,16.0,16.0,0.14583333333333334,0.0,26.42897231001569,45.666666666666664,
