method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
maskable_ppo,learning,medium,medium,3,3,1100,100000,100096,238.51112230000217,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed3.zip,100.0,-31.78489092900663,34.870508911428075,40.99,0.09,0.616,0.304,1.0472313740810508,11.7,11.7,0.27692307692307694,0.0,0.8952838497282991,0.34183673469387754,1.0472313740810508,0.023622047244094488,0.023076923076923078,0.18207804823903004,13.83
maskable_ppo,learning,medium,time_pressure,3,3,1200,100000,100096,238.51112230000217,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed3.zip,100.0,-36.23026044189023,37.921386101049215,29.88,0.1,0.64,0.356,1.2402793532544043,10.88,10.88,0.3170955882352941,0.0,0.9393774765984717,0.3175355450236967,1.2402793532544043,0.037178265014299335,0.035845588235294115,0.20523532992529375,13.63
maskable_ppo,learning,medium,heterogeneity_pressure,3,3,1300,100000,100096,238.51112230000217,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed3.zip,100.0,-47.7665686558731,36.32622626903744,42.91,0.04,0.494,0.374,1.37159030468407,11.28,11.28,0.23404255319148937,0.0,0.9550333721627654,0.4055299539170507,1.37159030468407,0.028258887876025523,0.0274822695035461,0.15908444903806876,13.345000000000004
greedy_damage,rule,medium,medium,4,,1400,0,0,0.0,,100.0,-36.798746126004175,37.00205279079694,46.5,0.07,0.526,0.31,0.9999309876156373,15.63,15.63,0.16826615483045426,0.0,0.025053096784000854,0.28431372549019607,0.9999309876156373,0.0,0.0,0.12442558002782904,16.815
greedy_damage,rule,medium,time_pressure,4,,1500,0,0,0.0,,100.0,-43.58968845628123,38.10533243639748,34.07,0.09,0.598,0.4,1.3427315537885796,15.83,15.83,0.18888186986734049,0.0,0.02649636045538578,0.3701923076923077,1.3427315537885796,0.0,0.0,0.13900148223328668,16.915
greedy_damage,rule,medium,heterogeneity_pressure,4,,1600,0,0,0.0,,100.0,-52.20867377452013,36.340015994720346,45.71,0.0,0.414,0.392,1.3471631778829432,15.57,15.57,0.1329479768786127,0.0,0.025597768519344196,0.3482587064676617,1.3471631778829432,0.0,0.0,0.09572789012932932,15.292500000000008
hungarian_damage,rule,medium,medium,4,,1400,0,0,0.0,,100.0,-37.260439834962725,36.387077325494566,46.55,0.05,0.526,0.31,1.0003627704092362,15.67,15.67,0.16783663050414804,0.0,0.03461677763603826,0.28921568627450983,1.0003627704092362,0.0,0.0,0.12418810325806551,16.835
hungarian_damage,rule,medium,time_pressure,4,,1500,0,0,0.0,,100.0,-43.458119362188626,37.97092380652206,34.07,0.09,0.596,0.402,1.3443306334526994,15.83,15.83,0.18825015792798483,0.0,0.04034479012875175,0.3894230769230769,1.3443306334526994,0.0,0.0,0.1389004664617061,16.915
hungarian_damage,rule,medium,heterogeneity_pressure,4,,1600,0,0,0.0,,100.0,-52.99178798207897,36.27246316820698,45.71,0.0,0.412,0.398,1.3695446250959782,15.67,15.67,0.13146139119336311,0.0,0.03659089913586547,0.35323383084577115,1.3695446250959782,0.0,0.0,0.09418945110606204,15.317500000000006
maskable_ppo,learning,medium,medium,4,4,1400,100000,100096,239.5871420000003,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed4.zip,100.0,-40.78367383951712,33.551216818563546,45.77,0.05,0.522,0.328,1.1362901054787573,15.02,15.02,0.17376830892143807,0.0,0.9132284902786061,0.3382352941176471,1.1362901054787573,0.0013333333333333333,0.0013315579227696406,0.12414445964591854,16.51
maskable_ppo,learning,medium,time_pressure,4,4,1500,100000,100096,239.5871420000003,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed4.zip,100.0,-45.910816323490096,44.28481808395435,32.76,0.11,0.592,0.402,1.4183316791525236,13.6,13.6,0.22058823529411764,0.0,1.021535805837794,0.40384615384615385,1.4183316791525236,0.007407407407407408,0.007352941176470588,0.15518215341877303,15.785
maskable_ppo,learning,medium,heterogeneity_pressure,4,4,1600,100000,100096,239.5871420000003,results\air_defense_v1\task7_formal_medium_100k_5seeds\models\medium\maskable_ppo_seed4.zip,100.0,-51.84053815537476,38.900000897525366,45.01,0.05,0.412,0.418,1.4054815733955732,14.65,14.65,0.14061433447098975,0.0,0.9630121528947515,0.39303482587064675,1.4054815733955732,0.0006830601092896175,0.0006825938566552901,0.10161102266439519,15.062500000000007
