budget_mean,classification_loss,cost_loss,epoch,fold,loss,mode,model_seed,objective,safety_loss,validation_balanced_accuracy,worst_block_loss
0.6787177920341492,0.9468876123428345,0.39553385972976685,0,0,1.7253421545028687,state_budget,20,standard,0.38224199414253235,0.45,0.0
0.670349657535553,0.9283312559127808,0.2608940303325653,1,0,1.5386673212051392,state_budget,20,standard,0.3487717807292938,0.45,0.0
0.6554884910583496,0.902009129524231,0.2947935461997986,2,0,1.5427085161209106,state_budget,20,standard,0.34525036811828613,0.45,0.0
0.6447818279266357,0.8719831109046936,0.2899957299232483,3,0,1.4925726652145386,state_budget,20,standard,0.3299490809440613,0.45,0.0
0.6392279267311096,0.8408345580101013,0.2543482184410095,4,0,1.4018900394439697,state_budget,20,standard,0.30606809258461,0.95,0.0
0.639897882938385,0.8084557056427002,0.23344585299491882,5,0,1.3315945863723755,state_budget,20,standard,0.2890530824661255,0.95,0.0
0.6456761956214905,0.7745503187179565,0.23745612800121307,6,0,1.2914435863494873,state_budget,20,standard,0.2787914276123047,0.95,0.0
0.652677595615387,0.7397439479827881,0.2455911636352539,7,0,1.253265619277954,state_budget,20,standard,0.2672778069972992,0.95,0.0
0.6588028073310852,0.7016990780830383,0.2379099577665329,8,0,1.1953730583190918,state_budget,20,standard,0.25510528683662415,0.95,0.0
0.665328860282898,0.6576405167579651,0.22103413939476013,9,0,1.1232765913009644,state_budget,20,standard,0.243936687707901,0.95,0.0
0.6747149229049683,0.615702748298645,0.21085532009601593,10,0,1.0624909400939941,state_budget,20,standard,0.23525813221931458,0.95,0.0
0.6887620091438293,0.5754719376564026,0.21348704397678375,11,0,1.018730640411377,state_budget,20,standard,0.22908280789852142,0.95,0.0
0.7116758227348328,0.5390539765357971,0.21960371732711792,12,0,0.9851416349411011,state_budget,20,standard,0.22577224671840668,0.45,0.0
0.7533859014511108,0.5092299580574036,0.22132472693920135,13,0,0.9551879167556763,state_budget,20,standard,0.2238798290491104,0.9,0.0
0.7828664183616638,0.4844452738761902,0.20500832796096802,14,0,0.9100096821784973,state_budget,20,standard,0.21977323293685913,0.9,0.0
0.8144800066947937,0.46619996428489685,0.18662996590137482,15,0,0.8717644810676575,state_budget,20,standard,0.21812006831169128,0.9,0.0
0.8714751601219177,0.4432273805141449,0.17508825659751892,16,0,0.8327288031578064,state_budget,20,standard,0.213541641831398,0.4,0.0
0.7089629769325256,0.9492512941360474,0.3407914340496063,0,1,1.7499046325683594,state_budget,20,standard,0.4591529965400696,0.5,0.0
0.659846842288971,0.9198547601699829,0.26571133732795715,1,1,1.5084301233291626,state_budget,20,standard,0.32220426201820374,0.5,0.0
0.6271243095397949,0.8959943056106567,0.24999237060546875,2,1,1.4731818437576294,state_budget,20,standard,0.32656800746917725,0.375,0.0
0.6267400979995728,0.8583264350891113,0.2849000096321106,3,1,1.4554327726364136,state_budget,20,standard,0.3115796446800232,0.5,0.0
0.6497707962989807,0.8195872902870178,0.28206101059913635,4,1,1.3879956007003784,state_budget,20,standard,0.28569748997688293,0.5833333333333333,0.0
0.6828265190124512,0.7805343866348267,0.24787941575050354,5,1,1.301418423652649,state_budget,20,standard,0.27232179045677185,0.5,0.0
0.7196929454803467,0.7408591508865356,0.2201227843761444,6,1,1.229262351989746,state_budget,20,standard,0.2675607204437256,0.625,0.0
0.7583603858947754,0.7029448747634888,0.2168215811252594,7,1,1.1846610307693481,state_budget,20,standard,0.2641361355781555,0.4583333333333333,0.0
0.8000754714012146,0.6631984114646912,0.2244405746459961,8,1,1.1513543128967285,state_budget,20,standard,0.2629152536392212,0.5416666666666666,0.0
0.8469606041908264,0.6179112792015076,0.22167432308197021,9,1,1.1075047254562378,state_budget,20,standard,0.2670721709728241,0.5833333333333333,0.0
0.9008972644805908,0.5585429668426514,0.20609033107757568,10,1,1.0450931787490845,state_budget,20,standard,0.27955901622772217,0.5833333333333333,0.0
0.960188627243042,0.5046833157539368,0.19666270911693573,11,1,0.9840072393417358,state_budget,20,standard,0.2817010283470154,0.5833333333333333,0.0
0.6856516003608704,0.9368925094604492,0.4671316146850586,0,2,1.8243629932403564,state_budget,20,standard,0.4196532368659973,0.5,0.0
0.6622294783592224,0.9123007655143738,0.2749137580394745,1,2,1.5463422536849976,state_budget,20,standard,0.3584655225276947,0.5,0.0
0.6444190740585327,0.8728768825531006,0.27964794635772705,2,2,1.4829343557357788,state_budget,20,standard,0.32976511120796204,0.25,0.0
0.6331250667572021,0.8318591117858887,0.2956138849258423,3,2,1.4647409915924072,state_budget,20,standard,0.33663490414619446,0.41666666666666663,0.0
0.6395135521888733,0.7915564775466919,0.2721409499645233,4,2,1.3913748264312744,state_budget,20,standard,0.3270378112792969,0.25,0.0
0.6602094173431396,0.7458726763725281,0.24327588081359863,5,2,1.285980224609375,state_budget,20,standard,0.2961715757846832,0.3333333333333333,0.0
0.6922869086265564,0.6939654350280762,0.22606416046619415,6,2,1.1913989782333374,state_budget,20,standard,0.2706771790981293,0.3333333333333333,0.0
0.6787177920341492,1.4432008266448975,0.39553385972976685,0,0,2.2216556072235107,state_budget,20,scenario_robust,0.38224199414253235,0.5,0.9928410053253174
