context_id,scenario,policy_seed,slot,repeat,unit_index,resource_type,direct_cost,current_other_delta,same_step_other_sub_cost,future_sub_cost_probe,future_sub_cost_other,future_sub_cost,sub_cost_probe,sub_cost_other,sub_cost,sub_shot_probe,sub_shot_other,sub_shot,episode_cost_delta,rho_sub,cost_sign_masked,engage_transitions,first_substitution_step_expected
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,0,2,laser,0.5000000149011612,0.0,0.0,0.3348575383424759,0.0,0.3348575383424759,0.3348575383424759,0.0,0.3348575383424759,0.6697150766849518,0.0,0.6697150766849518,0.1651424765586853,0.6697150766849518,0.6697150766849518,9.000000268220901,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,1,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,8.000000238418579,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,2,2,laser,0.5000000149011612,0.0,0.0,0.1701439470052719,0.0,0.1701439470052719,0.1701439470052719,0.0,0.1701439470052719,0.3402878940105438,0.0,0.3402878940105438,0.3298560678958893,0.3402878940105438,0.3402878940105438,6.000000178813934,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,3,2,laser,0.5000000149011612,0.0,0.0,0.1701439470052719,0.0,0.1701439470052719,0.1701439470052719,0.0,0.1701439470052719,0.3402878940105438,0.0,0.3402878940105438,0.3298560678958893,0.3402878940105438,0.3402878940105438,10.000000298023224,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,4,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,22.000000655651093,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,5,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,22.000000655651093,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,6,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,12.000000357627869,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,7,2,laser,0.5000000149011612,0.0,0.0,0.1701439470052719,-0.6805757880210876,-0.5104318410158157,0.1701439470052719,-0.6805757880210876,-0.5104318410158157,0.3402878940105438,-0.3402878940105438,0.0,1.010431855916977,-1.0208636820316315,0.0,8.680576026439667,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,8,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,22.000000655651093,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,9,2,laser,0.5000000149011612,0.0,0.0,0.0,1.3611515760421753,1.3611515760421753,0.0,1.3611515760421753,1.3611515760421753,0.0,0.6805757880210876,0.6805757880210876,-0.8611515611410141,2.7223031520843506,0.3402878940105438,7.298560798168182,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,10,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,8.000000238418579,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,11,2,laser,0.5000000149011612,0.0,0.0,0.6697150766849518,3.3594360947608948,4.029151171445847,0.6697150766849518,3.3594360947608948,4.029151171445847,1.3394301533699036,1.6797180473804474,3.019148200750351,-3.5291511565446854,8.058302342891693,0.6697150766849518,7.980852127075195,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,12,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,22.000000655651093,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,13,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,8.000000238418579,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,14,2,laser,0.5000000149011612,0.0,0.0,0.1701439470052719,0.0,0.1701439470052719,0.1701439470052719,0.0,0.1701439470052719,0.3402878940105438,0.0,0.3402878940105438,0.3298560678958893,0.3402878940105438,0.3402878940105438,7.000000208616257,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,15,2,laser,0.5000000149011612,0.0,0.0,0.1701439470052719,0.0,0.1701439470052719,0.1701439470052719,0.0,0.1701439470052719,0.3402878940105438,0.0,0.3402878940105438,0.3298560678958893,0.3402878940105438,0.3402878940105438,18.000000536441803,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,16,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,17.00000050663948,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,17,2,laser,0.5000000149011612,0.0,0.0,0.1701439470052719,0.0,0.1701439470052719,0.1701439470052719,0.0,0.1701439470052719,0.3402878940105438,0.0,0.3402878940105438,0.3298560678958893,0.3402878940105438,0.3402878940105438,22.000000655651093,
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,18,2,laser,0.5000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000149011612,0.0,0.0,22.000000655651093,
