scenario,policy_seed,slot,contexts,sub_shot_mean_aggregate,sub_shot_mean_lower,sub_shot_mean_upper,sub_shot_mean_median,sub_shot_mean_q25,sub_shot_mean_q75,sub_cost_mean_aggregate,sub_cost_mean_lower,sub_cost_mean_upper,sub_cost_mean_median,sub_cost_mean_q25,sub_cost_mean_q75,rho_sub_mean_aggregate,rho_sub_mean_lower,rho_sub_mean_upper,rho_sub_mean_median,rho_sub_mean_q25,rho_sub_mean_q75,episode_cost_delta_mean_aggregate,episode_cost_delta_mean_lower,episode_cost_delta_mean_upper,episode_cost_delta_mean_median,episode_cost_delta_mean_q25,episode_cost_delta_mean_q75,cost_sign_masked_rate_aggregate,cost_sign_masked_rate_lower,cost_sign_masked_rate_upper,cost_sign_masked_rate_median,cost_sign_masked_rate_q25,cost_sign_masked_rate_q75
heterogeneity_pressure,17,resource,6,0.9796336971533796,0.9385771932658079,1.0206902010409513,0.9861347153782845,0.9696298576891422,1.0,1.5199084496203188,0.4044568691626733,2.6353600300779645,1.511403558193706,0.25,2.7880023543606516,0.9934382855786854,0.9830965063887008,1.0037800647686699,0.9987620417294758,0.9920972127542232,1.0,0.005091578195181985,-0.005172557174762,0.01535571356512597,0.003466324880719185,0.0,0.0075925374403595924,0.9583333333333334,0.9206868601327207,0.995979806533946,0.96875,0.9453125,0.9921875
heterogeneity_pressure,17,safety,6,0.776041661699613,0.4647628142652482,1.0873205091339777,0.9375,0.8125,0.9921874552965164,0.19401041542490324,0.11619070356631205,0.2718301272834944,0.234375,0.203125,0.2480468638241291,0.776041661699613,0.4647628142652482,1.0873205091339777,0.9375,0.8125,0.9921874552965164,0.055989583333333336,-0.02183012921169137,0.13380929587835805,0.015625,0.001953125,0.046875,0.7760416666666666,0.4647628164865678,1.0873205168467655,0.9375,0.8125,0.9921875
heterogeneity_pressure,18,resource,6,0.6431422652676702,0.3959004572448085,0.8903840732905318,0.6091394452378154,0.4803850785829127,0.902309644035995,1.4782130803757656,0.3696119021075477,2.5868142586439835,1.4707495018839833,0.25709623743314297,2.7539061561226843,0.922897040356128,0.6770722690818637,1.1687218116303923,0.968340608291328,0.9347841546072491,1.0008370423955577,0.04678690124613543,-0.035067078899756944,0.1286408813920278,0.007914849789813161,-0.0023437500000000125,0.1235942086437717,0.6458333333333334,0.4410550826707094,0.8506115839959574,0.671875,0.5859375,0.734375
heterogeneity_pressure,18,safety,6,0.6355665709512929,0.3930439166864417,0.8780892252161441,0.6203424073755741,0.41848678700625896,0.8451910095755011,1.1459875618650885,0.5480069888390227,1.7439681348911544,1.2102184597868473,0.5180600878666155,1.546651109936647,0.9159364893138112,0.6840278020462733,1.147845176581349,0.8463677779771386,0.7318249269388615,1.1077235120814293,0.3706790822014832,-0.012690918894590564,0.754049083297557,0.289781517861411,0.003826177655719243,0.5465501478873191,0.5416666666666666,0.3693906446038799,0.7139426887294533,0.65625,0.375,0.6796875
heterogeneity_pressure,19,resource,6,1.0060857648495585,0.989784122824801,1.022387406874316,1.0000000149011612,0.9999999552965164,1.0000000521540642,1.3065127459781556,0.30478476173515223,2.3082407302211587,0.8708256180747412,0.25000000931322575,2.4709818546834867,0.9989191128336454,0.9971365436580881,1.0007016820092027,0.9999999701976776,0.9993103598743411,1.0000000223517418,0.001820515829604118,-0.0008678826496530886,0.004508914308861325,0.0,0.0,0.0019308880437165499,0.9895833333333334,0.9766706995543125,1.0024959671123543,1.0,0.9765625,1.0
heterogeneity_pressure,19,safety,6,0.9743474088609219,0.9276005017159265,1.0210943160059174,0.9810910790693015,0.9336942047812045,0.9983581138076261,1.909563328574101,1.092161534602106,2.726965122546096,2.108731128671206,1.4977802164386955,2.7341797002591184,0.964248593354834,0.8917936442672472,1.036703542442421,0.9817650206509001,0.9367118993269588,0.9983649531828371,0.03210338180263838,-0.05377732988364573,0.1179840934889225,0.03160379712935542,0.0045783292734995484,0.046379818243440264,0.9479166666666666,0.8814448158992595,1.0143885174340737,0.96875,0.96875,0.9921875
medium,17,resource,6,0.20833333333333334,0.038248897602788684,0.37841776906387803,0.171875,0.03125,0.3359375,0.8776041666666666,0.21322672827613753,1.5419816050571957,0.6953125,0.26171875,1.38671875,0.5989583333333334,0.2917485525769891,0.9061681140896776,0.62109375,0.423828125,0.84765625,0.3723958333333333,0.04336904013502679,0.7014226265316399,0.3828125,0.12109375,0.4921875,0.3645833333333333,0.12232084942154167,0.606845817245125,0.328125,0.1484375,0.578125
medium,17,safety,6,0.6018140939219544,0.3413348567674613,0.8622933310764476,0.5607183142565191,0.4212109746877104,0.6502630261238664,1.027578633589049,0.5131276781815544,1.5420295889965439,1.0840275059454143,0.5731410123407841,1.194429290422704,0.687807904362368,0.5301185140324525,0.8454972946922836,0.5994079309166409,0.5539389207260683,0.7599632211786229,0.47242135150978964,0.11645158869664413,0.8283911143229352,0.4890733031788841,0.12390731961932033,0.8765664302627556,0.578125,0.4589888952360229,0.6972611047639772,0.578125,0.46875,0.59375
medium,18,resource,6,0.9648881723017743,0.9194699395062093,1.0103064050973392,0.9999999850988388,0.9402294051833451,1.0,1.2433587789225082,0.59167207528071,1.8950454825643064,1.2300764708779752,0.5,1.990038078976795,0.9966793894612541,0.9901710453765284,1.0031877335459798,0.9999999850988388,0.9999999143183231,1.0,0.006641176374008258,-0.006375529319047926,0.019657882067064442,0.0,0.0,0.0,0.9895833333333334,0.9691666666666667,1.01,1.0,1.0,1.0
medium,18,safety,6,0.9687500049670538,0.9413581678888487,0.9961418420452588,0.9687499701976776,0.9375,1.0000000074505806,0.4843750024835269,0.47067908394442437,0.4980709210226294,0.4843749850988388,0.46875,0.5000000037252903,0.9687500049670538,0.9413581678888487,0.9961418420452588,0.9687499701976776,0.9375,1.0000000074505806,0.015625,0.0019290836378137895,0.02932091636218621,0.015625,0.0,0.03125,0.96875,0.9413581672756276,0.9961418327243724,0.96875,0.9375,1.0
