method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,target_index,target_threat,target_payload,target_class,attribution
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,30,30030,0,0.8186579944944878,1.179855396268942,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,30,30030,4,0.8365620427876821,0.9948288355923706,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,31,30031,3,0.8923385970066202,1.4886461634495114,decoy,attempted_miss
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,32,30032,0,0.8263218960069241,0.8662347292639965,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,34,30034,2,0.9921968806067745,1.1356787902680465,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,36,30036,0,0.9333802821305635,1.1826859214372158,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,36,30036,1,0.9436798905640494,1.4801903504180949,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,37,30037,1,0.8451863565798365,0.8049274779958877,small_uav,prefix_denied
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,37,30037,2,0.9446264664230786,0.7414020770016332,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,39,30039,2,0.9685168121961382,1.4756419640299998,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,40,30040,0,0.8413758916993098,0.81648267033729,loitering_munition,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,41,30041,2,0.876654954782534,1.4968262121248028,decoy,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,42,30042,1,0.9120322744632454,1.200279092078799,small_uav,unassigned
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,42,30042,3,0.8723566003347027,0.963147457215455,loitering_munition,mismatched_resource
