budget_mean,classification_loss,cost_loss,epoch,fold,loss,mode,model_seed,objective,safety_loss,validation_balanced_accuracy,worst_block_loss
0.6846671104431152,0.9395201206207275,0.30850473046302795,0,0,1.6249840259552002,state_budget,20,standard,0.37627458572387695,0.5,0.0
0.6800602674484253,0.9168197512626648,0.1804833561182022,1,0,1.4549533128738403,state_budget,20,standard,0.3569701611995697,0.48936170212765956,0.0
0.6660141348838806,0.8802369832992554,0.22438274323940277,2,0,1.4502363204956055,state_budget,20,standard,0.3449505865573883,0.5602836879432624,0.0
0.6563908457756042,0.8388817310333252,0.20940864086151123,3,0,1.3808605670928955,state_budget,20,standard,0.33191388845443726,0.6247044917257684,0.0
0.6540662050247192,0.800188422203064,0.18077869713306427,4,0,1.2976869344711304,state_budget,20,standard,0.3160657584667206,0.6932624113475178,0.0
0.6585285663604736,0.7638316750526428,0.17600618302822113,5,0,1.2496440410614014,state_budget,20,standard,0.3091476857662201,0.710401891252955,0.0
0.6674656867980957,0.7296513915061951,0.1869846135377884,6,0,1.2313672304153442,state_budget,20,standard,0.31406375765800476,0.6784869976359338,0.0
0.6759949922561646,0.6993403434753418,0.19567514955997467,7,0,1.2157634496688843,state_budget,20,standard,0.32007190585136414,0.6784869976359338,0.0
0.684929609298706,0.6787381172180176,0.1932225078344345,8,0,1.200181245803833,state_budget,20,standard,0.3275356590747833,0.6891252955082742,0.0
0.7006012797355652,0.657778263092041,0.18213112652301788,9,0,1.1769543886184692,state_budget,20,standard,0.336344450712204,0.710401891252955,0.0
0.7228742241859436,0.6386896967887878,0.1745714396238327,10,0,1.1558284759521484,state_budget,20,standard,0.341844379901886,0.6826241134751774,0.0
0.7441597580909729,0.6243340969085693,0.1759469360113144,11,0,1.1379830837249756,state_budget,20,standard,0.33695799112319946,0.6826241134751774,0.0
0.762599527835846,0.6124415397644043,0.18109089136123657,12,0,1.120768666267395,state_budget,20,standard,0.3264736533164978,0.6932624113475178,0.0
0.7887654304504395,0.6011874675750732,0.1837216317653656,13,0,1.1001496315002441,state_budget,20,standard,0.31445175409317017,0.6973995271867612,0.0
0.826163649559021,0.5908088684082031,0.18019413948059082,14,0,1.0702019929885864,state_budget,20,standard,0.29837286472320557,0.6973995271867612,0.0
0.8624817728996277,0.5835556983947754,0.1700517237186432,15,0,1.038589596748352,state_budget,20,standard,0.28411975502967834,0.6973995271867612,0.0
0.8891974091529846,0.5782738327980042,0.1599600464105606,16,0,1.0109838247299194,state_budget,20,standard,0.2718607187271118,0.7080378250591017,0.0
0.9218522906303406,0.5743377208709717,0.15595613420009613,17,0,0.9933793544769287,state_budget,20,standard,0.2621636390686035,0.6908983451536643,0.0
