budget_mean,classification_loss,cost_loss,epoch,fold,loss,mode,model_seed,safety_loss,validation_balanced_accuracy
0.0,0.9433642625808716,0.30850473046302795,0,0,1.628143548965454,safety_only,20,0.37627458572387695,0.5425531914893617
0.0,0.9179163575172424,0.17933833599090576,1,0,1.4538841247558594,safety_only,20,0.356629341840744,0.5998817966903073
0.0,0.8844649195671082,0.2322840690612793,2,0,1.455357313156128,safety_only,20,0.3386082649230957,0.6317966903073287
0.0,0.8513122797012329,0.21549521386623383,3,0,1.391990065574646,safety_only,20,0.32518255710601807,0.6530732860520094
0.0,0.8187645673751831,0.17683133482933044,4,0,1.3120830059051514,safety_only,20,0.31648704409599304,0.6637115839243499
0.0,0.7871506810188293,0.16614270210266113,5,0,1.2657731771469116,safety_only,20,0.31247976422309875,0.6637115839243499
0.0,0.7571194171905518,0.17684966325759888,6,0,1.2476003170013428,safety_only,20,0.3136312961578369,0.6530732860520094
0.0,0.7314159274101257,0.18449649214744568,7,0,1.2369308471679688,safety_only,20,0.32101839780807495,0.6637115839243499
0.0,0.7059264779090881,0.17963610589504242,8,0,1.2211740016937256,safety_only,20,0.3356114625930786,0.6849881796690307
0.0,0.6838942170143127,0.16657379269599915,9,0,1.201417326927185,safety_only,20,0.35094931721687317,0.6637115839243499
0.0,0.6737460494041443,0.15449172258377075,10,0,1.1807279586791992,safety_only,20,0.3524901866912842,0.6637115839243499
0.0,0.6676909327507019,0.15105114877223969,11,0,1.1649365425109863,safety_only,20,0.3461945056915283,0.6743498817966903
0.0,0.6546024084091187,0.15434472262859344,12,0,1.149545431137085,safety_only,20,0.3405982553958893,0.6678486997635933
0.0,0.642492413520813,0.1569913923740387,13,0,1.132668137550354,safety_only,20,0.3331843614578247,0.6572104018912529
0.0,0.6396857500076294,0.15504693984985352,14,0,1.1085470914840698,safety_only,20,0.3138144314289093,0.6572104018912529
0.0,0.6417399048805237,0.14825339615345,15,0,1.0816013813018799,safety_only,20,0.29160812497138977,0.6678486997635933
0.0,0.6369019746780396,0.14003914594650269,16,0,1.056483507156372,safety_only,20,0.27954238653182983,0.6891252955082742
0.0,0.6311415433883667,0.13634562492370605,17,0,1.0397405624389648,safety_only,20,0.2722533643245697,0.6997635933806146
0.0,0.6316668391227722,0.13692179322242737,18,0,1.0295696258544922,safety_only,20,0.2609810531139374,0.6997635933806146
0.0,0.6319393515586853,0.13765767216682434,19,0,1.0220674276351929,safety_only,20,0.25247037410736084,0.6719858156028369
0.0,0.6208570003509521,0.1366298943758011,20,0,1.0109729766845703,safety_only,20,0.2534860074520111,0.6719858156028369
0.0,0.6121113300323486,0.13141870498657227,21,0,0.9946122765541077,safety_only,20,0.25108224153518677,0.6719858156028369
0.0,0.5979878902435303,0.12588253617286682,22,0,0.975469708442688,safety_only,20,0.2515992522239685,0.6826241134751774
0.0,0.5792436003684998,0.12275657057762146,23,0,0.9575263261795044,safety_only,20,0.2555261254310608,0.66548463356974
0.0,0.5628392696380615,0.12255390733480453,24,0,0.9432349801063538,safety_only,20,0.2578417956829071,0.6867612293144207
0.0,0.5416306853294373,0.12229964137077332,25,0,0.9308123588562012,safety_only,20,0.266882061958313,0.6867612293144207
0.0,0.5317960977554321,0.12104691565036774,26,0,0.918949544429779,safety_only,20,0.266106516122818,0.6867612293144207
0.0,0.9459258317947388,0.2661435306072235,0,1,1.6448414325714111,safety_only,20,0.4327720105648041,0.5
0.0,0.93282550573349,0.1766410619020462,1,1,1.4546020030975342,safety_only,20,0.34513548016548157,0.5
0.0,0.9199704527854919,0.20301488041877747,2,1,1.4569898843765259,safety_only,20,0.33400455117225647,0.5425531914893617
0.0,0.8905547261238098,0.21841828525066376,3,1,1.4264352321624756,safety_only,20,0.31746217608451843,0.6779497098646035
0.0,0.8573672771453857,0.19221171736717224,4,1,1.35698664188385,safety_only,20,0.3074076175689697,0.7098646034816247
0.0,0.8263310194015503,0.17055995762348175,5,1,1.3057770729064941,safety_only,20,0.3088860809803009,0.7098646034816247
0.0,0.7992441058158875,0.1722870022058487,6,1,1.2860872745513916,safety_only,20,0.31455615162849426,0.7098646034816247
0.0,0.7762898802757263,0.18622219562530518,7,1,1.2812165021896362,safety_only,20,0.31870442628860474,0.7098646034816247
0.0,0.7583526968955994,0.19177113473415375,8,1,1.273756504058838,safety_only,20,0.3236326575279236,0.7098646034816247
0.0,0.7434085607528687,0.18247507512569427,9,1,1.2568012475967407,safety_only,20,0.330917626619339,0.7098646034816247
0.0,0.7313347458839417,0.16703180968761444,10,1,1.2352222204208374,safety_only,20,0.3368556499481201,0.7098646034816247
0.0,0.7214536070823669,0.15587320923805237,11,1,1.216274380683899,safety_only,20,0.3389475643634796,0.7098646034816247
0.0,0.7150810956954956,0.15377895534038544,12,1,1.203521490097046,safety_only,20,0.33466148376464844,0.7205029013539652
0.0,0.711644172668457,0.15767140686511993,13,1,1.1947076320648193,safety_only,20,0.32539206743240356,0.7311411992263056
0.0,0.7093034982681274,0.1602773666381836,14,1,1.1834436655044556,safety_only,20,0.31386277079582214,0.7311411992263056
0.0,0.7066134214401245,0.1569826751947403,15,1,1.1665382385253906,safety_only,20,0.302942156791687,0.7205029013539652
0.0,0.7045865058898926,0.14944930374622345,16,1,1.1467950344085693,safety_only,20,0.2927591800689697,0.7205029013539652
0.0,0.7032893300056458,0.14323602616786957,17,1,1.130059838294983,safety_only,20,0.2835344672203064,0.7205029013539652
0.0,0.7023922204971313,0.1420689821243286,18,1,1.1198484897613525,safety_only,20,0.27538734674453735,0.7098646034816247
0.0,0.7005418539047241,0.14461103081703186,19,1,1.1142982244491577,safety_only,20,0.26914533972740173,0.688588007736944
0.0,0.6963620185852051,0.1461828649044037,20,1,1.1079373359680176,safety_only,20,0.2653924524784088,0.688588007736944
0.0,0.6906678080558777,0.1435246616601944,21,1,1.0969288349151611,safety_only,20,0.26273638010025024,0.6537717601547389
0.0,0.6827418208122253,0.13769076764583588,22,1,1.0819282531738281,safety_only,20,0.26149559020996094,0.6644100580270793
0.0,0.9553742408752441,0.5433700084686279,0,2,1.88983154296875,safety_only,20,0.39108729362487793,0.493844049247606
0.0,0.9406460523605347,0.23359118402004242,1,2,1.5338284969329834,safety_only,20,0.3595913052558899,0.5
0.0,0.9263858795166016,0.19928868114948273,2,2,1.4652804136276245,safety_only,20,0.33960583806037903,0.5
0.0,0.9103838801383972,0.2721497714519501,3,2,1.5089211463928223,safety_only,20,0.3263874053955078,0.5232558139534884
0.0,0.8908068537712097,0.26176273822784424,4,2,1.4682035446166992,safety_only,20,0.31563395261764526,0.5403556771545828
0.0,0.8673164248466492,0.20956218242645264,5,2,1.3830623626708984,safety_only,20,0.3061838448047638,0.621751025991792
0.0,0.8412374258041382,0.17700080573558807,6,2,1.3199195861816406,safety_only,20,0.3016812801361084,0.6450068399452804
0.0,0.8147546052932739,0.1796899437904358,7,2,1.2994734048843384,safety_only,20,0.30502885580062866,0.6682626538987688
0.0,0.7901700735092163,0.19864346086978912,8,2,1.3014535903930664,safety_only,20,0.312639981508255,0.6682626538987688
0.0,0.7688578367233276,0.21111497282981873,9,2,1.2985024452209473,safety_only,20,0.3185296356678009,0.6566347469220246
0.0,0.7513988614082336,0.20789600908756256,10,2,1.282376766204834,safety_only,20,0.3230818808078766,0.6566347469220246
0.0,0.7391088604927063,0.19223250448703766,11,2,1.2610368728637695,safety_only,20,0.3296954333782196,0.6450068399452804
0.0,0.7282469272613525,0.17349043488502502,12,2,1.2412166595458984,safety_only,20,0.33947935700416565,0.6566347469220246
