method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,8,0,10000,0.2092248999997537,2.0,-50.16543250868601,4.758460750659392,35.5,0.0,0.5,0.5,1.4022493529321793,16.0,16.0,0.15625,0.0,2.3068126760156535,1.0,1.4022493529321791,0.0,0.0,0.08485138825447004,17.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,8,512,10000,1.7862986999998611,2.0,-47.6225152298456,7.301378029499794,34.0,0.0,0.5,0.5,1.331413597964037,16.0,16.0,0.15625,0.0,1.8544250000131262,1.0,1.3314135979640367,0.0,0.0,0.08927862293997894,17.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,8,1024,10000,3.3264686000002257,2.0,-63.979296021696825,9.055402762351434,35.5,0.0,0.4,0.6,1.78471764969744,16.0,16.0,0.125,0.0,1.7419000000123739,1.0,1.7847176496974397,0.0,0.0,0.060947119706641247,17.0
bpce_ppo_order_012,time_pressure,time_pressure,0,8,0,10000,0.14429649999965477,2.0,-50.16543250868601,4.758460750659392,35.5,0.0,0.5,0.5,1.4022493529321793,16.0,16.0,0.15625,0.0,1.5665859155490927,1.0,1.4022493529321791,0.0,0.0,0.08485138825447004,17.0
bpce_ppo_order_012,time_pressure,time_pressure,0,8,512,10000,3.5233236999993096,2.0,-47.6225152298456,7.301378029499794,34.0,0.0,0.5,0.5,1.331413597964037,16.0,16.0,0.15625,0.0,1.6081264706211669,1.0,1.3314135979640367,0.0,0.0,0.08927862293997894,17.0
bpce_ppo_order_012,time_pressure,time_pressure,0,8,1024,10000,6.917177899999842,2.0,-63.979296021696825,9.055402762351434,35.5,0.0,0.4,0.6,1.78471764969744,16.0,16.0,0.125,0.0,1.5567422535984317,1.0,1.7847176496974397,0.0,0.0,0.060947119706641247,17.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,8,0,10000,0.14715049999995244,2.0,-50.16543250868601,4.758460750659392,35.5,0.0,0.5,0.5,1.4022493529321793,16.0,16.0,0.15625,0.0,1.5962830986327519,1.0,1.4022493529321791,0.0,0.0,0.08485138825447004,17.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,8,512,10000,2.7803721999998743,2.0,-47.6225152298456,7.301378029499794,34.0,0.0,0.5,0.5,1.331413597964037,16.0,16.0,0.15625,0.0,1.6954647059238221,1.0,1.3314135979640367,0.0,0.0,0.08927862293997894,17.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,8,1024,10000,4.673498199999813,2.0,-63.979296021696825,9.055402762351434,35.5,0.0,0.4,0.6,1.78471764969744,16.0,16.0,0.125,0.0,1.5869788731949266,1.0,1.7847176496974397,0.0,0.0,0.060947119706641247,17.0
