context_id,policy_seed,resource_type,sub_shot_mean,sub_shot_lower,sub_shot_upper,total_cost_difference_mean,sub_cost_mean,phase
time_pressure_seed8_resource00_e08_t04_u0,8,missile,0.943029040005058,0.852224910003718,1.033833170006398,-0.0472790361382067,1.971514508826658,R1 discovery
time_pressure_seed8_resource01_e06_t04_u1,8,missile,0.90625,0.7225,1.09,0.046875,1.953125,R1 discovery
time_pressure_seed8_resource02_e06_t04_u0,8,missile,1.1229003220796585,0.8354321922203969,1.41036845193892,-0.0614501610398292,2.0614501610398293,R1 discovery
time_pressure_seed8_resource03_e09_t04_u1,8,missile,1.0161906238645315,0.8541473468436558,1.1782339008854072,-0.0080953119322657,2.0080953119322658,R1 discovery
time_pressure_seed8_resource04_e09_t04_u0,8,missile,0.8738515628501773,0.6500255400093315,1.097677585691023,0.0630742185749113,1.9369257814250889,R1 discovery
time_pressure_seed8_resource05_e07_t04_u0,8,missile,0.9582417299970984,0.901308540906896,1.015174919087301,-2.230517566204071e-07,1.979120887350291,R1 discovery
time_pressure_seed9_resource00_e05_t04_u0,9,missile,1.65625,1.00589746687761,2.30660253312239,-0.328125,2.328125,R1 discovery
time_pressure_seed9_resource01_e02_t04_u1,9,missile,1.0000001657754185,1.000000160570959,1.0000001709798776,-2.086162567138672e-07,2.000000082887709,R1 discovery
time_pressure_seed9_resource02_e10_t04_u0,9,missile,0.9598620617762208,0.9035491534416156,1.0161749701108258,-0.0041403421200811,1.9799310308881104,R1 discovery
time_pressure_seed9_resource03_e06_t04_u1,9,missile,0.9063207004219294,0.6804892004957696,1.132152200348089,0.0468395305797457,1.953160350210965,R1 discovery
time_pressure_seed9_resource04_e04_t04_u0,9,missile,0.867169420234859,0.5638310761784062,1.1705077642913118,0.0664151795208454,1.9335847366601229,R1 discovery
time_pressure_seed9_resource05_e11_t04_u0,9,missile,0.8155132289975882,0.6958235882950814,0.9352028697000948,0.0001484109088778,1.907756636850536,R1 discovery
time_pressure_seed10_resource00_e11_t04_u1,10,missile,1.0101244058459995,0.9902805703878402,1.029968241304159,-0.0050622029229998,2.005062202923,R1 discovery
time_pressure_seed10_resource01_e04_t04_u1,10,missile,1.0311194509267807,0.9781253567207348,1.0841135451328263,-0.0155598446726799,2.0155597254633904,R1 discovery
time_pressure_seed10_resource02_e01_t04_u1,10,missile,1.0625,0.7850697559338913,1.3399302440661087,-0.03125,2.03125,R1 discovery
time_pressure_seed10_resource03_e04_t04_u0,10,missile,0.9623147062957288,0.8793950351813054,1.045234377410152,0.0188425322994589,1.981157367117703,R1 discovery
time_pressure_seed10_resource04_e01_t04_u0,10,missile,0.951081708073616,0.609037636087859,1.293125780059373,-0.1107376147992909,1.975540873594582,R1 discovery
time_pressure_seed10_resource05_e09_t04_u1,10,missile,0.78125,0.390294865312259,1.172205134687741,0.109375,1.890625,R1 discovery
