scenario,contexts,rho_sub_mean_aggregate,rho_sub_mean_lower,rho_sub_mean_upper,cost_sign_masked_rate_aggregate
medium,18,0.746783706230215,0.607892481935046,0.8856749305253839,0.6197916666666666
time_pressure,18,0.8728534545128545,0.5948439851607349,1.150862923864974,0.5885416666666666
heterogeneity_pressure,18,0.9717514795894864,0.8929727021480516,1.050530257030921,0.8645833333333334
