resource_type,contexts,sub_shot_mean_aggregate,sub_shot_mean_lower,sub_shot_mean_upper,rho_sub_mean_aggregate,cost_sign_masked_rate_aggregate
missile,9,0.3733797626983788,0.1333640600981194,0.6133954652986382,0.5706018599578075,0.5173611111111112
laser,9,0.7260679305634565,0.4973572552387299,0.9547786058881832,1.1751050490679011,0.6597222222222222
