engagement_absolute_loss,engagement_centered_loss,epoch,target_absolute_loss,target_centered_loss,target_pairwise_loss,total_loss,train_seed,validation_engagement_absolute_mae,validation_engagement_centered_mae,validation_score,validation_target_absolute_mae,validation_target_centered_mae
1.0070284605026245,0.043963465839624405,0,0.9734411239624023,0.03559096157550812,0.1002584919333458,2.1101531982421875,14,0.834295171027483,0.34940274627376383,2.1292509036116196,0.8272771610932376,0.11827582521713526
1.056918978691101,0.127167746424675,1,0.9088691473007202,0.03492328152060509,0.09777180850505829,2.176764965057373,14,0.7869291921465629,0.22349599802659365,2.0042551941226896,0.8774436362459387,0.11638636770359448
0.9462945461273193,0.042939331382513046,2,0.9159854650497437,0.03480026498436928,0.09667211025953293,1.9883556365966797,14,0.7721856618627515,0.2165906782711742,1.933720864193849,0.8299659858050423,0.11497853825488086
0.9252992868423462,0.04978952556848526,3,0.8219200372695923,0.03459338843822479,0.09557370841503143,1.8793890476226807,14,0.7770702547792219,0.2621758127652534,2.007821603893607,0.8547368647594706,0.11383867158966084
0.9170843362808228,0.07181459665298462,4,0.8344747424125671,0.03444639593362808,0.09452805668115616,1.9050841331481934,14,0.7723270112249772,0.2379562011271532,1.9632192576784728,0.8398644836685967,0.11307156165774587
0.8723735809326172,0.057864125818014145,5,0.7524503469467163,0.03448592871427536,0.09391150623559952,1.7641297578811646,14,0.7694056517775494,0.19447347733660905,1.9142275068343357,0.8378105417476956,0.11253783597248168
0.8206038475036621,0.03766600042581558,6,0.7350218296051025,0.03457077965140343,0.09330355376005173,1.6745142936706543,14,0.7774714781128553,0.2014936195075492,1.9300722760891391,0.8389677835989671,0.11213939486976762
0.7828801274299622,0.032921791076660156,7,0.7083601951599121,0.034441713243722916,0.09212049096822739,1.6046640872955322,14,0.7853793376558328,0.2251775774819183,1.968181971970647,0.8455785742702582,0.11204648256263759
0.7561792731285095,0.04088771715760231,8,0.6436324715614319,0.03421112522482872,0.09063815325498581,1.5202295780181885,14,0.7898749542955378,0.2367400637007146,2.0092014884041407,0.869715237462028,0.11287123294586057
0.7254399657249451,0.046306636184453964,9,0.639135479927063,0.03400181233882904,0.08906885981559753,1.4894182682037354,14,0.7889190396215382,0.22888216962504151,2.0010246355093795,0.8686233598038506,0.11460006645894902
0.6848357319831848,0.04263114929199219,10,0.5968619585037231,0.03386792540550232,0.08754504472017288,1.401969313621521,14,0.7865215939009753,0.21305068411293543,1.9717761196887622,0.8548305094861838,0.11737333218866773
0.6405100226402283,0.035104941576719284,11,0.5552124977111816,0.0337422750890255,0.08593215048313141,1.3075357675552368,14,0.7872077011456773,0.19534443363081777,1.9576948058504964,0.8545775136331286,0.12056515744087275
0.6000239849090576,0.0306231752038002,12,0.5533060431480408,0.033613309264183044,0.0842384323477745,1.259685754776001,14,0.7908415881369578,0.18935075784383074,1.9678554855271422,0.863745843400679,0.1239172961456748
0.5665687918663025,0.03132113814353943,13,0.5026524662971497,0.03366626799106598,0.08293212950229645,1.1756746768951416,14,0.7960669765770586,0.19521077976020781,2.0031114484717114,0.8832363126568065,0.12859737947763855
0.5384509563446045,0.03456598147749901,14,0.49908968806266785,0.03389897570014,0.08197153359651566,1.1469913721084595,14,0.8045498873490592,0.19994310499904838,2.0183188464120643,0.8809845689539314,0.13284128511002521
0.5120400786399841,0.03642015904188156,15,0.4684745669364929,0.034021470695734024,0.08080771565437317,1.091360092163086,14,0.8106439788817297,0.19773211185014386,2.0191735820588335,0.8745342246528914,0.13626326667406846
0.4863767623901367,0.03506173565983772,16,0.4480290710926056,0.033945709466934204,0.07937857508659363,1.043102502822876,14,0.8104638217804803,0.19070308800560948,2.017042976360213,0.876422098500469,0.13945396807365407
0.46258971095085144,0.031696971505880356,17,0.4368164837360382,0.033939946442842484,0.07834633439779282,1.0042163133621216,14,0.8091646619538285,0.18856317545146728,2.0302306298670434,0.8898850543987886,0.14261773806295877
0.44294002652168274,0.028899535536766052,18,0.40557488799095154,0.03412693366408348,0.07798134535551071,0.950532078742981,14,0.8113244098647804,0.19404594361609984,2.05688193558945,0.9074889609890607,0.14402262111950884
0.428191214799881,0.028266023844480515,19,0.4022277593612671,0.033987417817115784,0.0773816928267479,0.9313632249832153,14,0.8090728079390772,0.20164899737609146,2.0430538063994232,0.8888436695892991,0.14348833149495527
0.4170058071613312,0.029508406296372414,20,0.3693988025188446,0.03332771360874176,0.07612687349319458,0.8873041868209839,14,0.8050601327771624,0.20725614705945508,2.039183529655793,0.8842924882915179,0.1425747615276576
0.40682458877563477,0.030876165255904198,21,0.36782342195510864,0.032650984823703766,0.07520294189453125,0.8757766485214233,14,0.8007654814823869,0.20767440135452317,2.04959192554613,0.8991801414927397,0.14197190121648037
0.39526405930519104,0.030691709369421005,22,0.33586645126342773,0.03227391466498375,0.07512995600700378,0.8316611051559448,14,0.7891466472666495,0.20344874993896606,2.045984906388988,0.9129855720180139,0.14040393716535857
0.3815537393093109,0.02896822988986969,23,0.33316996693611145,0.03179483115673065,0.0750277116894722,0.8130006194114685,14,0.7832092166378908,0.19700043780562115,2.00699921325342,0.88928334368197,0.13750621512793795
0.36696651577949524,0.026918666437268257,24,0.3078479468822479,0.031119616702198982,0.07450670748949051,0.7701060771942139,14,0.7734526979225923,0.19277620545547683,1.9847785557068134,0.8828552254208597,0.13569442690788452
0.3528274893760681,0.02598876878619194,25,0.3030274212360382,0.030656397342681885,0.0743105560541153,0.7496553659439087,14,0.7622992159559123,0.1901586195950655,1.9865224975850622,0.8983051285334972,0.13575953350058714
0.339638888835907,0.026403160765767097,26,0.28789013624191284,0.030409246683120728,0.07436126470565796,0.7215220928192139,14,0.7533823867572851,0.1901990335768419,1.9707581755901171,0.8917356707386518,0.13544108451733852
0.32671353220939636,0.027156254276633263,27,0.27673959732055664,0.029983850196003914,0.07373753190040588,0.6974620223045349,14,0.7411284097687889,0.19040257261019275,1.9342412119875312,0.8674104197216034,0.13529980988694618
0.3132343590259552,0.02695993334054947,28,0.2753574848175049,0.029453104361891747,0.07257051020860672,0.6812901496887207,14,0.7338997134088575,0.19063976656452314,1.9287991927111978,0.8684372763082121,0.13582243642960506
0.29934051632881165,0.025739636272192,29,0.25721320509910583,0.029067212715744972,0.07146110385656357,0.6470911502838135,14,0.7170645699422366,0.19383046767437984,1.9282339144871936,0.8808997849974902,0.13643909187308687
0.2867323160171509,0.024452125653624535,30,0.26012471318244934,0.02871144376695156,0.07018190622329712,0.6351115703582764,14,0.7214622373330053,0.19697630607592054,1.902689118841871,0.8471193912172832,0.13713118421566223
0.2771478295326233,0.024231284856796265,31,0.24686883389949799,0.02831597812473774,0.06864048540592194,0.6108841896057129,14,0.7041041856736004,0.20034994365287365,1.885999707586384,0.8436851400239874,0.13786043823592242
0.2694658041000366,0.02490302361547947,32,0.23734277486801147,0.028101975098252296,0.06744522601366043,0.5935361981391907,14,0.7080237629620472,0.20113966770224054,1.905933524321208,0.8582534129643913,0.13851668069252912
0.25939100980758667,0.02471877448260784,33,0.23700109124183655,0.02801808901131153,0.06657316535711288,0.5824155211448669,14,0.7022153258146111,0.19956483700730024,1.8808842179307346,0.8395843299755534,0.13951972513326982
0.24677777290344238,0.02387906052172184,34,0.2214547097682953,0.02785661071538925,0.06563302874565125,0.5527846813201904,14,0.7047948744101645,0.19739525902129157,1.8837815344273454,0.8414980953159427,0.14009330567994654
0.23909398913383484,0.02290862798690796,35,0.21397100389003754,0.02776607871055603,0.06499006599187851,0.5362347364425659,14,0.7002624382465501,0.19468836780502222,1.8946086498108936,0.859016379818261,0.1406414639410603
0.23369883000850677,0.022891072556376457,36,0.21302852034568787,0.027721120044589043,0.06458531320095062,0.5296322107315063,14,0.7094711835653699,0.19448258699655602,1.898409590415178,0.8521584840042629,0.14229733584898932
0.2251187115907669,0.02313128486275673,37,0.20113243162631989,0.027596769854426384,0.0640471950173378,0.5090028047561646,14,0.7129644916685908,0.19518748597557456,1.9148611125260806,0.8635084399047289,0.14320069497718638
0.2164040058851242,0.022851943969726562,38,0.19205492734909058,0.027537072077393532,0.06369639933109283,0.49069613218307495,14,0.7172339915524603,0.19646376990188638,1.9357115387528718,0.8782685882321201,0.14374518906640507
0.21068592369556427,0.0219854898750782,39,0.19238518178462982,0.027500450611114502,0.06338740885257721,0.4842507541179657,14,0.7423546912276244,0.19934773414626106,1.9810137343141672,0.8943512385472874,0.14496007039299436
0.20476137101650238,0.021539419889450073,40,0.18864154815673828,0.027435922995209694,0.06292286515235901,0.4738397002220154,14,0.739398823678785,0.20226523034045604,1.9880243177447756,0.9012230779050872,0.14513718582044743
0.19728976488113403,0.021653342992067337,41,0.1786547303199768,0.027412693947553635,0.0626036748290062,0.456312358379364,14,0.7577087569934624,0.20367395746999145,2.0177554456514377,0.9106902692662366,0.14568246192174716
0.1904430091381073,0.021584557369351387,42,0.17320500314235687,0.027369869872927666,0.06223103031516075,0.44371795654296875,14,0.7835800149478952,0.20252349589263052,2.0548502981364964,0.9224163513228875,0.14633043597308323
0.18552044034004211,0.02094024419784546,43,0.17389531433582306,0.02730764076113701,0.061878304928541183,0.4386028051376343,14,0.7770693112748408,0.20076816747721202,2.0485921954333675,0.9246356732440795,0.14611904343723497
0.18158406019210815,0.020479606464505196,44,0.17348678410053253,0.027252577245235443,0.061721593141555786,0.43366381525993347,14,0.8210652263601081,0.20114693714776027,2.1094810525785723,0.9404735534728939,0.14679533559780975
0.17700278759002686,0.020489223301410675,45,0.16811995208263397,0.027124620974063873,0.061473548412323,0.4234733581542969,14,0.8115892473004119,0.2017516418380061,2.0950683089664217,0.9352626913053248,0.14646472852267914
0.17095820605754852,0.020466595888137817,46,0.1608639359474182,0.026996873319149017,0.0614052414894104,0.4099882245063782,14,0.8391842910237979,0.20312439827110298,2.1304834742141137,0.9416998899344835,0.14647489498472915
0.16495881974697113,0.019808612763881683,47,0.15682415664196014,0.026825858280062675,0.06127026677131653,0.39905256032943726,14,0.8491437926816298,0.2057517782946397,2.1579290645238096,0.9564553461893888,0.14657814735815125
0.16037459671497345,0.01955426298081875,48,0.15646299719810486,0.02663596160709858,0.06107092276215553,0.39356327056884766,14,0.8489944164586027,0.20767572628714598,2.148580617797757,0.9460736298241128,0.14583684522789536
