count,engage_probability_mean,engage_probability_positive_rate,engage_probability_std,eval_scenario,joint_advantage_mean,joint_advantage_positive_rate,joint_advantage_std,method,selected_engage,td_error_mean,td_error_positive_rate,td_error_std,train_seed,value_bias_mean,value_bias_positive_rate,value_bias_std
617,0.09692367073299432,0.35170178282009723,0.13269454524417795,medium,8.08164639341786,0.7309562398703403,11.558003125943657,factorized_engagement_ar_ppo_order_012,0,0.18291511362019774,0.22204213938411668,3.0414071383708348,8,-8.08164639341786,0.26904376012965964,11.558003125943657
70,0.2791334443858692,1.0,0.030579976752942297,medium,8.828191651608666,0.8428571428571429,10.01554169344613,factorized_engagement_ar_ppo_order_012,1,2.1753246722038213,0.3142857142857143,6.629126557466362,8,-8.828191651608666,0.15714285714285714,10.01554169344613
381,0.11098882935335004,0.4068241469816273,0.13474660846740008,time_pressure,-12.173608449731274,0.3858267716535433,30.225292225815732,factorized_engagement_ar_ppo_order_012,0,-0.5339478063559479,0.3884514435695538,6.535533626213209,8,12.173608449731274,0.6141732283464567,30.225292225815732
69,0.27460262481717096,1.0,0.02204556903410971,time_pressure,-11.255012168676089,0.391304347826087,31.18086942084256,factorized_engagement_ar_ppo_order_012,1,0.01801203381627782,0.2028985507246377,7.636958947812182,8,11.255012168676089,0.6086956521739131,31.18086942084256
65,0.2744163581958184,1.0,0.026392381724128864,heterogeneity_pressure,18.941065008736274,1.0,12.157562329633482,factorized_engagement_ar_ppo_order_012,1,1.8705570535368714,0.3076923076923077,6.957726130566295,8,-18.941065008736274,0.0,12.157562329633482
586,0.0813411659348133,0.2935153583617747,0.12713964469852052,heterogeneity_pressure,17.94941834517038,1.0,10.489216777288469,factorized_engagement_ar_ppo_order_012,0,0.5881393982450273,0.5034129692832765,3.784898789337576,8,-17.94941834517038,0.0,10.489216777288469
80,0.5977266550064086,1.0,0.029315864213736317,medium,5.446578090526744,0.675,18.76749573349164,factorized_engagement_ar_ppo_order_012,1,0.6189709999012788,0.1875,5.428199468254464,10,-5.446578090526744,0.325,18.76749573349164
649,0.05078887663930884,0.0847457627118644,0.16713918131900443,medium,6.84463868914101,0.74884437596302,18.85902654811917,factorized_engagement_ar_ppo_order_012,0,0.2253006411016182,0.4206471494607088,4.233654996013745,10,-6.84463868914101,0.25115562403698,18.85902654811917
78,0.5972617681209857,1.0,0.03344280711489405,time_pressure,-6.15384092807138,0.3717948717948718,34.61946368794013,factorized_engagement_ar_ppo_order_012,1,0.7843826884401125,0.20512820512820512,7.167003557288396,10,6.15384092807138,0.6282051282051282,34.61946368794013
378,0.059506389672163304,0.10052910052910052,0.1782572606607993,time_pressure,-8.820172199659929,0.24867724867724866,34.00821299960106,factorized_engagement_ar_ppo_order_012,0,-0.5081324647537826,0.3306878306878307,6.868093110214139,10,8.820172199659929,0.7513227513227513,34.00821299960106
74,0.5987707336206693,1.0,0.03050489270817228,heterogeneity_pressure,3.660090079304562,0.6081081081081081,20.0929980307508,factorized_engagement_ar_ppo_order_012,1,0.8833060539899547,0.22972972972972974,5.020584359499649,10,-3.660090079304562,0.3918918918918919,20.0929980307508
601,0.040497658752562005,0.06821963394342762,0.14988171630132183,heterogeneity_pressure,3.3453939374229957,0.64891846921797,17.893756405850255,factorized_engagement_ar_ppo_order_012,0,0.13692718325312872,0.6156405990016639,4.056435547829988,10,-3.3453939374229957,0.35108153078202997,17.893756405850255
