counterfactual_baseline,engage_probability,engagement_advantage,eval_scenario,joint_value_advantage_proxy,method,observed_action,q_engage,q_noop,state_id,target_advantage,total_counterfactual_advantage,train_seed,unit_index
-22.89603821960666,0.5683022141456604,0.4161433052625334,time_pressure,8.579637251183218,factorized_engagement_ar_ppo_order_012,3,-22.479894914344126,-23.44386396607085,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,0.0,0.4161433052625334,10,0
-23.873673017401927,0.5598514676094055,1.3937781030578016,time_pressure,8.579637251183218,factorized_engagement_ar_ppo_order_012,0,-22.479894914344126,-25.646503457800407,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,0.0,1.3937781030578016,10,1
-22.479894914344126,0.0,0.0,time_pressure,8.579637251183218,factorized_engagement_ar_ppo_order_012,5,-22.479894914344126,-22.479894914344126,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step0,0.0,0.0,10,2
-29.161588413721184,0.0,0.0,time_pressure,2.529810206884285,factorized_engagement_ar_ppo_order_012,5,-29.161588413721184,-29.161588413721184,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step1,0.0,0.0,10,0
-29.161588413721184,0.0,0.0,time_pressure,2.529810206884285,factorized_engagement_ar_ppo_order_012,5,-29.161588413721184,-29.161588413721184,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step1,0.0,0.0,10,1
-29.161588413721184,0.0,0.0,time_pressure,2.529810206884285,factorized_engagement_ar_ppo_order_012,5,-29.161588413721184,-29.161588413721184,factorized_engagement_ar_ppo_order_012/seed10/time_pressure/episode0/step1,0.0,0.0,10,2
-33.7256059005826,0.5687229633331299,0.3616869107284728,heterogeneity_pressure,1.4617264569232162,factorized_engagement_ar_ppo_order_012,1,-33.36391898985413,-34.20256069803264,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,0.0,0.3616869107284728,10,0
-33.36391898985413,0.0,0.0,heterogeneity_pressure,1.4617264569232162,factorized_engagement_ar_ppo_order_012,5,-33.36391898985413,-33.36391898985413,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,0.0,0.0,10,1
-33.36391898985413,0.0,0.0,heterogeneity_pressure,1.4617264569232162,factorized_engagement_ar_ppo_order_012,5,-33.36391898985413,-33.36391898985413,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step0,0.0,0.0,10,2
-35.39932830124019,0.0,0.0,heterogeneity_pressure,-0.3789845207226108,factorized_engagement_ar_ppo_order_012,5,-35.39932830124019,-35.39932830124019,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step1,0.0,0.0,10,0
-35.39932830124019,0.0,0.0,heterogeneity_pressure,-0.3789845207226108,factorized_engagement_ar_ppo_order_012,5,-35.39932830124019,-35.39932830124019,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step1,0.0,0.0,10,1
-35.39932830124019,0.0,0.0,heterogeneity_pressure,-0.3789845207226108,factorized_engagement_ar_ppo_order_012,5,-35.39932830124019,-35.39932830124019,factorized_engagement_ar_ppo_order_012/seed10/heterogeneity_pressure/episode0/step1,0.0,0.0,10,2
