candidate_action,candidate_type,critic_error_vs_branch,critic_v,eval_scenario,legal_candidate_count,mc_q_mean,mc_q_std,method,observed_action,one_step_reward_mean,paired_delta_vs_noop_mean,paired_delta_vs_noop_se,paired_delta_vs_noop_std,rollouts,state_id,train_seed,unit_index
5,noop,-7.537098800668868,-31.270278930664062,time_pressure,1,-23.733180129995194,17.63479149387371,factorized_engagement_ar_ppo_order_012,5,2.7104369466218348,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,8,2
5,noop,-2.85123778069849,-30.55337142944336,time_pressure,4,-27.70213364874487,17.0223085059434,factorized_engagement_ar_ppo_order_012,3,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,8,0
0,target,1.9978727146881,-30.55337142944336,time_pressure,4,-32.55124414413146,21.544364065156692,factorized_engagement_ar_ppo_order_012,3,-1.0497495794063834,-4.84911049538659,6.080250733498073,24.321002933992293,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,8,0
1,target,4.558481738081923,-30.55337142944336,time_pressure,4,-35.11185316752528,20.77700170959405,factorized_engagement_ar_ppo_order_012,3,-1.8619932307706781,-7.4097195187804115,5.664957244140499,22.659828976561997,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,8,0
3,target,3.497505472493586,-30.55337142944336,time_pressure,4,-34.050876901936945,21.73878246475289,factorized_engagement_ar_ppo_order_012,3,-1.1379126106756332,-6.3487432531920795,5.722643906926563,22.89057562770625,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,8,0
5,noop,3.497505472493586,-30.55337142944336,time_pressure,1,-34.050876901936945,21.73878246475289,factorized_engagement_ar_ppo_order_012,5,-1.1379126106756332,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,8,1
5,noop,3.497505472493586,-30.55337142944336,time_pressure,1,-34.050876901936945,21.73878246475289,factorized_engagement_ar_ppo_order_012,5,-1.1379126106756332,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,8,2
5,noop,-14.372852678452414,-46.363067626953125,heterogeneity_pressure,2,-31.99021494850071,14.912779639273875,factorized_engagement_ar_ppo_order_012,1,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,8,0
1,target,-12.840744535846717,-46.363067626953125,heterogeneity_pressure,2,-33.52232309110641,15.326741516657796,factorized_engagement_ar_ppo_order_012,1,-2.439107723456617,-1.5321081426056953,1.7513885831390716,7.005554332556287,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,8,0
5,noop,-12.840744535846717,-46.363067626953125,heterogeneity_pressure,1,-33.52232309110641,15.326741516657796,factorized_engagement_ar_ppo_order_012,5,-2.439107723456617,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,8,1
5,noop,-12.840744535846717,-46.363067626953125,heterogeneity_pressure,1,-33.52232309110641,15.326741516657796,factorized_engagement_ar_ppo_order_012,5,-2.439107723456617,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,8,2
5,noop,-7.505465205592955,-46.588623046875,heterogeneity_pressure,1,-39.083157841282045,9.508112805238353,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step1,8,0
