context_id,scenario,policy_seed,repeat,a_total_return_delta,a_zone_damage_delta,a_high_threat_leaks_delta,a_resource_cost_delta,b_total_return_delta,b_zone_damage_delta,b_high_threat_leaks_delta,b_resource_cost_delta,c_total_return_delta,c_zone_damage_delta,c_high_threat_leaks_delta,c_resource_cost_delta
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,29,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,30,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,31,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,0,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,1,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,2,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,3,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,4,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,6,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,7,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,8,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,9,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,10,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,11,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,12,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,13,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,14,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,15,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,16,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,17,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,18,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,19,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,20,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,21,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,22,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,23,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,24,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,25,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,26,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,27,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,28,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,29,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,30,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,31,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5,49.753998028700856,-0.6378254951314997,-1.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,0,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,1,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,2,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,3,-0.5,0.0,0.0,0.5,0.09965211750113667,0.0,0.0,0.0002899020823865506,0.09965211750113667,0.0,0.0,0.0002899020823865506
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,4,-0.5,0.0,0.0,0.5,-0.20017394124943166,0.0,0.0,0.2501449510411933,-0.20017394124943166,0.0,0.0,0.2501449510411933
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,6,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,7,27.41975398837954,-0.7765426889746601,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5,13.467970989010723,-0.3884964658299259,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,8,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,9,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
