context_id,scenario,policy_seed,slot,episode_index,environment_seed,environment_step,unit_index,prefix_actions,original_action,observation_hash,engage_probability,engagement_margin,legal_target_count,legal_targets,target_probabilities,argmax_target,safety_score,resource_score,extra_transitions,a_mean,a_standard_error,a_ci_lower,a_ci_upper,a_sign,a_reliable,a_zone_damage_mean,a_high_threat_leaks_mean,a_resource_cost_mean,b_mean,b_standard_error,b_ci_lower,b_ci_upper,b_sign,b_reliable,b_zone_damage_mean,b_high_threat_leaks_mean,b_resource_cost_mean,c_mean,c_standard_error,c_ci_lower,c_ci_upper,c_sign,c_reliable,c_zone_damage_mean,c_high_threat_leaks_mean,c_resource_cost_mean,argmax_target_regret,a_b_sign_consistent,b_c_sign_consistent,target_selection_sign_reversal
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,6,886997740,29,2,"5,5","5,5,4",446b3bb796a8dc44e259e6d767c219d3688573c91be48d255fdc0f9945fc9c9a,0.520641565322876,0.08261321512188236,1,4,1,4,1.1943866180553866,1.15,128,9.603302647856355,3.777405118787855,2.199588615032159,17.00701668068055,1,True,-0.15050705921507956,0.0,0.5,9.603302647856355,3.777405118787855,2.199588615032159,17.00701668068055,1,True,-0.15050705921507956,0.0,0.5,9.603302647856355,3.777405118787855,2.199588615032159,17.00701668068055,1,True,-0.15050705921507956,0.0,0.5,0.0,True,True,False
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,safety,1,886997735,23,2,"5,5","5,5,3",3ce48ea586327bc403459f1a1cb74e617a50ff5c0a0c231b9df7102779e0ec6b,0.5216169953346252,0.08652191652145069,1,3,1,3,0.9382964362458586,1.15,128,12.063499507175214,3.90832263171306,4.403187149017616,19.723811865332813,1,True,-0.15945637378287492,-0.25,0.5,12.063499507175214,3.90832263171306,4.403187149017616,19.723811865332813,1,True,-0.15945637378287492,-0.25,0.5,12.063499507175214,3.90832263171306,4.403187149017616,19.723811865332813,1,True,-0.15945637378287492,-0.25,0.5,0.0,True,True,False
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,1,886997735,21,2,"5,5","5,5,4",465b1b5bc714d8dc3f97855195dffb7499a28ce79c9f80982bdbf5eb06e21557,0.519978940486908,0.0799583347666154,2,"3,4","0.49971011281,0.500289916992",4,0.9153780723813643,0.95,541,13.784915433505468,3.7795453836808717,6.37700648149096,21.192824385519977,1,True,-0.2669365493350394,0.0,0.5,7.106550825951976,1.9762936588731645,3.233015254560573,10.980086397343378,1,True,-0.14350590514861553,-0.01561594055992542,0.445344208040261,6.309231913388322,1.8007814834755147,2.779700205776313,9.83876362100033,1,True,-0.14350590514861555,-0.01561594055992542,0.4609601486001864,0.0,True,True,False
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,6,886997740,28,2,"5,5","5,5,4",a0121563ae86c7b2a04652d59580b8e00feccbe4e77b449b483c8a11480075b3,0.5204390287399292,0.08180169925240033,1,4,1,4,0.4800680042693868,1.05,240,13.121070197141805,4.237317547490484,4.815927804060456,21.42621259022315,1,True,-0.20067607895343942,0.0,0.375,13.121070197141805,4.237317547490484,4.815927804060456,21.42621259022315,1,True,-0.20067607895343942,0.0,0.375,13.058570197141805,4.217934452344309,4.791418670546959,21.32572172373665,1,True,-0.20067607895343942,0.0,0.4375,0.0,True,True,False
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,1,886997735,20,2,"5,5","5,5,4",51a9ec05cc7ca32d70507ccad7efd0649462d1b2bf99ebbbb356f5f6ca4ceb7d,0.5197485685348511,0.07903539028177542,2,"3,4","0.49970933795,0.500290632248",4,0.4201320494203024,0.85,715,6.342891311218065,2.9613352915348283,0.5386741398098023,12.14710848262633,1,True,-0.1655338009056081,-0.03125,0.46875,4.562512339325623,1.77126157680021,1.090839648797211,8.034185029854035,1,True,-0.11269570288765324,-0.06248183455264075,0.429710206809199,5.386621934018617,1.5771491097997359,2.2954096788111347,8.4778341892261,1,True,-0.13696518177799394,-0.062463669105281505,0.4765761240855194,0.0,True,True,False
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,1,886997735,22,2,"5,5","5,5,3",db252c44e0e480e9308525f615c910b04b1c554e8c4b35128bb6a8b3fc654b2e,0.5213969349861145,0.0856400434731388,1,3,1,3,0.3797101341681353,1.05,242,7.483437191984509,3.313559166754176,0.9888612251463238,13.978013158822694,1,True,-0.09966023361429682,-0.15625,0.390625,7.483437191984509,3.313559166754176,0.9888612251463238,13.978013158822694,1,True,-0.09966023361429682,-0.15625,0.390625,10.561812068778313,3.754681198690287,3.20263691934535,17.920987218211273,1,True,-0.13952432706001555,-0.21875,0.453125,0.0,True,True,False
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,8,886997742,4,0,,"2,4,5",34bf44f63ee7af1d97110cc10e8e295469bcc808a897ae5db833430af8004ff1,0.5039797425270081,0.015919306294450708,4,"0,1,2,4","0.242623955011,0.243662342429,0.257118195295,0.256595522165",2,0.05231046893078047,2.666666666666667,8539,4.375641041306142,5.038978450188481,-5.500756721063281,14.252038803675566,1,False,-0.09026182603659332,-0.03125,0.0,0.8087073769997122,4.107522023832041,-7.242035789711086,8.85945054371051,1,False,-0.026726102367366767,0.06794728935960993,0.0,6.28599132209705,3.804334188852588,-1.1705036880540227,13.742486332248122,1,False,-0.11341707240121962,-0.009312328278089615,-0.04727916186073172,0.0,True,True,False
time_pressure_seed8_resource01_e06_t04_u1,time_pressure,8,resource,6,886997740,4,1,0,"0,3,5",ba563a2c980d0aa7737620130d6c197ebe6a7b3fc6d671b55be7221319435fcf,0.5046190619468689,0.018476773420117443,1,3,1,3,0.016554363843996903,2.666666666666667,3638,-6.2090597783511745,3.6003925147494416,-13.26582910726008,0.847709550557731,-1,False,0.1158488586793495,0.03125,0.046875,-6.2090597783511745,3.6003925147494416,-13.26582910726008,0.847709550557731,-1,False,0.1158488586793495,0.03125,0.046875,-2.3594211054448957,1.7939973397432047,-5.875655891341577,1.1568136804517857,-1,False,0.039847584951048134,0.0,0.046875,0.0,True,True,False
time_pressure_seed8_resource02_e06_t04_u0,time_pressure,8,resource,6,886997740,4,0,,"0,3,5",ba563a2c980d0aa7737620130d6c197ebe6a7b3fc6d671b55be7221319435fcf,0.5050032138824463,0.020013523522962928,2,"0,3","0.505599141121,0.494400858879",0,0.02310850169517321,2.666666666666667,5467,-3.923693909565485,2.349750221085881,-8.529204342893811,0.681816523762842,-1,False,0.0973918874236864,0.0625,0.015625,0.2214566675580295,1.6290033067540173,-2.9713898136798442,3.4143031487959035,1,False,0.01494282040916034,0.031599946320056915,-0.04617510735988617,2.2702060612212764,1.6077952948111829,-0.8810727166086418,5.421484839051194,1,False,-0.04470865092582513,-0.015450026839971542,-0.061450161039829254,8.384189676614724,False,True,False
time_pressure_seed8_resource03_e09_t04_u1,time_pressure,8,resource,9,886997743,4,1,2,"2,0,5",2c31752ab74d6207d9087d25d1118ec03be717581cbbb464c4103bf106153036,0.5050370693206787,0.020148958928820182,2,"0,1","0.502585709095,0.497414290905",0,0.034626073893407744,2.666666666666667,4893,8.868843631169174,5.083551055131502,-1.0949164368885693,18.832603699226915,1,False,-0.21082140100395444,-0.03125,0.03125,4.231406400257961,3.770614770765416,-3.158998550442255,11.621811350958176,1,False,-0.11158183480460998,-0.04679419659078121,0.05456629488617182,2.264849441295167,3.4379058647818668,-4.473446053677291,9.003144936267626,1,False,-0.047046355055869606,-0.015705803409218788,-0.008095311932265759,0.0,True,True,False
