context_id,scenario,policy_seed,slot,unit_index,target_index,conditional_probability,is_argmax_target,det_total_return_mean,stochastic_total_return_mean,det_delta_mean,stochastic_delta_mean
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,2,4,1.0,True,-14.577826826556377,-14.577826826556377,9.603302647856355,9.603302647856355
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,safety,2,3,1.0,True,-7.171265346769777,-7.171265346769777,12.063499507175214,12.063499507175214
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,2,3,0.4997101128101349,False,-29.80067163204057,-34.170171262421974,0.4204374383969022,0.3891874383969022
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,2,4,0.5002899169921875,True,-16.436193636932003,-22.336943267313416,13.784915433505468,12.222415433505468
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,2,4,1.0,True,-6.608407953342751,-8.120416727985477,13.121070197141805,13.058570197141805
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,2,3,0.4997093379497528,False,-26.673787515860855,-31.988756764408297,2.7800623151907056,3.5098747535876074
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,2,4,0.5002906322479248,True,-23.1109585198335,-28.237443020901022,6.342891311218065,7.261188497094883
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,2,3,1.0,True,3.3530467220085334,-4.217890469975975,7.483437191984509,10.561812068778313
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,0,0,0.2426239550113678,False,-88.18301197786698,-49.5811050575808,0.09847938275871271,6.764548760486482
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,0,1,0.24366234242916107,False,-90.73247186845717,-53.732480854289996,-2.450980507831453,2.6131729637772954
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,0,2,0.25711819529533386,True,-83.90585031931957,-49.21542906685501,4.375641041306142,7.1302247512122845
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,0,4,0.25659552216529846,False,-87.28003719051573,-47.87041832810481,1.0014541701099773,8.475235489962472
time_pressure_seed8_resource01_e06_t04_u1,time_pressure,8,resource,1,3,1.0,True,-47.642172396221845,-32.309057910673225,-6.2090597783511745,-2.3594211054448957
time_pressure_seed8_resource02_e06_t04_u0,time_pressure,8,resource,0,0,0.5055991411209106,True,-47.36820095238129,-30.680862665701046,-3.923693909565485,-0.6442873308021718
time_pressure_seed8_resource02_e06_t04_u0,time_pressure,8,resource,0,3,0.49440085887908936,False,-38.98401127576656,-24.78586200038825,4.460495767049241,5.250713334510621
time_pressure_seed8_resource03_e09_t04_u1,time_pressure,8,resource,1,0,0.5025857090950012,True,-42.57147711441951,-34.01042492197063,8.868843631169174,6.793649379796496
time_pressure_seed8_resource03_e09_t04_u1,time_pressure,8,resource,1,1,0.4974142909049988,False,-51.89456516336526,-43.11510892745346,-0.4542444177765659,-2.3110346256863394
time_pressure_seed8_resource04_e09_t04_u0,time_pressure,8,resource,0,0,0.32655763626098633,False,-39.53125812890189,-36.23158302945072,4.528778345348899,1.1793821004296836
time_pressure_seed8_resource04_e09_t04_u0,time_pressure,8,resource,0,1,0.3226534426212311,False,-51.30494295447697,-45.03692386950818,-7.244906480226177,-7.625958739627773
time_pressure_seed8_resource04_e09_t04_u0,time_pressure,8,resource,0,2,0.3507889211177826,True,-35.449300209366356,-41.39862935228044,8.610736264884432,-3.9876642224000345
time_pressure_seed8_resource05_e07_t04_u0,time_pressure,8,resource,0,1,0.33661022782325745,True,-81.39626903588105,-48.46213636242838,-10.873988133307073,3.2172245200672607
time_pressure_seed8_resource05_e07_t04_u0,time_pressure,8,resource,0,2,0.33152538537979126,False,-59.38167926436095,-45.97562000574144,11.140601638213042,5.7037408767542015
time_pressure_seed8_resource05_e07_t04_u0,time_pressure,8,resource,0,3,0.3318643569946289,False,-75.23302760431042,-57.576733707244145,-4.710746701736441,-5.8973728247484996
time_pressure_seed9_safety00_e01_t30_u2,time_pressure,9,safety,2,3,1.0,True,-17.72806204653768,-17.72806204653768,-6.503223587966132,-8.125123234957666
time_pressure_seed9_safety01_e01_t29_u2,time_pressure,9,safety,2,3,1.0,True,-16.67803739954615,-15.043637752554613,-3.2812992939830665,-6.621973587966134
time_pressure_seed9_safety02_e07_t16_u2,time_pressure,9,safety,2,2,1.0,True,-59.096402445837946,-68.68892966470196,-4.855348245196261,-2.0385458735167536
time_pressure_seed9_safety03_e09_t18_u2,time_pressure,9,safety,2,2,0.4957268536090851,False,-59.63304297173011,-59.63304297173011,3.641115492935691,0.16012376978676435
time_pressure_seed9_safety03_e09_t18_u2,time_pressure,9,safety,2,3,0.5042731761932373,True,-63.2741584646658,-63.2741584646658,0.0,-3.4809917231489265
time_pressure_seed9_safety04_e01_t20_u2,time_pressure,9,safety,2,4,1.0,True,-16.40994303096922,-20.48618501852916,4.064291159608736,1.3565840842598043
time_pressure_seed9_safety05_e08_t13_u2,time_pressure,9,safety,2,0,0.33723992109298706,False,-95.92183517832324,-95.92183517832324,10.645094704015726,8.167740504072174
time_pressure_seed9_safety05_e08_t13_u2,time_pressure,9,safety,2,3,0.3396338224411011,True,-105.93702461427783,-105.93702461427783,0.6299052680611394,-1.847448931882413
time_pressure_seed9_safety05_e08_t13_u2,time_pressure,9,safety,2,4,0.3231261670589447,False,-106.44156550787251,-106.44156550787251,0.12536437446645987,-2.3519898254770926
time_pressure_seed9_resource00_e05_t04_u0,time_pressure,9,resource,0,0,1.0,True,-11.8226363669813,-15.304196210106252,0.9900254150016354,1.6439104783579856
time_pressure_seed9_resource01_e02_t04_u1,time_pressure,9,resource,1,1,0.3316502869129181,False,-91.82604619641324,-73.55859744433326,4.527646358184237,-6.8625559046127815
time_pressure_seed9_resource01_e02_t04_u1,time_pressure,9,resource,1,2,0.3356255888938904,True,-88.1041495175113,-70.57290659199879,8.249543037086191,-3.8768650522783172
time_pressure_seed9_resource01_e02_t04_u1,time_pressure,9,resource,1,4,0.33272409439086914,False,-91.95810168556403,-73.64779831502423,4.395590869033451,-6.951756775303769
time_pressure_seed9_resource02_e10_t04_u0,time_pressure,9,resource,0,0,0.2380697876214981,False,-74.26714539490803,-77.78529559806461,-12.934886856380382,-3.858693833245871
time_pressure_seed9_resource02_e10_t04_u0,time_pressure,9,resource,0,2,0.25148341059684753,False,-62.31087352751422,-68.91873865546235,-0.9786149889865854,5.00786310935638
time_pressure_seed9_resource02_e10_t04_u0,time_pressure,9,resource,0,3,0.2649818956851959,True,-54.92323917347109,-56.309766054454386,6.409019365056549,17.616835710364338
time_pressure_seed9_resource02_e10_t04_u0,time_pressure,9,resource,0,4,0.24546490609645844,False,-71.92714564467248,-68.10420914605828,-10.594887106144844,5.822392618760443
time_pressure_seed9_resource03_e06_t04_u1,time_pressure,9,resource,1,0,0.32837823033332825,False,-82.28404798367558,-48.049189910476414,9.463457515486784,-5.998670264098046
time_pressure_seed9_resource03_e06_t04_u1,time_pressure,9,resource,1,3,0.3386744260787964,True,-88.23385334471638,-51.130726650619906,3.5136521544459924,-9.080207004241535
time_pressure_seed9_resource03_e06_t04_u1,time_pressure,9,resource,1,4,0.332947313785553,False,-79.34596074652781,-39.89967007158208,12.401544752634564,2.1508495747962924
time_pressure_seed9_resource04_e04_t04_u0,time_pressure,9,resource,0,1,0.3326144814491272,False,-61.08869049026966,-44.22278789859929,-8.42232613332537,-5.735323888542909
time_pressure_seed9_resource04_e04_t04_u0,time_pressure,9,resource,0,2,0.3221287131309509,False,-63.399462074921466,-44.23841289859929,-10.733097717977174,-5.75094888854291
time_pressure_seed9_resource04_e04_t04_u0,time_pressure,9,resource,0,3,0.3452567756175995,True,-52.572603804228855,-33.456933039998106,0.09376055271543926,5.03053097005828
time_pressure_seed9_resource05_e11_t04_u0,time_pressure,9,resource,0,0,0.3262713849544525,False,-71.38350330016439,-60.92126766466095,-4.912796508667533,-4.447946917026128
time_pressure_seed9_resource05_e11_t04_u0,time_pressure,9,resource,0,2,0.3357829451560974,False,-70.34954590934038,-56.39517077797677,-3.8788391178435244,0.07814996965804477
time_pressure_seed9_resource05_e11_t04_u0,time_pressure,9,resource,0,3,0.3379456400871277,True,-71.232635330683,-56.74003528278959,-4.761928539186133,-0.26671453515476085
