metric,scope,train_seed,value,variant
target_ranking_count,overall,14,5,no_mask
top_action_accuracy,overall,14,0.0,no_mask
top_action_count,overall,14,1,no_mask
engagement_sign_accuracy,overall,14,0.5,no_mask
engagement_sign_count,overall,14,2,no_mask
ranking_accuracy,heterogeneity_pressure,14,0.25,no_mask
ranking_count,heterogeneity_pressure,14,4,no_mask
ranking_accuracy,medium,14,0.3333333333333333,no_mask
ranking_count,medium,14,3,no_mask
ranking_accuracy,time_pressure,14,0.0,no_mask
ranking_count,time_pressure,14,1,no_mask
q_mae,overall,15,9.890466582415433,no_mask
q_rmse,overall,15,13.255380731812908,no_mask
v_mae,overall,15,17.746656290159144,no_mask
one_step_mae,overall,15,24.616599489436968,no_mask
mae_improvement_vs_v,overall,15,0.4426856292979606,no_mask
ranking_accuracy,overall,15,0.375,no_mask
ranking_count,overall,15,8,no_mask
target_ranking_accuracy,overall,15,0.4,no_mask
target_ranking_count,overall,15,5,no_mask
top_action_accuracy,overall,15,0.0,no_mask
top_action_count,overall,15,1,no_mask
engagement_sign_accuracy,overall,15,0.5,no_mask
engagement_sign_count,overall,15,2,no_mask
ranking_accuracy,heterogeneity_pressure,15,0.25,no_mask
ranking_count,heterogeneity_pressure,15,4,no_mask
ranking_accuracy,medium,15,0.6666666666666666,no_mask
ranking_count,medium,15,3,no_mask
ranking_accuracy,time_pressure,15,0.0,no_mask
ranking_count,time_pressure,15,1,no_mask
q_mae,overall,16,10.96173056574731,no_mask
q_rmse,overall,16,14.266831096479962,no_mask
v_mae,overall,16,17.746656290159144,no_mask
one_step_mae,overall,16,24.616599489436968,no_mask
mae_improvement_vs_v,overall,16,0.3823213575266121,no_mask
ranking_accuracy,overall,16,0.375,no_mask
ranking_count,overall,16,8,no_mask
target_ranking_accuracy,overall,16,0.4,no_mask
target_ranking_count,overall,16,5,no_mask
top_action_accuracy,overall,16,0.0,no_mask
top_action_count,overall,16,1,no_mask
engagement_sign_accuracy,overall,16,0.5,no_mask
engagement_sign_count,overall,16,2,no_mask
ranking_accuracy,heterogeneity_pressure,16,0.25,no_mask
ranking_count,heterogeneity_pressure,16,4,no_mask
ranking_accuracy,medium,16,0.6666666666666666,no_mask
ranking_count,medium,16,3,no_mask
ranking_accuracy,time_pressure,16,0.0,no_mask
ranking_count,time_pressure,16,1,no_mask
q_mae,overall,14,10.46220703294565,observation_action_only
q_rmse,overall,14,13.252082996002502,observation_action_only
v_mae,overall,14,17.746656290159144,observation_action_only
one_step_mae,overall,14,24.616599489436968,observation_action_only
mae_improvement_vs_v,overall,14,0.4104688307539297,observation_action_only
ranking_accuracy,overall,14,0.125,observation_action_only
ranking_count,overall,14,8,observation_action_only
