candidate_action,candidate_type,conditional_target_probability,frozen_v,mc_q_mean,mc_q_se,mc_q_std,one_step_reward_mean,paired_delta_vs_noop_mean,paired_delta_vs_noop_se,policy_probability,rollouts,sample_id,scenario,source_seed,split,state_id,unit_index
1,target,0.36353070565711365,-29.492202758789062,-33.108939180596494,3.797728221530702,10.741597514191547,-2.0856410167990527,1.0743053367528161,3.476621902952705,0.09557796269655228,8,seed8/medium/episode2/step11/unit0/action1,medium,8,train,seed8/medium/episode2/step11,0
2,target,0.3171835379545885,-29.492202758789062,-35.71001668397871,4.197431472126294,11.872129030025343,-2.5374999999999996,-1.5267721666293936,3.999659139043919,0.08339256048202515,8,seed8/medium/episode2/step11/unit0/action2,medium,8,train,seed8/medium/episode2/step11,0
4,target,0.31928584140313016,-29.492202758789062,-35.71991668397871,4.201660095799271,11.884089383922335,-2.7874999999999996,-1.5366721666293937,4.00450297542237,0.08394528925418854,8,seed8/medium/episode2/step11/unit0/action4,medium,8,train,seed8/medium/episode2/step11,0
5,noop,0.0,-29.492202758789062,-34.183244517349316,5.833594525137384,16.49989698966945,-0.058638139538710554,0.0,0.0,0.737084150314331,8,seed8/medium/episode2/step11/unit0/action5,medium,8,train,seed8/medium/episode2/step11,0
0,target,0.3882917836134254,-29.492202758789062,-28.808088238525762,4.932738932678077,13.951892596478244,-3.6008388447334525,4.57383785250118,3.134120777121618,0.10239777714014053,8,seed8/medium/episode2/step11/unit1/action0,medium,8,train,seed8/medium/episode2/step11,1
1,target,0.32477683868783364,-29.492202758789062,-26.458133719854523,5.332223806025151,15.081806448178904,-3.5856410167990527,6.923792371172425,3.318076106840597,0.08564803004264832,8,seed8/medium/episode2/step11/unit1/action1,medium,8,train,seed8/medium/episode2/step11,1
3,target,0.2869314342038587,-29.492202758789062,-28.890069366930685,4.937700836844033,13.965926980811625,-3.1779050449885844,4.491856724096257,3.071524270610102,0.07566768676042557,8,seed8/medium/episode2/step11/unit1/action3,medium,8,train,seed8/medium/episode2/step11,1
5,noop,0.0,-29.492202758789062,-33.38192609102694,5.358945655866666,15.157387253094042,-2.1625,0.0,0.0,0.7362865209579468,8,seed8/medium/episode2/step11/unit1/action5,medium,8,train,seed8/medium/episode2/step11,1
1,target,1.0,-29.492202758789062,-30.48642121153447,5.81299555923679,16.441634315774486,-1.5712820335981057,3.529239495833629,6.309234168669658,0.2518918812274933,8,seed8/medium/episode2/step11/unit2/action1,medium,8,train,seed8/medium/episode2/step11,2
5,noop,0.0,-29.492202758789062,-34.0156607073681,4.437508627657198,12.551169768760861,-2.1,0.0,0.0,0.7481081485748291,8,seed8/medium/episode2/step11/unit2/action5,medium,8,train,seed8/medium/episode2/step11,2
0,target,0.45130069100413583,-35.447757720947266,-26.98181436831772,4.272373231317827,12.084096334498872,-0.6515996762052827,-10.338837357542875,5.008595768298724,0.11171060055494308,8,seed8/medium/episode9/step0/unit0/action0,medium,8,train,seed8/medium/episode9/step0,0
2,target,0.5486993390955338,-35.447757720947266,-18.885451480026468,3.6316460838079254,10.271846290920612,0.5984303079724299,-2.2424744692516208,5.7990329193375745,0.1358197182416916,8,seed8/medium/episode9/step0/unit0/action2,medium,8,train,seed8/medium/episode9/step0,0
5,noop,0.0,-35.447757720947266,-16.642977010774846,5.378202034457703,15.211852516625314,0.1648674616842004,0.0,0.0,0.7524696588516235,8,seed8/medium/episode9/step0/unit0/action5,medium,8,train,seed8/medium/episode9/step0,0
0,target,0.319962013967107,-35.447757720947266,-18.09736516429409,7.059573209943615,19.96748835613605,-2.1,-0.13328947911637012,2.7750062411434566,0.07886088639497757,8,seed8/medium/episode9/step0/unit1/action0,medium,8,train,seed8/medium/episode9/step0,1
2,target,0.36512845300777674,-35.447757720947266,-18.09736516429409,7.059573209943615,19.96748835613605,-2.1,-0.13328947911637012,2.7750062411434566,0.08999303728342056,8,seed8/medium/episode9/step0/unit1/action2,medium,8,train,seed8/medium/episode9/step0,1
3,target,0.3149095027959002,-35.447757720947266,-18.09736516429409,7.059573209943615,19.96748835613605,-2.1,-0.13328947911637012,2.7750062411434566,0.07761559635400772,8,seed8/medium/episode9/step0/unit1/action3,medium,8,train,seed8/medium/episode9/step0,1
5,noop,0.0,-35.447757720947266,-17.96407568517772,6.309088317061038,17.84479652839473,-0.1,0.0,0.0,0.7535305023193359,8,seed8/medium/episode9/step0/unit1/action5,medium,8,train,seed8/medium/episode9/step0,1
5,noop,0.0,-35.447757720947266,-11.56841766087918,5.35857553991769,15.156340407104656,-0.1,0.0,0.0,1.0,8,seed8/medium/episode9/step0/unit2/action5,medium,8,train,seed8/medium/episode9/step0,2
5,noop,0.0,-33.44831466674805,-3.587488820141618,2.559430360518032,7.2391622555881225,-0.1,0.0,0.0,1.0,8,seed8/medium/episode4/step1/unit0/action5,medium,8,train,seed8/medium/episode4/step1,0
