epoch,train_loss,train_seed,validation_mae,variant
0,0.9678877790768942,14,14.507624626159668,full
1,0.7763789196809133,14,14.202471733093262,full
2,0.6944820185502371,14,14.897712707519531,full
3,0.5391857077678045,14,15.133100509643555,full
4,0.4651705175638199,14,14.797003746032715,full
5,0.43532879650592804,14,15.204745292663574,full
6,0.4602905809879303,14,14.473296165466309,full
7,0.4139273911714554,14,14.088826179504395,full
8,0.4073902169863383,14,13.38753604888916,full
9,0.3250811646382014,14,14.112131118774414,full
10,0.3546930303176244,14,15.035548210144043,full
11,0.3067355751991272,14,16.131153106689453,full
12,0.3721184382836024,14,15.395256996154785,full
13,0.28725704302390415,14,14.79896354675293,full
14,0.26251791417598724,14,15.03238582611084,full
15,0.2572075054049492,14,14.892204284667969,full
16,0.24275833368301392,14,14.87574291229248,full
17,0.25406304001808167,14,16.355432510375977,full
18,0.2514016379912694,14,15.023234367370605,full
19,0.23952128241459528,14,15.0702486038208,full
20,0.26434167722860974,14,15.943782806396484,full
21,0.22642267992099127,14,15.833426475524902,full
22,0.21981641401847204,14,17.29385757446289,full
23,0.2693338965376218,14,15.648768424987793,full
24,0.21115422000487646,14,14.56376838684082,full
25,0.24442799389362335,14,15.517877578735352,full
26,0.4506658986210823,14,18.906478881835938,full
27,0.3664661745230357,14,15.822978019714355,full
28,0.27183287342389423,14,14.593670845031738,full
29,0.2419049267967542,14,14.172176361083984,full
30,0.23342968275149664,14,13.875811576843262,full
31,0.2843774010737737,14,13.781608581542969,full
32,0.24706183870633444,14,15.569759368896484,full
33,0.2021872897942861,14,17.14151382446289,full
34,0.2599487404028575,14,15.406139373779297,full
35,0.2141381949186325,14,14.904426574707031,full
36,0.22273389995098114,14,13.996429443359375,full
37,0.20990546916921934,14,14.751208305358887,full
38,0.17075534413258234,14,15.200318336486816,full
39,0.18199792876839638,14,15.895040512084961,full
40,0.17467443396647772,14,14.4762544631958,full
41,0.17376616845528284,14,14.35324478149414,full
42,0.18836510057250658,14,14.304718971252441,full
43,0.17465892434120178,14,14.318239212036133,full
44,0.20030352100729942,14,14.314581871032715,full
45,0.21377954383691153,14,14.52420711517334,full
46,0.18540102491776148,14,15.370038986206055,full
47,0.15055861696600914,14,15.937058448791504,full
48,0.1425227957467238,14,15.409504890441895,full
0,0.9328554272651672,15,13.739543914794922,full
1,0.843975156545639,15,14.29685115814209,full
2,0.7502490083376566,15,14.16362476348877,full
3,0.5390250434478124,15,14.798675537109375,full
4,0.5404332131147385,15,14.51535701751709,full
5,0.4866252690553665,15,14.47206974029541,full
6,0.49754564960797626,15,13.997204780578613,full
7,0.42013685405254364,15,14.0577974319458,full
8,0.3803732494513194,15,13.918469429016113,full
9,0.4194572369257609,15,15.190430641174316,full
10,0.39733656247456867,15,13.664301872253418,full
11,0.37158114711443585,15,13.296245574951172,full
