accuracy,balanced_accuracy,balanced_accuracy_margin,brier_score,candidate,check_balanced_accuracy,check_batch_engage_recall,check_batch_noop_recall,check_engage_recall,check_noop_recall,check_safety_sign_accuracy,check_scenario_engage_recall,check_scenario_noop_recall,count,engage_count,engage_margin,engage_recall,false_noop_rate,feasible,lcb_change_rate,log_loss,mean_prediction_se,minimum_constraint_margin,model_seed,noop_count,noop_margin,noop_recall,passed_check_count,predicted_engage_count,safety_sign_accuracy,safety_sign_margin,threshold,wasteful_engage_rate,worst_batch_engage_recall,worst_batch_noop_recall,worst_scenario_engage_recall,worst_scenario_noop_recall
0.7650273224043715,0.7829923273657289,0.08299232736572892,0.1453422765983503,score_platt,True,True,False,True,True,True,True,False,183,68,0.18571428571428572,0.8529411764705882,0.14705882352941177,False,0.0,0.43235845092252484,0.470628634780041,-0.13275862068965516,20,115,-0.13275862068965516,0.7130434782608696,6,91,0.7237569060773481,0.02375690607734815,0.0,0.28695652173913044,0.8095238095238095,0.55,0.7857142857142857,0.5172413793103449
0.7650273224043715,0.7679667519181586,0.0679667519181586,0.16162375305882973,value_platt,True,True,False,True,True,True,True,True,183,68,0.025000000000000022,0.7794117647058824,0.22058823529411764,False,0.0,0.5079947804463105,1.2346023319501223,-0.07500000000000007,20,115,-0.07500000000000007,0.7565217391304347,7,81,0.7237569060773481,0.02375690607734815,0.0,0.24347826086956523,0.625,0.575,0.7142857142857143,0.6551724137931034
0.7704918032786885,0.7663043478260869,0.06630434782608696,0.16162375305882973,value_lcb_050,True,False,False,True,True,True,True,True,183,68,-0.016666666666666607,0.75,0.25,False,0.0273224043715847,0.5079947804463105,1.2346023319501223,-0.050000000000000044,20,115,-0.050000000000000044,0.782608695652174,6,76,0.7237569060773481,0.02375690607734815,0.0,0.21739130434782608,0.5833333333333334,0.6,0.7142857142857143,0.7241379310344828
0.7704918032786885,0.7602941176470588,0.06029411764705883,0.16162375305882973,value_lcb_100,True,False,False,True,True,True,True,True,183,68,-0.016666666666666607,0.7205882352941176,0.27941176470588236,False,0.04918032786885246,0.5079947804463105,1.2346023319501223,-0.025000000000000022,20,115,-0.025000000000000022,0.8,6,72,0.7237569060773481,0.02375690607734815,0.0,0.2,0.5833333333333334,0.625,0.6428571428571429,0.7586206896551724
0.73224043715847,0.7599104859335039,0.0599104859335039,0.16727347900461456,score_platt,True,True,False,True,True,True,True,False,183,68,0.06666666666666665,0.8676470588235294,0.1323529411764706,False,0.0,0.4952733153046264,0.5949157226841966,-0.3166666666666667,21,115,-0.3166666666666667,0.6521739130434783,6,99,0.7237569060773481,0.02375690607734815,0.0,0.34782608695652173,0.6666666666666666,0.3333333333333333,0.8076923076923077,0.5517241379310345
0.5737704918032787,0.5707161125319693,-0.12928388746803066,0.3388030374425294,value_platt,False,False,False,False,False,True,False,False,183,68,-0.4095238095238095,0.5588235294117647,0.4411764705882353,False,0.0,1.4205938489903704,1.7972991980908273,-0.65,21,115,-0.65,0.5826086956521739,1,86,0.7237569060773481,0.02375690607734815,0.0,0.41739130434782606,0.19047619047619047,0.0,0.39285714285714285,0.34375
0.5792349726775956,0.5420076726342711,-0.15799232736572888,0.3388030374425294,value_lcb_050,False,False,False,False,True,True,False,False,183,68,-0.6,0.39705882352941174,0.6029411764705882,False,0.12568306010928962,1.4205938489903704,1.7972991980908273,-0.6,21,115,-0.573076923076923,0.6869565217391305,2,63,0.7237569060773481,0.02375690607734815,0.0,0.3130434782608696,0.0,0.07692307692307693,0.34615384615384615,0.625
0.644808743169399,0.5851662404092072,-0.11483375959079278,0.3388030374425294,value_lcb_100,False,False,False,False,True,True,False,True,183,68,-0.6,0.35294117647058826,0.6470588235294118,False,0.22404371584699453,1.4205938489903704,1.7972991980908273,-0.6,21,115,-0.18846153846153846,0.8173913043478261,3,45,0.7237569060773481,0.02375690607734815,0.0,0.1826086956521739,0.0,0.46153846153846156,0.32142857142857145,0.7586206896551724
0.7814207650273224,0.7990409207161125,0.09904092071611259,0.1641038166300815,score_platt,True,True,False,True,True,True,True,False,183,68,0.15000000000000002,0.8676470588235294,0.1323529411764706,False,0.0,0.488480928539634,0.5658449806604157,-0.17500000000000004,22,115,-0.17500000000000004,0.7304347826086957,6,90,0.7182320441988951,0.018232044198895125,0.0,0.26956521739130435,0.75,0.475,0.7857142857142857,0.5862068965517241
0.6065573770491803,0.6779411764705883,-0.022058823529411686,0.2892556545488961,value_platt,False,True,False,True,False,True,True,False,183,68,0.26956521739130435,0.9558823529411765,0.04411764705882353,False,0.0,0.9149695230871513,1.368246863722348,-0.65,22,115,-0.65,0.4,4,134,0.7182320441988951,0.018232044198895125,0.0,0.6,0.8695652173913043,0.0,0.9285714285714286,0.3103448275862069
