candidate,feasible_seed_count,mean_balanced_accuracy,mean_brier_score,minimum_constraint_margin,simplicity
score_platt,0,0.7806479113384484,0.1589065240776821,-0.3166666666666667,4
value_lcb_100,0,0.6966751918158568,0.2632274816834184,-0.6,1
value_lcb_050,0,0.6682225063938619,0.2632274816834184,-0.6,2
value_platt,0,0.6722080136402386,0.2632274816834184,-0.65,3
